['ва', 429]
['кафернагьум', 2]
['назаретдиан', 2]
['аьгъязуз', 2]
['удубчів', 2]
['тутрувди', 2]
['русвагь', 2]
['юкьуб', 2]
['йишвариъ', 2]
['уьзур', 2]
['сижарбаб', 2]
['жюрбежюр', 2]
['жинарра', 2]
['вуйибдикан', 2]
['жарадариз', 2]
['халват', 2]
['йишваз', 2]
['учхьан', 2]
['гьаддин', 2]
['гьюл', 2]
['хъапіуб', 2]
['гьадлин', 2]
['йишвди', 2]
['бисуз', 2]
['чул', 2]
['кьюбиб', 2]
['люткйирра', 2]
['кьамкьариина', 2]
['баяр', 2]
['ккадакну', 2]
['ккундузуз', 2]
['муса', 2]
['ахниин', 2]
['паралич', 2]
['алдабгъураза', 2]
['аллагьдилан', 2]
['ахъну', 2]
['рягьят', 2]
['вуйин', 2]
['кайириз', 2]
['зегьле', 2]
['дубшну', 2]
['мидхъан', 2]
['хялижв', 2]
['аьлимарина', 2]
['шулчва', 2]
['шулинхъа', 2]
['гъадагъру', 2]
['гъибди', 2]
['дисиди', 2]
['ціил', 2]
['иржариъ', 2]
['ккуркьну', 2]
['дяхнин', 2]
['хъайидариз', 2]
['итіуз', 2]
['къанунчйирна', 2]
['исайик', 2]
['чіалкьан', 2]
['илбицну', 2]
['гьапіруш', 2]
['якьубна', 2]
['искариот', 2]
['дагъдилан', 2]
['гъафир', 2]
['шагьрариан', 2]
['тухъ', 2]
['инсанариз', 2]
['гъахьиган', 2]
['пешкеш', 2]
['девлетлуйир', 2]
['жарадар', 2]
['кучілин', 2]
['хъебехънайидариз', 2]
['тмунубра', 2]
['гъадабгъуз', 2]
['гунагькрарира', 2]
['мани', 2]
['жарар', 2]
['алдабгъиди', 2]
['кіакі', 2]
['уьлчмейиинди', 2]
['зегьмет', 2]
['хъуркьди', 2]
['ваяки', 2]
['гьари', 2]
['хурдар', 2]
['хазнайиан', 2]
['чіуруб', 2]
['инсандин', 2]
['фти', 2]
['кіарзачвуз', 2]
['дирибккну', 2]
['диву', 2]
['ккадру', 2]
['ахьну', 2]
['дармадагъин', 2]
['юзбашийин', 2]
['ккуни', 2]
['агъсакълар', 2]
['ккунир', 2]
['ккарагру', 2]
['тикмиш', 2]
['хуларихьна', 2]
['лайикьлур', 2]
['сариз', 2]
['тмунуриз', 2]
['гъуллугъчийиз', 2]
['гьамкьан', 2]
['дидхъантина', 2]
['гъабхуз', 2]
['аьтрафарихъ', 2]
['юрдариъ', 2]
['кьюриз', 2]
['ккилигуча', 2]
['вахтназ', 2]
['улупну', 2]
['рябкъюра', 2]
['ликудар', 2]
['гъачіидар', 2]
['рабгъура', 2]
['гьаъдар', 2]
['яйикан', 2]
['багьа', 2]
['дишагьлийири', 2]
['кмиди', 2]
['апіувалиинди', 2]
['наслин', 2]
['биціидариз', 2]
['ишлар', 2]
['дугъаъ', 2]
['гунагькрарин', 2]
['фарисейин', 2]
['аьтрин', 2]
['ишури', 2]
['кьяши', 2]
['дугъриданра', 2]
['хътарди', 2]
['буржар', 2]
['жви', 2]
['фагьум', 2]
['тувундарва', 2]
['гъапіундарва', 2]
['ціибди', 2]
['гунгьариланра', 2]
['ургуб', 2]
['магдалайиан', 2]
['мулкар', 2]
['зигурайи', 2]
['дишагьлийирра', 2]
['удрар', 2]
['рякъюхъ', 2]
['дахьру', 2]
['зазаригъ', 2]
['ккаъру', 2]
['авадан', 2]
['ибариз', 2]
['ебхьураш', 2]
['ебхьри', 2]
['тахалусдин', 2]
['хътругъри', 2]
['уьрхювал', 2]
['ахьдар', 2]
['чпихъ', 2]
['читин', 2]
['хътругърудар', 2]
['хъпехърудар', 2]
['сабур', 2]
['апібиинди', 2]
['гъаб', 2]
['иливдар', 2]
['учіврайидариз', 2]
['дивру', 2]
['ашкар', 2]
['жиниб', 2]
['фукіара', 2]
['сир', 2]
['хъебехъай', 2]
['эъну', 2]
['апіидихьа', 2]
['нивкіуз', 2]
['нивкі', 2]
['хъугъ', 2]
['гъаншариъ', 2]
['герасин', 2]
['рюгьназ', 2]
['вуяв', 2]
['кьушум', 2]
['силарин', 2]
['гьюлиъ', 2]
['деънади', 2]
['тебрик', 2]
['дахъну', 2]
['гъягъру', 2]
['айи-адруб', 2]
['харж', 2]
['узук', 2]
['куркіну', 2]
['инкар', 2]
['удубчівуб', 2]
['даршлуб', 2]
['адашдизна', 2]
['мишанай', 2]
['шураз', 2]
['ученикдиз', 2]
['жинарин', 2]
['учівишра', 2]
['учівай', 2]
['чпиин', 2]
['дебккрайи', 2]
['лишан', 2]
['лицуз', 2]
['гьироддиз', 2]
['садари', 2]
['гъачіихъан', 2]
['пайгъамбрарикан', 2]
['вакиларра', 2]
['вифсайда', 2]
['сюгьбат', 2]
['уьлна', 2]
['хьуд', 2]
['балугъ', 2]
['завузди', 2]
['ужувлакк', 2]
['ученикарихьна', 2]
['йиціикьюб', 2]
['апіурачва', 2]
['ижмишнаан', 2]
['къанунчйири', 2]
['йикіиди', 2]
['дирчну', 2]
['зарар', 2]
['югьан', 2]
['ваціраціар', 2]
['петрна', 2]
['гьудучівурайиган', 2]
['кіурашра', 2]
['аьгъдарди', 2]
['кіураш', 2]
['диф', 2]
['сарди', 2]
['гъябкъюбдикан', 2]
['дарпиди', 2]
['хъайир', 2]
['чіиргуру', 2]
['агь', 2]
['гъюрайиган', 2]
['жигьил', 2]
['адашдихьна', 2]
['гъитай', 2]
['ученикарихьан', 2]
['гъапіундайи', 2]
['гучіуйи', 2]
['ччвурнахъ', 2]
['югьанди', 2]
['ччвурнахъан', 2]
['гъяркъюнчуз', 2]
['гъапіунча', 2]
['ухьухъди', 2]
['гъягъюрайир', 2]
['мукьар', 2]
['гъийихдар', 2]
['баркаллагь', 2]
['дугъазра', 2]
['паччагьлугъдиз', 2]
['ярамиш', 2]
['ургціурна', 2]
['убгрудар', 2]
['гьаъ', 2]
['гъарахай', 2]
['шаламар', 2]
['айибдикан', 2]
['гъафиш', 2]
['сайдайиз', 2]
['ухдитіан', 2]
['гьадабгъурайири', 2]
['гьадабгъура', 2]
['ччвурнахъди', 2]
['кьюркьлин', 2]
['ціаси', 2]
['гьаддиин', 2]
['касариз', 2]
['аьгъдар', 2]
['рябкъюрайиб', 2]
['къанунчийи', 2]
['хьайир', 2]
['жвуваз', 2]
['гъачгъарин', 2]
['гъушну', 2]
['гьадушвхьантина', 2]
['зийнар', 2]
['даждиин', 2]
['мугъан', 2]
['шубур', 2]
['гъапіур', 2]
['ученикарихъди', 2]
['ккарагбахъан', 2]
['ккарагруган', 2]
['учура', 2]
['гьаціишваринган', 2]
['адарзуз', 2]
['раккнар', 2]
['шулдарзухьан', 2]
['тувдичвуз', 2]
['бихъидичвуз', 2]
['фицир', 2]
['балугъин', 2]
['туврур', 2]
['душманвал', 2]
['ктаураш', 2]
['гъалиб', 2]
['гъадабгъиди', 2]
['зяя', 2]
['кіурайиган', 2]
['халкьдигъян', 2]
['гъахи', 2]
['хушбахтавар', 2]
['ниневияйин', 2]
['агьалйириз', 2]
['байра', 2]
['кьиблайин', 2]
['адмийирин', 2]
['беденра', 2]
['лиг', 2]
['мучіушин', 2]
['сабкьан', 2]
['хиял', 2]
['фарисей', 2]
['тереф', 2]
['гъапіури', 2]
['садакьа', 2]
['мажлисариъ', 2]
['гюмбтар', 2]
['диврачва', 2]
['гьадрари', 2]
['гъийихну', 2]
['гьаъдиза', 2]
['удубзу', 2]
['кадабгъри', 2]
['йишван', 2]
['дустариз', 2]
['гъачіиган', 2]
['жегьеннемдиъ', 2]
['адмйирин', 2]
['гьюкумдрарин', 2]
['ирс', 2]
['касдин', 2]
['амбарханйир', 2]
['пидиза', 2]
['йибхь', 2]
['ипіин', 2]
['убхъ', 2]
['девлетар', 2]
['гъян', 2]
['убзури', 2]
['вахтнара', 2]
['алахьури', 2]
['уччвуди', 2]
['аьгъя', 2]
['кьаст', 2]
['хазна', 2]
['юкь', 2]
['гъуллугъчйириз', 2]
['идибтіну', 2]
['гъафишра', 2]
['эйсийиз', 2]
['ккилигури', 2]
['аькьюллу', 2]
['лукіариз', 2]
['аьхюрди', 2]
['хъюгъиш', 2]
['ивнаш', 2]
['аьзабарикк', 2]
['жилиина', 2]
['дуфна', 2]
['хьур', 2]
['дадайиз', 2]
['кіурчва', 2]
['гъяйидар', 2]
['итди', 2]
['агьлартіан', 2]
['йихидичву', 2]
['ерусалимдин', 2]
['гьаригъ', 2]
['йимишар', 2]
['гъяш', 2]
['гъядарди', 2]
['улупурайи', 2]
['йиціимиржид', 2]
['уьзрихьан', 2]
['йирхьуд', 2]
['ухькан', 2]
['йиц', 2]
['хъапіри', 2]
['шулдаринхъа', 2]
['фтихь', 2]
['яраб', 2]
['гизафдариз', 2]
['урчіар', 2]
['кучри', 2]
['фужар', 2]
['аьмалдар', 2]
['гагьди', 2]
['рякъидарчвуз', 2]
['деетуру', 2]
['абхъиш', 2]
['кіуруси', 2]
['думуган', 2]
['харжи', 2]
['деуз', 2]
['гьюрмат', 2]
['аскканди', 2]
['увузра', 2]
['ккадагъуз', 2]
['сарпири', 2]
['узлан', 2]
['алдабгъуб', 2]
['тмунури', 2]
['лукіру', 2]
['лукіраз', 2]
['чвйирна', 2]
['чйир', 2]
['дивуз', 2]
['эскер', 2]
['гъягъруган', 2]
['дарапібан', 2]
['мутму', 2]
['аьлимари', 2]
['гъудубгиган', 2]
['урчівціурна', 2]
['бихъайизкьан', 2]
['дибихъну', 2]
['гъуншйир', 2]
['гъудубгу', 2]
['гъибихъунзуз', 2]
['урчівур', 2]
['арсран', 2]
['кепек', 2]
['малайикарра', 2]
['девлетнан', 2]
['рубкьру', 2]
['зурбади', 2]
['гьадмура', 2]
['гунагьвалар', 2]
['дубхну', 2]
['дудургну', 2]
['гъидихъну', 2]
['хутілиан', 2]
['сагълугънаан', 2]
['аза', 2]
['девлетлуйиз', 2]
['эйсийин', 2]
['бети', 2]
['ма', 2]
['бикі', 2]
['шишал', 2]
['вуйибдиъ', 2]
['аьхюбдиъра', 2]
['аманат', 2]
['заварна', 2]
['ухди', 2]
['йикіуру', 2]
['гьациб', 2]
['ккунидарихьан', 2]
['девлетлуйи', 2]
['аьзабнан', 2]
['белки', 2]
['тіаъру', 2]
['саркьан', 2]
['уягъди', 2]
['гъапнийиш', 2]
['аферин', 2]
['фтинкіа', 2]
['ярхласи', 2]
['йиціур', 2]
['сесниинди', 2]
['гъахьундайинхъа', 2]
['фила', 2]
['гъидики', 2]
['гъапишра', 2]
['мягъянай', 2]
['кіулихъ', 2]
['ккуркьди', 2]
['лутдин', 2]
['дурушри', 2]
['диванбегийи', 2]
['иб', 2]
['имбудар', 2]
['алдатмиш', 2]
['убччвури', 2]
['дурарилан', 2]
['биціидар', 2]
['учівидар', 2]
['кіурава', 2]
['дарин', 2]
['дугъриди', 2]
['гъюзимбу', 2]
['шуладайи', 2]
['гъапнийи', 2]
['шадвалиинди', 2]
['паччагьвализ', 2]
['тяйин', 2]
['дилигди', 2]
['гъабхну', 2]
['дидривуб', 2]
['гъадабгърур', 2]
['дурубзуб', 2]
['ккадабцірур', 2]
['дугъахь', 2]
['тудубчурачва', 2]
['бакарди', 2]
['шадвалиан', 2]
['гъишу', 2]
['маллйирна', 2]
['суал', 2]
['тіумтіин', 2]
['багъ', 2]
['тіумутічйирихьна', 2]
['багъдин', 2]
['гъубзди', 2]
['чпикан', 2]
['багьна', 2]
['халкьдихьан', 2]
['гъитру', 2]
['ургрид', 2]
['гъягъюра', 2]
['вуйидари', 2]
['гъапіундар', 2]
['мяълийирин', 2]
['садакьйир', 2]
['лишнар', 2]
['шагьидар', 2]
['дийигъуз', 2]
['тувдизачвуз', 2]
['дагълариз', 2]
['гвачінин', 2]
['ученикдикан', 2]
['гъаравларин', 2]
['гьудубтіуру', 2]
['дахънайир', 2]
['ккудубкіайиз', 2]
['шубубан', 2]
['гъадабгъри', 2]
['чіяаьн', 2]
['тямягьвалариъ', 2]
['адрахьбан', 2]
['маллайин', 2]
['духьнайидар', 2]
['гьамура', 2]
['ківаина', 2]
['мугъу', 2]
['касдик', 2]
['гьиродна', 2]
['чиб-чпихъди', 2]
['мугъак', 2]
['деетидиза', 2]
['варава', 2]
['карс', 2]
['карсру', 2]
['гъабшиб', 2]
['йиціисар', 2]
['гъягъюрайи', 2]
['фтикан', 2]
['гъушиган', 2]
['пайгъамбрари', 2]
['аьжайиб', 2]
['гьядисйирин', 1]
['бикіуз', 1]
['хъюгъна', 1]
['улариинди', 1]
['гъяркъдари', 1]
['гафнан', 1]
['алидари', 1]
['жигьат', 1]
['сифтейиан', 1]
['апібалан', 1]
['феофил', 1]
['хъайи-хъайиси', 1]
['ктибтуб', 1]
['бин', 1]
['абияйирин', 1]
['ражнаъ', 1]
['гьарундин', 1]
['къайдйир', 1]
['агьлар', 1]
['адайи', 1]
['яшнахъна', 1]
['хъуркьнайи', 1]
['раж', 1]
['гъуллугънан', 1]
['нубат', 1]
['хъубкьнайи', 1]
['ипиган', 1]
['ургуз', 1]
['ккуркьнийи', 1]
['ургурайишван', 1]
['терефнаъ', 1]
['чашмиш', 1]
['ккарагувал', 1]
['деебхьна', 1]
['илив', 1]
['вална', 1]
['хьувалиин', 1]
['касси', 1]
['ички', 1]
['убхъидар', 1]
['йигъхъанмина', 1]
['ацінайир', 1]
['баярикан', 1]
['аллагьдихьинди', 1]
['веледарихьна', 1]
['илдицбан', 1]
['дарудар', 1]
['касарин', 1]
['фикрарихьна', 1]
['илтіикібан', 1]
['рюгьнаъди', 1]
['кьудратнаъди', 1]
['кьабир', 1]
['яшариъ', 1]
['удубчівру', 1]
['бисиди', 1]
['мумкинвал', 1]
['хъугъундарва', 1]
['энгел', 1]
['духьнайивалиин', 1]
['халкьдихьна', 1]
['гъяркъюб', 1]
['яра', 1]
['гъаширси', 1]
['халкьдихъди', 1]
['чіатна', 1]
['удудучівди', 1]
['узухьинди', 1]
['илдицу', 1]
['бегьерсузвалин', 1]
['нянат', 1]
['алдабгъруганси', 1]
['шурахьна', 1]
['саламламиш', 1]
['фикрарик', 1]
['кахъру', 1]
['улупна', 1]
['киршдивук', 1]
['апіидива', 1]
['иливидива', 1]
['тахт', 1]
['уьмурлугъди', 1]
['мумкин', 1]
['душнадарди', 1]
['учівди', 1]
['варитіанзаанури', 1]
['кьувватнакк', 1]
['ккаъди', 1]
['гирамийиз', 1]
['багахьлу', 1]
['елисаветара', 1]
['кьабишнаккди', 1]
['гафра', 1]
['кьувватсузди', 1]
['гъубзурдар', 1]
['кіурайидар', 1]
['улуркьри', 1]
['гьудучівуру', 1]
['йигъарикан', 1]
['гьялаквал', 1]
['дагълариъ', 1]
['елисаветайиз', 1]
['елисаветайин', 1]
['гъиришву', 1]
['дишагьлийирин', 1]
['бегьерра', 1]
['гъювалин', 1]
['бахт', 1]
['гъафиб', 1]
['ибарихъна', 1]
['гъурубкьубси', 1]
['шлувалихъ', 1]
['хъугънайир', 1]
['гьарсабдихьан', 1]
['уьрхюрайи', 1]
['аллагьдикан', 1]
['гьялназ', 1]
['алабхъу', 1]
['гучірудариз', 1]
['наслариан', 1]
['наслариз', 1]
['хиларин', 1]
['дамагълу', 1]
['гьубкьушвахъинди', 1]
['гъарагъну', 1]
['кьудратлудар', 1]
['тахтарилан', 1]
['дарвал', 1]
['ужувлариинди', 1]
['девлетлутіан', 1]
['деетну', 1]
['тухмиз', 1]
['гьаргандиз', 1]
['уьбхюра', 1]
['елисаветайихь', 1]
['вазлиъкьан', 1]
['гъузну', 1]
['апібакан', 1]
['гъуншйиризна', 1]
['майил-мадатдиз', 1]
['гъеебхьнийи', 1]
['миржидпи', 1]
['багахьлуйир', 1]
['иливуз', 1]
['кіурхьа', 1]
['багахьлуйиригъ', 1]
['алир', 1]
['иливуруш', 1]
['яйихьан', 1]
['кьул', 1]
['бикіуру', 1]
['ушвна', 1]
['деебтнийи', 1]
['гъуншйир-мирасарик', 1]
['дагълу', 1]
['ктибтури', 1]
['шуйкіан', 1]
['яйира', 1]
['ацінади', 1]
['аьяндарвал', 1]
['дегьзаманайи', 1]
['гунгьарикан', 1]
['даккнидарихьан', 1]
['гъийитіу', 1]
['аьгьт', 1]
['уьмрин', 1]
['ккабалгуз', 1]
['уьрхрувалин', 1]
['алдабгърувалин', 1]
['ккауз', 1]
['ахсрарин', 1]
['нурси', 1]
['аьжалин', 1]
['гъабгъу', 1]
['дяхъникк', 1]
['деънайидариз', 1]
['мясляаьтниина', 1]
['гъидива', 1]
['рюгьниинди', 1]
['чюллериъ', 1]
['август', 1]
['ругариин', 1]
['сирия', 1]
['квиринийи', 1]
['сабпи', 1]
['ражну', 1]
['дикібан', 1]
['гьарур', 1]
['вифлеем', 1]
['юсуфра', 1]
['ямдихъди', 1]
['дикіуз', 1]
['душнайир', 1]
['ччаппаригъян', 1]
['гъидиржну', 1]
['аьхъиъ', 1]
['дергру', 1]
['гъибихъундайи', 1]
['йишвну', 1]
['марччлихънар', 1]
['сюрйирин', 1]
['гъаравлиъ', 1]
['гьяйбатнан', 1]
['нурну', 1]
['кабхънийи', 1]
['дубхназа', 1]
['мидин', 1]
['лишанра', 1]
['ччаппаригъ', 1]
['гъидиржнади', 1]
['дихъидичвуз', 1]
['малайикдин', 1]
['кьадарнаъди', 1]
['малаикарра', 1]
['разивал', 1]
['ислягьвал', 1]
['малайикар', 1]
['завариз', 1]
['вифлеемдиз', 1]
['фтин', 1]
['дебккнуш', 1]
['тядивал', 1]
['гъафидариз', 1]
['ямна', 1]
['тіунахъ', 1]
['гъапибдикан', 1]
['гъеебхькьандар', 1]
['ктитдариин', 1]
['саб-сабдиин', 1]
['уьрхюру', 1]
['марччлихънарра', 1]
['гъапидар', 1]
['рякъбаз', 1]
['бабак', 1]
['киршайиз', 1]
['къанундиз', 1]
['дерккбан', 1]
['хизандиъ', 1]
['жили', 1]
['апіуб', 1]
['дибикінайиганси', 1]
['гъюд', 1]
['луфран', 1]
['чиркквар', 1]
['урккуб', 1]
['израилиз', 1]
['аьдалатлу', 1]
['алийи', 1]
['рякъяйиз', 1]
['хьибдарив', 1]
['улупнайи', 1]
['рюгьнаккди', 1]
['улупнайиб', 1]
['гъахиган', 1]
['гъадагъуру', 1]
['гьюкумдар', 1]
['разивалиинди', 1]
['аллагьсузар', 1]
['зигьимдихьна', 1]
['гъахру', 1]
['адлувал', 1]
['гъяркъниз', 1]
['гъапидариин', 1]
['ямдиз', 1]
['мугълантина', 1]
['улхбар', 1]
['ківаантина', 1]
['итіибгъиди', 1]
['гьаддиинди', 1]
['ашерин', 1]
['кьаби', 1]
['жилирихъди', 1]
['ургуд', 1]
['йисантіан', 1]
['фануилин', 1]
['аьяндар', 1]
['аннара', 1]
['миржціурна', 1]
['юкьуд', 1]
['йисаъ', 1]
['гъари', 1]
['дисбииндина', 1]
['ккарагбиинди', 1]
['хулхьан', 1]
['аннайи', 1]
['ккилигурайикьандариз', 1]
['ктитури', 1]
['улупнайиси', 1]
['аьгъювалари', 1]
['аціри', 1]
['машквран', 1]
['ккудукіну', 1]
['хътакру', 1]
['абйир-бабариз', 1]
['жарадарихъди', 1]
['гъюрашул', 1]
['ккадапіиган', 1]
['багахьлуйирин', 1]
['таниш', 1]
['вуйидарин', 1]
['дидрихъиган', 1]
['мялимарин', 1]
['хъпехъурайидар', 1]
['фагьумлувалиин', 1]
['жавабариин', 1]
['духьнайи', 1]
['учкан', 1]
['гьапіунва', 1]
['узуна', 1]
['хажалат', 1]
['ужагъдиъ', 1]
['ккуниб', 1]
['аьгъданчвуз', 1]
['фагьумлувалиъ', 1]
['инсанаризра', 1]
['тиберий', 1]
['йиціихьудпи', 1]
['понтий', 1]
['аьхювал', 1]
['филип', 1]
['итурей', 1]
['трагьонит', 1]
['лисаний', 1]
['абилей', 1]
['гьюкумдрар', 1]
['гьаннай', 1]
['каяфа', 1]
['дихнахъди', 1]
['нирин', 1]
['гъирагъар', 1]
['алдабгъбан', 1]
['рагъури', 1]
['айиси', 1]
['атіабгура', 1]
['ккабалгай', 1]
['рякъяр-жилгъйир', 1]
['диш', 1]
['гъяр', 1]
['ругди', 1]
['гъябціиди', 1]
['дагъна', 1]
['тепе', 1]
['кьяни', 1]
['ціалціам', 1]
['алириз', 1]
['битіракан', 1]
['гъахьидар', 1]
['хъюлхьан', 1]
['гьергуз', 1]
['улупунчвуз', 1]
['ляхнариинди', 1]
['фикиркьана', 1]
['гъванариканра', 1]
['ктауз', 1]
['гьарин', 1]
['кьаблихъ', 1]
['еків', 1]
['йимиш', 1]
['алдабтіиди', 1]
['ціигъна', 1]
['гатіабхьиди', 1]
['гъат', 1]
['айири', 1]
['сабнуб', 1]
['адруриз', 1]
['ипіруб-убхъруб', 1]
['гьадгъура', 1]
['апірударира', 1]
['гьапіча', 1]
['улупнайибтіан', 1]
['мибисанай', 1]
['касдизкьан', 1]
['макадапіанай', 1]
['футна', 1]
['дуллугъниин', 1]
['месигьдиз', 1]
['ккилигуради', 1]
['гьаяман', 1]
['даришри', 1]
['апіуразачву', 1]
['узутіан', 1]
['шаламарин', 1]
['гъахмйир', 1]
['гъядарчузкьан', 1]
['рюгьнахьдина', 1]
['ціихьди', 1]
['алаидичву', 1]
['йирф', 1]
['нахъв', 1]
['танхариъ', 1]
['нахъвар', 1]
['хътрубгру', 1]
['гъяхьну', 1]
['ургиди', 1]
['дебккри', 1]
['гьироддик', 1]
['иродиада', 1]
['дитбаз', 1]
['кипган', 1]
['итбиинди', 1]
['яйихьна', 1]
['атіабццуру', 1]
['луф', 1]
['жюрейиинди', 1]
['исайиина', 1]
['хъюгъруган', 1]
['сумчіур', 1]
['апіурайиганси', 1]
['гьелийин', 1]
['гьели', 1]
['яннайин', 1]
['янна', 1]
['амосдин', 1]
['амос', 1]
['нагьумдин', 1]
['нагьум', 1]
['эслимдин', 1]
['эслим', 1]
['наггайин', 1]
['наггай', 1]
['маатдин', 1]
['маат', 1]
['симеиндин', 1]
['симеин', 1]
['ясегьдин', 1]
['ясегь', 1]
['ядайин', 1]
['яда', 1]
['яанандин', 1]
['яанан', 1]
['рисайин', 1]
['риса', 1]
['зеруббабелин', 1]
['зеруббабел', 1]
['шеалтиэлин', 1]
['шеалтиэл', 1]
['нерийин', 1]
['нери', 1]
['аддийин', 1]
['адди', 1]
['косамдин', 1]
['косам', 1]
['элмадамдин', 1]
['элмадам', 1]
['эрин', 1]
['эр', 1]
['ешийин', 1]
['еши', 1]
['элизарин', 1]
['элизар', 1]
['яфимдин', 1]
['яфим', 1]
['симеондин', 1]
['янамдин', 1]
['янам', 1]
['элиякимдин', 1]
['элияким', 1]
['мемайин', 1]
['мема', 1]
['меннандин', 1]
['меннан', 1]
['натандин', 1]
['натан', 1]
['ессейин', 1]
['ессе', 1]
['обеддин', 1]
['обед', 1]
['воаздин', 1]
['воаз', 1]
['салмандин', 1]
['салман', 1]
['нецрондин', 1]
['нецрон', 1]
['амминадабдин', 1]
['амминадаб', 1]
['арамдин', 1]
['арам', 1]
['гьецрондин', 1]
['гьецрон', 1]
['перецдин', 1]
['перец', 1]
['терагьдин', 1]
['терагь', 1]
['нагьорин', 1]
['нагьор', 1]
['серукдин', 1]
['серук', 1]
['реуйин', 1]
['реу', 1]
['пелегдин', 1]
['пелег', 1]
['эберин', 1]
['эбер', 1]
['шелайин', 1]
['шела', 1]
['каинандин', 1]
['каинан', 1]
['арфакшаддин', 1]
['арфакшад', 1]
['симдин', 1]
['сим', 1]
['лемекдин', 1]
['лемек', 1]
['метушелагьдин', 1]
['метушелагь', 1]
['янокдин', 1]
['янок', 1]
['яреддин', 1]
['яред', 1]
['магьалеелин', 1]
['магьалеел', 1]
['кайнандин', 1]
['кайнан', 1]
['еношдин', 1]
['енош', 1]
['шитдин', 1]
['шит', 1]
['адамдин', 1]
['адам', 1]
['аціу', 1]
['нирхъан', 1]
['ягъчівур', 1]
['адауз', 1]
['дирипіди', 1]
['улдучівиган', 1]
['гъвандикан', 1]
['инди', 1]
['шуладар', 1]
['геренди', 1]
['ккунириз', 1]
['шулзухьан', 1]
['гьадрар', 1]
['дугъазтіан', 1]
['ягълишв', 1]
['исина', 1]
['урс', 1]
['малайикариз', 1]
['ликкьан', 1]
['гъвандихъ', 1]
['гъидритруганси', 1]
['гьамцира', 1]
['дупна', 1]
['адаъру', 1]
['хътіарцциган', 1]
['ккабхъайиз', 1]
['рюгьнан', 1]
['тясирнаккди', 1]
['улупуйи', 1]
['тербияламиш', 1]
['урхуз', 1]
['абццру', 1]
['дибикінайишв', 1]
['ал', 1]
['тувнайиз', 1]
['йисирариз', 1]
['азадвал', 1]
['курариз', 1]
['зулум-зиллетнакк', 1]
['рягьимнан', 1]
['улубкьну', 1]
['гьаъну', 1]
['ккибкну', 1]
['гъулугънаъ', 1]
['айирихьна', 1]
['вардарин', 1]
['гьадгъуин', 1]
['гъеерхьу', 1]
['дидикінайи', 1]
['удучівна', 1]
['варидари', 1]
['кабалгру', 1]
['гьерхри', 1]
['гьелбетки', 1]
['мисалик', 1]
['деебхьначуз', 1]
['ватандиъра', 1]
['пайгъамбарра', 1]
['ватандиъ', 1]
['лайикьлуди', 1]
['йисанна', 1]
['йирхьуб', 1]
['алабхънийи', 1]
['сарихьнакьан', 1]
['сайдайин', 1]
['сарепта', 1]
['дишагьлийихьнатіан', 1]
['елисей', 1]
['кабхьнайидарра', 1]
['сирияйиан', 1]
['найман', 1]
['касдикантіан', 1]
['сариканра', 1]
['гъабхьундайи', 1]
['айидарик', 1]
['кубчівру', 1]
['итбан', 1]
['галилейиъ', 1]
['улупбариин', 1]
['кубчівнайи', 1]
['учухъ', 1]
['хъаяв', 1]
['дуфнана', 1]
['гирамир', 1]
['хъючіюбкь', 1]
['алдакну', 1]
['зарарра', 1]
['ктаурада', 1]
['аьтраф', 1]
['мист', 1]
['сижарбабак', 1]
['убцрушнан', 1]
['ял', 1]
['убцрушназ', 1]
['ктубчівуру', 1]
['ликриина', 1]
['хяларин', 1]
['ригъ', 1]
['алабхъурайи', 1]
['иццрушнар', 1]
['кайидар', 1]
['гьаруриин', 1]
['гизафдариан', 1]
['аьгъяйи', 1]
['гвачіин', 1]
['мягъян', 1]
['шагьраризра', 1]
['паччагьлувал', 1]
['гъюрайиваликан', 1]
['рабгъуб', 1]
['гьаънайир', 1]
['улупувал', 1]
['ебхьбан', 1]
['исайилан', 1]
['илтіишуру', 1]
['геннисарет', 1]
['гьюлихъ', 1]
['дурариан', 1]
['эдеу', 1]
['балугъчйири', 1]
['чулар', 1]
['люткйирикан', 1]
['симондинубдиъ', 1]
['гъирагъдихъан', 1]
['тинаси', 1]
['улупуз', 1]
['улхуб', 1]
['ккудубкіиган', 1]
['кьялариз', 1]
['хъапі', 1]
['чулра', 1]
['ккип', 1]
['гъабхьундарчухьан', 1]
['гафназ', 1]
['ккипарза', 1]
['гьадмукьан', 1]
['балугъар', 1]
['гъидиснуки', 1]
['чіябгъюзра', 1]
['имдайи', 1]
['юлдшаризра', 1]
['арціруки', 1]
['люткйир', 1]
['ккадрахьди', 1]
['нуфт', 1]
['гъубзнийи', 1]
['гьудучів', 1]
['балугъариз', 1]
['зеведейин', 1]
['якьубдикна', 1]
['югьандик', 1]
['симондиксиб', 1]
['дисидива', 1]
['кадагъну', 1]
['кабхьнайи', 1]
['ккарагуру', 1]
['шулвухьан', 1]
['гьачіабккну', 1]
['кубкіну', 1]
['аьзарнахьан', 1]
['маллайихьна', 1]
['улуп', 1]
['пайгъамбри', 1]
['гъайибх', 1]
['гъарабгъу', 1]
['йишвариз', 1]
['улупурайиган', 1]
['галилейна', 1]
['уьлкйириан', 1]
['дитуз', 1]
['илтіишнайи', 1]
['дибрихъди', 1]
['гъваина', 1]
['гъваъланди', 1]
['илмиди', 1]
['ирхру', 1]
