['бир', 93]
['терлеп-пислеп', 1]
['авызын', 1]
['соьйлейсинъ', 1]
['ваьзирлер', 1]
['ярлыды', 1]
['кыстайдылар', 1]
['анълатады', 1]
['кир', 1]
['юваятыр', 1]
['дуьбирдевди', 1]
['туманнан', 1]
['коьрмедим', 1]
['бурылып', 1]
['ушкан', 1]
['карагустай', 1]
['енъил', 1]
['йылысып', 1]
['котаннынъ', 1]
['ишине', 1]
['юнди', 1]
['урлап', 1]
['коймасынлар', 1]
['уйкламасам', 1]
['юн', 1]
['урланыпты', 1]
['шувал', 1]
['юнимизди', 1]
['кетиптилер', 1]
['татымлык', 1]
['урсыскан', 1]
['эдилер', 1]
['айырыларлар', 1]
['ойландым', 1]
['калсам', 1]
['анамга', 1]
['кетсем', 1]
['атамга', 1]
['сав', 1]
['уйкымды', 1]
['шыктым', 1]
['эртеникте', 1]
['хабарласын', 1]
['калдылар', 1]
['разыман', 1]
['койларынъды', 1]
['атасына', 1]
['намарт', 1]
['айттырып', 1]
['кызынънынъ', 1]
['баасы', 1]
['сораса', 1]
['явапларсынъ', 1]
['мегерим', 1]
['улак', 1]
['быламык', 1]
['элшилер', 1]
['айтадылар', 1]
['яста', 1]
['баста', 1]
['соьзининъ', 1]
['бавы', 1]
['куьшим', 1]
['ясында', 1]
['болганы', 1]
['улагы', 1]
['ясымда', 1]
['ярдынъ', 1]
['аргы-берги', 1]
['якларында', 1]
['шапкылап', 1]
['юргеним', 1]
['ясыма', 1]
['туьскени', 1]
['ясына', 1]
['келгеним', 1]
['быламыгы', 1]
['картлыгым', 1]
['коьреек', 1]
['суьйгенине', 1]
['яшасын15', 1]
['картаяды', 1]
['атайлар', 1]
['картайды', 1]
['картлыгынынъ', 1]
['сезип', 1]
['себепли', 1]
['орнына', 1]
['такка', 1]
['излейди', 1]
['соравын', 1]
['тавыстан', 1]
['ваьзирлери', 1]
['манъылайын', 1]
['тыртайтып', 1]
['шалынады', 1]
['таягын', 1]
['айтайым', 1]
['соьйлемеге', 1]
['тилейди', 1]
['ыхтыяр', 1]
['батканы', 1]
['аягымнан', 1]
['турсам', 1]
['куьмбезинде', 1]
['юзген', 1]
['булытларды', 1]
['авыл', 1]
['шетинде', 1]
['ерлескен', 1]
['ясланып', 1]
['ата-анам', 1]
['топырак', 1]
['болмайман', 1]
['узакка', 1]
['кеткенлер…', 1]
['коьнъили', 1]
['бавырына', 1]
['сыгып', 1]
['узын', 1]
['кыска', 1]
['ваьзирлерди', 1]
['кызлар', 1]
['дуныяга', 1]
['ие', 1]
['баслаптылар26', 1]
['ваьзир', 1]
['картты', 1]
['алты', 1]
['уьйинъе', 1]
['аькетип', 1]
['козылатып', 1]
['аькел', 1]
['ти', 1]
['кайгырып', 1]
['уьйге', 1]
['кайтады', 1]
['сыншы', 1]
['сойдырып', 1]
['кыс', 1]
['бойы', 1]
['завкланып', 1]
['шыгадылар', 1]
['шыкканда', 1]
['юлкып', 1]
['олтырады', 1]
['саклавын', 1]
['йиберип', 1]
['соратады', 1]
['атасы', 1]
['тавып', 1]
['токтамаганга', 1]
['йыйнап', 1]
['саклавшыдан', 1]
['эситип', 1]
['ынанмай', 1]
['явапты', 1]
['табама', 1]
['аьжейипсинеди', 1]
['аьши', 1]
['козылайма', 1]
['уялады', 1]
['муннан', 1]
['сарайына', 1]
['алдырады', 1]
['хатынлыкка', 1]
['алмага', 1]
['онъайсызланып', 1]
['аьдемлери', 1]
['аркалы', 1]
['пайдаланмага', 1]
['коьнмейди', 1]
['саркытып', 1]
['ашамас', 1]
['уялтпага', 1]
['койысып', 1]
['айырыладылар', 1]
['айырып', 1]
['атанъ', 1]
['уьстимнен', 1]
['эттирсин', 1]
['бав', 1]
['алмалардынъ', 1]
['ширитип', 1]
['кери', 1]
['кайтарды', 1]
['этуьвин', 1]
['тиледи', 1]
['йийренши-шешенди', 1]
['бавымда', 1]
['тийгизилип', 1]
['айтылганын', 1]
['билгенин', 1]
['бавынъа', 1]
['кирсе', 1]
['алмаларына', 1]
['тиймеди', 1]
['хатынын', 1]
['ярастырады', 1]
['татувлы', 1]
['аьдеми', 1]
['коркытпас', 1]
['соравлар', 1]
['айман', 1]
['коьли', 1]
['курыр', 1]
['аданасы', 1]
['муьйизи', 1]
['сарсылар', 1]
['кардашы', 1]
['кабыргасы', 1]
['каксар', 1]
['хатаны', 1]
['янъырар', 1]
['буьлдириги', 1]
['уьзилер', 1]
['камшы', 1]
['йогалар', 1]
['термен', 1]
['йыгылар', 1]
['соравлардан', 1]
['сезеди', 1]
['уьйленер', 1]
['кыз-хатын', 1]
['сынамага', 1]
['атка', 1]
['атланып', 1]
['бирин', 1]
['бараган', 1]
['йолыгады', 1]
['бараятып', 1]
['соьзлерден', 1]
['анъламай', 1]
['бара-бара', 1]
['экиге', 1]
['айырылады', 1]
['анъламады', 1]
['атай', 1]
['токтап', 1]
['казан', 1]
['этейик', 1]
['–деди', 1]
['кебине', 1]
['берди', 1]
['соьлеги', 1]
['анълап', 1]
['ягында', 1]
['бармага', 1]
['хатесиз', 1]
['юрилетаган', 1]
['уьлле', 1]
['ишейик', 1]
['тартайык', 1]
['киреди', 1]
['тарап', 1]
['олтырган', 1]
['онъмасын', 1]
['кулаксыз', 1]
['явлык', 1]
['каплайды', 1]
['ян-ягына', 1]
['каранып', 1]
['туьтини', 1]
['туьз', 1]
['яваплады', 1]
['сонъыда', 1]
['а', 1]
['соьйтуьви', 1]
['шаштынъ', 1]
['буьртиклери', 1]
['соьзлери', 1]
['акылына', 1]
['кызып', 1]
['алган41', 1]
['малы', 1]
['мынълап', 1]
['юргенде', 1]
['халкы', 1]
['какырганда', 1]
['байлар', 1]
['атын', 1]
['урлайды', 1]
['аргымакларынынъ', 1]
['заманнынъ', 1]
['эттиреди', 1]
['урлаганын', 1]
['береекке', 1]
['балшыларын', 1]
['аштырып', 1]
['кенъеседи', 1]
['солардынъ', 1]
['балшыга', 1]
['санап', 1]
['балшылар', 1]
['дурыс', 1]
['алар', 1]
['ама', 1]
['болмайдылар', 1]
['дурысын', 1]
['салады', 1]
['аькелдирген', 1]
['яраткан', 1]
['атамнынъ', 1]
['юзигим', 1]
['кимде', 1]
['тапсанъ', 1]
['уьндемей', 1]
['тынълай', 1]
['табайым', 1]
['туьсип', 1]
['баьрисин', 1]
['тоькпей-шашпай', 1]
['саларман', 1]
['кышкырганда', 1]
['кашпага', 1]
['айтканына', 1]
['разы', 1]
['термесине', 1]
['хабары', 1]
['яйылады', 1]
['урлаган', 1]
['агалы-инилилер', 1]
['тынълаякка', 1]
['токтасадылар', 1]
['кишкейи', 1]
['кенжепай', 1]
['аьрекетлеп', 1]
['агаларына', 1]
['агавларым', 1]
['тынъламага', 1]
['келгенимди', 1]
['ынанмасанъыз', 1]
['оьзинъиз', 1]
['каранъыз', 1]
['кезик', 1]
['сезди', 1]
['уьшевимиз', 1]
['этедилер', 1]
['эсигине', 1]
['янасып', 1]
['турганда', 1]
['уьшеви', 1]
['кышкырып', 1]
['атылып', 1]
['шыкса', 1]
['аяк', 1]
['астында', 1]
['тилеп', 1]
['алла', 1]
['сакласын', 1]
['койматагы', 1]
['эдик', 1]
['суйинип', 1]
['сизде', 1]
['беринъиз', 1]
['сындырынъыз', 1]
['савбол', 1]
['бизди', 1]
['сыйлаган', 1]
['сыйласын', 1]
['бередилер', 1]
['сындырадылар', 1]
['казда', 1]
['сизинъ', 1]
['юзигинъизди', 1]
['аксак', 1]
['каз', 1]
['ютыпты', 1]
['каздан', 1]
['авылдасы', 1]
['хабарлайды', 1]
['экевлери', 1]
['эриседилер', 1]
['береегине', 1]
['тапса', 1]
['элтеп', 1]
['табарма', 1]
['ыслаяк', 1]
['ымтылады-ыслап', 1]
['уышинши', 1]
['–ыслайды', 1]
['орап', 1]
['билетаган', 1]
['болсанъ', 1]
['тийишли', 1]
['билсем', 1]
['байлыгымнынъ', 1]
['яртысы', 1]
['13', 1]
['кыйналады', 1]
['эситтирип', 1]
['атылдынъ', 1]
['тутылдынъ', 1]
['билдинъ', 1]
['билгиш', 1]
['экенсинъ', 1]
['байлыкты', 1]
['онъып', 1]
['оьсип', 1]
['калады57', 1]
['ян-януварладынъ', 1]
['тилин', 1]
['доьрт', 1]
['юреги', 1]
['эске', 1]
['эрин', 1]
['шакыртып', 1]
['суьеклериннен', 1]
['уьй', 1]
['салдыр', 1]
['шакырган', 1]
['ушып-ушып', 1]
['келгенлер', 1]
['келмей', 1]
['йибирген', 1]
['келмеген', 1]
['доьртинши', 1]
['артынънан', 1]
['йибердим', 1]
['келмединъ', 1]
['ашувланады', 1]
['уьшинде', 1]
['эдинъ', 1]
['коьппеэкен', 1]
['тири', 1]
['тириден', 1]
['куры', 1]
['казсанъ', 1]
['эттип', 1]
['эркек', 1]
['кеш', 1]
['тапкандай', 1]
['кисилердинъ', 1]
['ойсыз', 1]
['соьзлерине', 1]
['тынълаган', 1]
['эркеклерди', 1]
['эттим', 1]
['кутарады', 1]
['ябалактынъ', 1]
['тынълаганына', 1]
['азат', 1]
['йибереди91', 1]
['ийттинъ', 1]
['кескенде', 1]
['оьлгенде', 1]
['дослы', 1]
['аман', 1]
['кис', 1]
['еткенде', 1]
['каплап', 1]
['ушадылар', 1]
['ах', 1]
['яслардынъ', 1]
['биреви', 1]
['ялшы-куьлшиге', 1]
['сояр', 1]
['кара-ала', 1]
['коьредилер', 1]
['юмарт', 1]
['йылкыдынъ', 1]
['бавдынъ', 1]
['бакшадынъ', 1]
['касыннан', 1]
['оьтедилер', 1]
['уьшиншиси', 1]
['айтпайды', 1]
['куйыдынъ', 1]
['янында', 1]
['куватларым', 1]
['коьрдинъиз', 1]
['янасын', 1]
['кесек-кесек', 1]
['бийлейдилер', 1]
['ериннен', 1]
['койларды', 1]
['йыртылып', 1]
['кеткендей', 1]
['сыйпап', 1]
['байлык', 1]
['излеймен', 1]
['вас', 1]
['оьзеленип', 1]
['эрде', 1]
['уьшиншисининъ', 1]
['тойы', 1]
['неди', 1]
['соьйлерсинъ', 1]
['шарлакка', 1]
['юмарттынъ', 1]
['тынъламанъыз', 1]
['ашанъыз', 1]
['шатланынъыз', 1]
['кышкырар', 1]
['ашагандай', 1]
['затынъ', 1]
['йокпа', 1]
['суьек', 1]
['каптырып', 1]
['койгансынъ', 1]
['этсем', 1]
['айтарсынъ', 1]
['тойды', 1]
['этсенъ', 1]
['хатынымды', 1]
['карланып', 1]
['айтса', 1]
['соьзиннен', 1]
['кайтпас', 1]
['согарман', 1]
['косагын', 1]
['отавына', 1]
['аькетеди', 1]
['тигеди', 1]
['авыстырады', 1]
['сыйырды', 1]
['коьпирдинъ', 1]
['эсип', 1]
['йылгага', 1]
['бусырманнынъ', 1]
['уьйинъди', 1]
['йыгар', 1]
['соьйлемесе', 1]
['арбамды', 1]
['хатынына', 1]
['суьтим', 1]
['яяв', 1]
['юргенинънен', 1]
['болганынъ', 1]
['артык', 1]
['давысын', 1]
['туьрлендирмей', 1]
['явын-шашында', 1]
['болмассынъ', 1]
['камышы', 1]
['кайгырмас', 1]
['буйыртпаган', 1]
['юзининъ', 1]
['нурын', 1]
['янайтып', 1]
['онъган', 1]
['казна', 1]
['арбасын', 1]
['байып', 1]
['яшайдылар', 1]
['балалап', 1]
['козлап', 1]
['ясларды', 1]
['сынап', 1]
['кувлы', 1]
['саламын', 1]
['бермейди', 1]
['донгъыз', 1]
['койлы', 1]
['сойсак', 1]
['мысыгын', 1]
['сойдырады', 1]
['косаклы', 1]
['сыйлайдылар', 1]
['авырып', 1]
['кастанъа', 1]
['баладынъ', 1]
['ярасы', 1]
['колыннан', 1]
['шыгаятырганда', 1]
['ананънынъ', 1]
['суьти', 1]
['баланъ', 1]
['бавырынъда', 1]
['картайсын', 1]
['биринъ', 1]
['болсын', 1]
['йигиттинъ', 1]
['косагы', 1]
['бири', 1]
['яшавы', 1]
['берекетли', 1]
['болады107', 1]
['непсиз', 1]
['каптынъ', 1]
['кийимлерин', 1]
['ювады', 1]
['кол', 1]
['тийирменин', 1]
['тартады', 1]
['картлык', 1]
['анъшылавын', 1]
['саз', 1]
['балшыктан', 1]
['колдан', 1]
['аькелмеге', 1]
['онълы', 1]
['теректи', 1]
['шабаяк', 1]
['шаппа', 1]
['айтканынъды', 1]
['тик', 1]
['эсин', 1]
['яккандай', 1]
['азбарынъда', 1]
['тамашага', 1]
['акыйкатлай', 1]
['каралдысында', 1]
['уьйилген', 1]
['йинъишке', 1]
['савлай', 1]
['тегенек', 1]
['колды', 1]
['тырнайды', 1]
['соьйленеди', 1]
['астофиралла', 1]
['этейим', 1]
['бергени', 1]
['кабыл', 1]
['кавдыраган', 1]
['тиле', 1]
['кутырган', 1]
['тавысы', 1]
['силкине', 1]
['саргайып', 1]
['салпыраган', 1]
['курткадыъ', 1]
['атканда', 1]
['кар', 1]
['явган', 1]
['капларын', 1]
['унга', 1]
['толтырадылар', 1]
['алтын-куьмис', 1]
['кыстайды', 1]
['азайып', 1]
['туьсин', 1]
['йойган', 1]
['термединъ', 1]
['алтын-куьмиске', 1]
['калдырмай', 1]
['алтын-куьмисти', 1]
['ясыртады', 1]
['уйкы', 1]
['таппайды', 1]
['билсе', 1]
['экевимизди', 1]
['оьлтирер', 1]
['терекке', 1]
['бизден', 1]
['коркатагандай', 1]
['этсин', 1]
['белине', 1]
['туьскен', 1]
['тоьмен', 1]
['шолпаны', 1]
['куьле', 1]
['батканда', 1]
['туьлкиге', 1]
['карт–аювга', 1]
['айланады1', 1]
['туьзилуьви', 1]
['баслап', 1]
['тас', 1]
['оттынъ', 1]
['куьшли-лигиннен', 1]
['ердинъ', 1]
['ярыкларыннан', 1]
['коьпирип', 1]
['пусы', 1]
['кайнаган', 1]
['шорылдап', 1]
['агады', 1]
['коьтерилген', 1]
['пустан', 1]
['туьзиледи', 1]
['коьпиршиклерден', 1]
['тавлар', 1]
['курыладылар25', 1]
['йалы', 1]
['эльбурган', 1]
['тавдниъ', 1]
['тувувы', 1]
['мынълаган', 1]
['йыллар', 1]
['алдын', 1]
['ярыкты', 1]
['атайдылар', 1]
['ярыктан', 1]
['куьйып', 1]
['ямгыр', 1]
['товгеректи', 1]
['ала-ды', 1]
['куткарыладылар', 1]
['кенъ', 1]
['сувдыкъ', 1]
['со-мы', 1]
['кемедикъ', 1]
['затка', 1]
['тийеди', 1]
['кесекке', 1]
['боьлине-ди', 1]
['заманлар', 1]
['озган', 1]
['курыган', 1]
['баслы', 1]
['эльбургаи', 1]
['аскар', 1]
['тав', 1]
['карлытав', 1]
