['э', 1393]
['бикейтуь', 2]
['гiове', 2]
['палунде', 2]
['меху', 2]
['бике', 2]
['доруни', 2]
['энгуьшдери', 2]
['митро', 2]
['сэхде', 2]
['вишеи', 2]
['пенжогь', 2]
['мармардаше', 2]
['мегири', 2]
['зенжиле', 2]
['вегирд', 2]
['нисдуьм', 2]
['дусдме', 2]
['эдембируьт', 2]
['бебейме', 2]
['гiэруьс', 2]
['хосдуьм', 2]
['воку', 2]
['дироморенге', 2]
['бэхьс', 2]
['ведарафде', 2]
['дуре', 2]
['жигегьо', 2]
['войгей', 2]
['гузги', 2]
['назуле', 2]
['мивосдону', 2]
['товуше', 2]
['жогьиле', 2]
['гiэили', 2]
['хунои', 2]
['духдергьою', 2]
['рафдеш', 2]
['гiэруьсире', 2]
['бердени', 2]
['мибурмуну', 2]
['нуьгь', 2]
['эршефи', 2]
['жигерме', 2]
['мунугу', 2]
['той', 2]
['норени', 2]
['ехэн', 2]
['шоробеш', 2]
['вэхуьшдени', 2]
['дебердени', 2]
['дуь-се', 2]
['гирошди', 2]
['эгь', 2]
['рафди', 2]
['вегирде', 2]
['хэгьергьойтуь', 2]
['гьелеш', 2]
['оморет', 2]
['шоробиш', 2]
['вадарафде', 2]
['дирени', 2]
['хьэлов', 2]
['мугъоет', 2]
['заргер', 2]
['гъуьч', 2]
['чендгъэдер', 2]
['сундугъ', 2]
['мидим', 2]
['гьегъ', 2]
['вирихде', 2]
['инжиге', 2]
['мугуют', 2]
['лугъ', 2]
['сэгiбу', 2]
['шуне', 2]
['расирени', 2]
['восдорени', 2]
['гъопу', 2]
['пилоконгьо', 2]
['сохут', 2]
['микуьшуьм', 2]
['суьпле', 2]
['бо', 2]
['23', 2]
['биренки', 2]
['ведешенде', 2]
['туьтем', 2]
['эришу', 2]
['пойневерире', 2]
['вокурдуьт', 2]
['чордогъ', 2]
['теклиф', 2]
['гъуллугъ', 2]
['гьишде', 2]
['кинлере', 2]
['варафд', 2]
['бируьт', 2]
['гогь', 2]
['гiэрдовуже', 2]
['суьглегьой', 2]
['холинче', 2]
['пуф', 2]
['офдоруьт', 2]
['домой', 2]
['тасунде', 2]
['сирои', 2]
['десгьо-пойгьой', 2]
['бесде', 2]
['согъэ', 2]
['вебируьт', 2]
['руьшуьм', 2]
['пуьрсируьт', 2]
['хэндуьсде-хэндуьсде', 2]
['хосденбируьт', 2]
['шоре', 2]
['мейдуй', 2]
['нуькер', 2]
['хоне', 2]
['мисмар', 2]
['шороби', 2]
['биёру', 2]
['пиён', 2]
['дешендуьт', 2]
['пуре', 2]
['гьелбет', 2]
['нелоигъ', 2]
['нифри', 2]
['сохдигьо', 2]
['оморениге', 2]
['биребируьт', 2]
['кукгьо', 2]
['несоху', 2]
['бироргьойтуь', 2]
['кесиге', 2]
['гъэзере', 2]
['гъурлугъ', 2]
['мисохдуьт', 2]
['чуклеи', 2]
['гъоврегьо', 2]
['минжии', 2]
['гъолмогъол', 2]
['дуьздири', 2]
['расируьт', 2]
['шегьертуь', 2]
['хьэроевоз', 2]
['дуьздгьо', 2]
['винирим', 2]
['рафдигьо', 2]
['тулугъгьой', 2]
['кукгьоит', 2]
['дуьруьжди', 2]
['хьуьршлемиш', 2]
['мигьилуьм', 2]
['восдориге', 2]
['гiошбазе', 2]
['пушогьо', 2]
['зендебу', 2]
['велерегьоре', 2]
['энуревоз', 2]
['эзугьо', 2]
['гусбендгьо', 2]
['гiуьмуьрме', 2]
['дуьруьжд', 2]
['гъуногъгьо', 2]
['бебешмуревоз', 2]
['падшогьи', 2]
['номус', 2]
['мидануьм', 2]
['суфдеи', 2]
['сохдебугьо', 2]
['зериге', 2]
['туьреш', 2]
['рафдиге', 2]
['зени', 2]
['мегьр', 2]
['рачи', 2]
['овмени', 2]
['хьэрембошигьо', 2]
['небисдо', 2]
['хэржи', 2]
['гъэзенмиш', 2]
['онгурбогъгьо', 2]
['онгур', 2]
['ченэх', 2]
['гьомбор', 2]
['пулгьоре', 2]
['могъбул', 2]
['пулгьойтуьре', 2]
['негирошд', 2]
['песойме', 2]
['пултуьре', 2]
['гъэревош', 2]
['сохде-сохде', 2]
['одомини', 2]
['шиновусдебу', 2]
['сохденбу', 2]
['беге', 2]
['себэхъ', 2]
['очмиш', 2]
['тохгьой', 2]
['варасде', 2]
['мозол', 2]
['тохгьо', 2]
['векендем', 2]
['кутуми', 2]
['недануьсде', 2]
['гьов', 2]
['дануьсдуьт', 2]
['дорут', 2]
['гереки', 2]
['куьнж', 2]
['гуфдирере', 2]
['вор', 2]
['сохдей', 2]
['бошлемиш', 2]
['жэгiэмет', 2]
['гьерзо', 2]
['недануьсденуьм', 2]
['дуромо', 2]
['нэгъэреш', 2]
['хосе', 2]
['бизен', 2]
['эйме', 2]
['–гуфди', 2]
['чапунде', 2]
['вежегьисде', 2]
['нэгъэричи', 2]
['попох', 2]
['мулларе', 2]
['болхун', 2]
['гiэрсире', 2]
['вегирит', 2]
['угъул', 2]
['шуькеет', 2]
['хунегьой', 2]
['эйчуьи', 2]
['несигiэт', 2]
['шогь-аббас', 2]
['тепейгей', 2]
['шогь-аббасе', 2]
['шогьовоз', 2]
['кишмиш', 2]
['хурмеревоз', 2]
['туьме', 2]
['гую', 2]
['юловчире', 2]
['юловчи', 2]
['нимешев', 2]
['монетгьой', 2]
['эршефигьоймере', 2]
['гiэсели', 2]
['хокорулугъ', 2]
['хьумгьой', 2]
['нечогъэ', 2]
['шугъэм', 2]
['эекиревоз', 2]
['парталгьо', 2]
['хьовд', 2]
['хокоругьо', 2]
['гiуьмуьр', 2]
['гьеммере', 2]
['тульки', 2]
['могъбулиревоз', 2]
['негуфдире', 2]
['гуфдиренбу', 2]
['гъовумгьой', 2]
['невои', 2]
['унигере', 2]
['гъирмизине', 2]
['хьэйкел-тилисимиш', 2]
['салиш', 2]
['нигирору', 2]
['худоревоз', 2]
['42', 1]
['овосунегьо', 1]
['сохденбируьт', 1]
['остгъу', 1]
['хьэйву', 1]
['дерав', 1]
['рафденигьо', 1]
['нашдови', 1]
['хэрире', 1]
['жунтуь', 1]
['визор', 1]
['сохд-сохд', 1]
['михисуьм', 1]
['зу-сери', 1]
['умогьойле', 1]
['винишгьо', 1]
['медемун', 1]
['дениширем', 1]
['могордуге', 1]
['нэхиси', 1]
['ловгьой', 1]
['лезетлуьни', 1]
['суьрои', 1]
['гиснее', 1]
['гiосие', 1]
['пушойсебэхь', 1]
['мержле', 1]
['сир-суьркесуьз', 1]
['лезет', 1]
['лезетевоз', 1]
['кечиире', 1]
['сир-суьрке', 1]
['гушди', 1]
['хэмии', 1]
['сир-суьркеревоз', 1]
['лезетлуьте', 1]
['денишгьо', 1]
['неовурде', 1]
['гезирогьоре', 1]
['дениши-дениши', 1]
['невогошд', 1]
['фурмунд', 1]
['эгъуьлмендте', 1]
['небисдорум', 1]
['мееро', 1]
['мишиновут', 1]
['мисохут', 1]
['дендунегъижи', 1]
['рафдге', 1]
['муьрдале', 1]
['гъи¬рогъ', 1]
['гуърг', 1]
['дануьсдебируьм', 1]
['эгъуьлменди', 1]
['хэрте', 1]
['ниофи', 1]
['гьемейме', 1]
['маладини', 1]
['дера', 1]
['шу', 1]
['маладе', 1]
['шушде', 1]
['товусде', 1]
['гъумгьо', 1]
['денишири', 1]
['эхир', 1]
['шушдейгьо', 1]
['гьечиш', 1]
['муьрдейтуьш', 1]
['ниведиром', 1]
['луьнг', 1]
['шар', 1]
['хэёл', 1]
['гiоси', 1]
['нэгiлетигьо', 1]
['рэхьгьо', 1]
['жилгъэгьоре', 1]
['гиёвгьо', 1]
['видовусде', 1]
['нирай', 1]
['мисохигьоре', 1]
['войгемере', 1]
['зубош', 1]
['нуьвуьсдебу', 1]
['биреимере', 1]
['хьэсуьл', 1]
['оморемге', 1]
['зигьисдемге', 1]
['войгеймени', 1]
['эзумбэгъдойге', 1]
['хьэлолтуь', 1]
['пойтуьре', 1]
['песои', 1]
['гъуз', 1]
['хэте', 1]
['шиллогъ', 1]
['недануьсд51', 1]
['хьэйву-чи', 1]
['тэхсирме', 1]
['хуьшдеш', 1]
['шев-руз', 1]
['гъэргъи', 1]
['зимисду', 1]
['гъизгъин', 1]
['гьеминон', 1]
['оринегьо', 1]
['мунденуьм', 1]
['гиçнеи', 1]
['неденишире', 1]
['келеуьмге', 1]
['жонлуьнуьмге', 1]
['хьозуре', 1]
['балайтуь', 1]
['минжигъи', 1]
['балайме', 1]
['ведировунде', 1]
['мошеревоз', 1]
['поевоз', 1]
['лепуьг', 1]
['дешенденуьт', 1]
['лерз', 1]
['жинсме', 1]
['пеленггьо', 1]
['бебиргьош', 1]
['гьисдиге', 1]
['товунеи', 1]
['сигъмиш', 1]
['биремгьо', 1]
['буй-балайме', 1]
['гофгьойтуьревоз', 1]
['нехурум', 1]
['эжигейме', 1]
['зигь', 1]
['одомигьоревоз', 1]
['ведироморумге', 1]
['хьэлол', 1]
['чули', 1]
['вогошденигьо', 1]
['дегеш', 1]
['хисиреки', 1]
['гирошдегоргьо', 1]
['турьре', 1]
['миденуът', 1]
['мибесдуът', 1]
['хушде', 1]
['гъечуь', 1]
['менуьт', 1]
['хьозури', 1]
['мизигьуь', 1]
['фикиргьо', 1]
['мегируьт', 1]
['гъолинде', 1]
['чубугъэ', 1]
['шумоле-шумоле', 1]
['хьолтуь', 1]
['небири', 1]
['унгъэдейтуьре', 1]
['нимундум', 1]
['ник72', 1]
['пир', 1]
['гъуш-гъэргъэ', 1]
['гуьрде-хурде', 1]
['вероморенбу', 1]
['рузгьоревоз', 1]
['мунденбу', 1]
['нуьщди', 1]
['шиновусдей', 1]
['мибуми', 1]
['парандеи', 1]
['дуьшмеш', 1]
['гъоврей', 1]
['келебебегьой', 1]
['мибошут', 1]
['мифурмуну', 1]
['гъушгьоре', 1]
['мидировуну', 1]
['кулегьо-менгенуь', 1]
['сэгiэр', 1]
['гиснеире', 1]
['нивинуь', 1]
['ранг-руй', 1]
['пусд', 1]
['ругъэни', 1]
['ихьдибори', 1]
['дур-дур', 1]
['хисиренбируьтгьо', 1]
['хисиренбу', 1]
['шеш-хьофд', 1]
['мегьгъо', 1]
['туьлкиревоз', 1]
['эйло', 1]
['сохденигьо', 1]
['гiошгьо', 1]
['миберуьм', 1]
['кеф-хьэз', 1]
['сохдешу', 1]
['дезгогьоревоз', 1]
['нуьщдебу', 1]
['тар', 1]
['фугурдебу', 1]
['дем', 1]
['гъэйси-хилмовевоз', 1]
['тара', 1]
['вэхуьщд', 1]
['дурто', 1]
['нуьщд', 1]
['версиш', 1]
['учмиш', 1]
['олхогьинеревоз', 1]
['чарунд', 1]
['гъэтмэгъэриши', 1]
['гъэжгъуш', 1]
['кунбологъовои', 1]
['мичарунуьт', 1]
['гъэйгъу', 1]
['имбурузиш', 1]
['кеф', 1]
['бирори', 1]
['себэхьиш', 1]
['мофдонуьт', 1]
['миравт', 1]
['межуьм', 1]
['шэхитуь', 1]
['балудире', 1]
['нирасуь', 1]
['мофдонуь', 1]
['мимуьруь', 1]
['куфде-куьшде', 1]
['гьендэгъ', 1]
['сине-сов', 1]
['вемасире', 1]
['мигируьсуь', 1]
['сэхьибгьой', 1]
['михуру', 1]
['мичаруну', 1]
['хэпер', 1]
['миденуьшуь', 1]
['мишинову', 1]
['никигьойме', 1]
['ведеше', 1]
['лэгiэйтуь', 1]
['гофле', 1]
['гуюм', 1]
['фр-р-р', 1]
['минуьiшуь', 1]
['меше', 1]
['гъизмиш', 1]
['ведарафдем', 1]
['гiожиз', 1]
['эгъуьлме', 1]
['жэгiм', 1]
['бирориревоз', 1]
['дерафде', 1]
['верафденигьо', 1]
['гуфдиребугьо', 1]
['медуь', 1]
['мидегешдуь', 1]
['михисуь', 1]
['гелере', 1]
['етэгъ', 1]
['фуравунденигьо', 1]
['дуруне', 1]
['чогъол-туьлки', 1]
['хумнелуье', 1]
['дегещди', 1]
['медебуррут', 1]
['мивирухуну', 1]
['мидарав', 1]
['буруне', 1]
['микешуьт', 1]
['дендуревоз', 1]
['кеширеи', 1]
['медирофдону', 1]
['миденуь', 1]
['мижаву', 1]
['сове-сов', 1]
['бологь', 1]
['миёвге', 1]
['пушорэхьи', 1]
['хуни-хэмирини', 1]
['шугъомо', 1]
['пои', 1]
['суьруьтме', 1]
['гьовойтуь', 1]
['дедеймереш', 1]
['гирисунди', 1]
['суьфдедениш', 1]
['донори', 1]
['шовгiогьо', 1]
['хунди', 1]
['гъурбуни', 1]
['шуьгъэмтуь', 1]
['гъушгьо-парандегьоре', 1]
['товнейтуь', 1]
['мирод', 1]
['нерасире', 1]
['куьшдуьм', 1]
['одохлуьсуьз', 1]
['гьищдуьм', 1]
['коргьош', 1]
['чумтуьре', 1]
['дуьшмени', 1]
['шев-нимешев', 1]
['гъэчэгъиревоз', 1]
['пуч', 1]
['дан', 1]
['эзимогьой', 1]
['нибу82', 1]
['гьовогьо', 1]
['гьовогъдор', 1]
['гiэиб', 1]
['сестуьревоз', 1]
['мэгi', 1]
['нигьойтуьре', 1]
['хундени', 1]
['утанмиш', 1]
['хьэл-гiов', 1]
['хок', 1]
['вераво', 1]
['инсонгъо', 1]
['гъэфесгьой', 1]
['дошденуьт', 1]
['хуб-хубе', 1]
['гушдмере', 1]
['сестуьш', 1]
['хэри', 1]
['гушдтуьш', 1]
['хьэруьми', 1]
['хьэзиш', 1]
['зерени', 1]
['руьхьшенди', 1]
['гьечиниге', 1]
['эгъуьлмендгьой', 1]
['сохгъо', 1]
['векендени', 1]
['хугевоз', 1]
['гъобул', 1]
['нуьшдебугьо', 1]
['мэгiни', 1]
['хундебугьо', 1]
['гъилогъиш', 1]
['возирем', 1]
['бердем', 1]
['бедгiэсуьл', 1]
['чуммере', 1]
['векендеи', 1]
['рузме', 1]
['шеригiэтме', 1]
['гуфдире93', 1]
['ведироморебу', 1]
['энгуьщде', 1]
['гьердуьре', 1]
['огъойму', 1]
['метерсит', 1]
['зерем', 1]
['ведарайм', 1]
['зеним', 1]
['биёрим', 1]
['межлуьс', 1]
['ведерафдуьт', 1]
['атланмиш', 1]
['бугъоз', 1]
['тасунд', 1]
['марале', 1]
['колкуьгьи', 1]
['бизкуьгьире', 1]
['урет', 1]
['игьоре', 1]
['нуьшим-хурим', 1]
['гьемейму', 1]
['чуьклелеюм', 1]
['пучунд', 1]
['падшогь–', 1]
['туьлки–', 1]
['гъувотлуьни', 1]
['хэйвугьои', 1]
['келкуьгьо', 1]
['туь¬ре', 1]
['пишнеитуьре', 1]
['бизкуьгьи', 1]
['шохьонгумитуьре', 1]
['пушойтуь', 1]
['мунделегьош', 1]
['буррири', 1]
['дерсе', 1]
['эгъуле', 1]
['вегуьрдей', 1]
['жунтьу', 1]
['вегуьрдем115', 1]
['кервуй', 1]
['бутьолуье', 1]
['молгьоревоз', 1]
['келчее', 1]
['ведерафдки', 1]
['лойлум', 1]
['хурде-хурде', 1]
['гъувотсуьзи', 1]
['чемелугъ', 1]
['темизе', 1]
['палаше', 1]
['нуькереле', 1]
['догъире', 1]
['гъисмет', 1]
['салам-алейкум', 1]
['гiосииревоз', 1]
['муьрдегьойтуь', 1]
['ибуд', 1]
['пиш', 1]
['товней', 1]
['гуфдириге', 1]
['туьнире', 1]
['нэхире', 1]
['бисдорумге', 1]
['никеши', 1]
['дуьлмухшуьлини', 1]
['хубтеи', 1]
['ёнме', 1]
['дуьлдинжи', 1]
['бели', 1]
['дануьсденуыи', 1]
['гiэсуьлтуьре', 1]
['негьогъ', 1]
['эгъуьлмендевоз', 1]
['бурраш', 1]
['кейф', 1]
['сохдеш', 1]
['серкуширевоз', 1]
['муту', 1]
['хэргьо', 1]
['сабуьрлуье', 1]
['жофодусде', 1]
['хэлгъим', 1]
['дуьлпесои', 1]
['енебуте', 1]
['хуьшдеи', 1]
['гъондурмиш', 1]
['сэхьибме', 1]
['суруле', 1]
['товуши', 1]
['хорунденбу', 1]
['чуьш', 1]
['мундуьм', 1]
['женнет', 1]
['муьрдегьо', 1]
['бэили', 1]
['сохденибируьм', 1]
['кервуини', 1]
['хосиети', 1]
['гiэринейтуьре', 1]
['увэхди-верасд', 1]
['бэхдевере', 1]
['зиндегуниме', 1]
['низенуь', 1]
['шовгiой', 1]
['егилеш', 1]
['незе', 1]
['четин', 1]
['бугеш', 1]
['веромсоре', 1]
['сафар', 1]
['гiэриней', 1]
['биребугьо', 1]
['гьишдебу', 1]
['кервуре', 1]
['некеши', 1]
['деверевоз', 1]
['расеревоз', 1]
['душой', 1]
['вераси', 1]
['недениши', 1]
['азади-олхогьини', 1]
['нечогъи', 1]
['комиревоз', 1]
['офдебу', 1]
['бор', 1]
['уьткеме', 1]
['хуьрдире', 1]
['кеми', 1]
['мувэхьсуьзе', 1]
['бигор', 1]
['нелоигъэ', 1]
['хьэйвуре', 1]
['евошлей', 1]
['дузе', 1]
['оме', 1]
['бурмиш', 1]
['офдореки', 1]
['хьэлежигериревоз', 1]
['гiэжели', 1]
['чорейге', 1]
['деве119', 1]
['косиб-фолчи', 1]
['гуюгьоре', 1]
['гъур', 1]
['кефе', 1]
['фолчиети', 1]
['эму', 1]
['чуьниге', 1]
['векилгьо', 1]
['везиргьо', 1]
['муллагьо', 1]
['ахундгьой', 1]
['нофдуьтге', 1]
['расунд', 1]
['фол', 1]
['вешенде', 1]
['ховтуьре', 1]
['бирэхьми', 1]
['недануьсдге', 1]
['вой-волелеи', 1]
['микишуь', 1]
['фикиргьоревоз', 1]
['хьэлолбе', 1]
['михогьу', 1]
['гiэилгьой', 1]
['сммо', 1]
['гирощдеки', 1]
['пумой', 1]
['мипою', 1]
['митерсуь', 1]
['вирихуь', 1]
['рафдеге', 1]
['мидомуну', 1]
['зери', 1]
['дануьсди', 1]
['недануьсдиге', 1]
['жоллод', 1]
['сертуьре', 1]
['игъролевоз', 1]
['огъой', 1]
['диреи', 1]
['кори', 1]
['падшогьитуь', 1]
['векил-везир', 1]
['гiэмелдани', 1]
['фурмунденуьт', 1]
['нерафд', 1]
['рэхьиге', 1]
['мифурсуь', 1]
['недануьсдуьмге', 1]
['бэхшлемиши', 1]
['уревоз', 1]
['гердош', 1]
['рэгiиеттуь', 1]
['пушотеинею', 1]
['хосиетгьо', 1]
['дивэгiгьо', 1]
['беднефсе', 1]
['хьозуруьт', 1]
['гуьрггьоре', 1]
['суьперде', 1]
['емо', 1]
['хьуьршлуь', 1]
['виники', 1]
['лулей', 1]
['мифирсуь', 1]
['хуъшдере', 1]
['хьэлежигер', 1]
['сохуге', 1]
['куьшуьгу', 1]
['тэхсируьм', 1]
['куьш', 1]
['рэхьмедуьл', 1]
['ховтуъ', 1]
['саламет', 1]
['гусбендлегьоре', 1]
['шолуми', 1]
['саламатиревоз', 1]
['суьрхе', 1]
['эпушойтуь', 1]
['декуьрдем', 1]
['доригьо', 1]
['нисохдиге', 1]
['эршефиш', 1]
['нидо', 1]
['сермереш', 1]
['мимундуьт', 1]
['етим', 1]
['худоиревоз', 1]
['хьэлолиревоз', 1]
['миданиге', 1]
['ведиромореире', 1]
['коргьо', 1]
['земонеи', 1]
['чуьжире', 1]
['земонеиге', 1]
['одомигьош', 1]
['дуьимуъп', 1]
['динжи', 1]
['саламати', 1]
['хьэлоли-хьисобиревсз', 1]
['суьрхгьоре120', 1]
['овгьоре', 1]
['жэгъэржугъ', 1]
['мидиромо', 1]
['шегьериш', 1]
['зеренуьмгьо', 1]
['гирорум', 1]
['невогордум', 1]
['ненге', 1]
['номуси', 1]
['серхьэдгьо', 1]
['миденишуь-мивинуь', 1]
['буьтгбуьтг', 1]
['суьмбуьл', 1]
['мэгiнигьо', 1]
['туьфенг', 1]
['овчире', 1]
['серхьэдгьой', 1]
['эхирмени', 1]
['мэгiнигьой', 1]
['заруьнжие', 1]
['сесевоз', 1]
['хьэёл', 1]
['хьэёли', 1]
['гъэлежи', 1]
['серхьэдгьойтуь', 1]
['гунилейтуь', 1]
['дендуьйтуь', 1]
['мезе', 1]
['ёзугъ', 1]
['биёвгу', 1]
['гуьлгьо-суьмбуьлгьо', 1]
['инсонгьоре', 1]
['гофгьои', 1]
['дануьсдебош', 1]
['зеренуьм', 1]
['вогошденуьм', 1]
['биёбурини', 1]
['вомухум', 1]
['гофме', 1]
['нерасуьгьо', 1]
['шиниренге', 1]
['чохмох', 1]
['эгъуьлгьой', 1]
['бэхшируьм', 1]
['фурмундуьм', 1]
['муьрдейме', 1]
['гуьрдебу', 1]
['шугъэмме', 1]
['сохденбируьм', 1]
['жовогьил', 1]
['инсофсуьз', 1]
['офдонуь', 1]
['падшогьо', 1]
['недануьсдет', 1]
['сигье', 1]
['ковре', 1]
['велггьой', 1]
['верафдеки', 1]
['келле', 1]
['яралуье', 1]
['эхиг', 1]
['вомухдебируьм', 1]
['невегирди', 1]
['муьвэхьтуь', 1]
['гендуьме', 1]
['фуберденуьм', 1]
['дуьимуьнэ', 1]
['жунмере', 1]
['бэхширебири', 1]
['жовогьиле', 1]
['бисдори', 1]
['расуьгьо', 1]
['суьмбуьлгьо', 1]
['бешгей', 1]
['нуьшденуьм', 1]
['эгъуьлсуьзе', 1]
['инжои121', 1]
['шир-аслан', 1]
['хир', 1]
['кошдеиревоз', 1]
['хире', 1]
['дореки', 1]
['терсиреи', 1]
['ранжбере', 1]
['жофокешитуь', 1]
['хэрмон', 1]
['жофоймуре', 1]
['бисдорим', 1]
['хиш', 1]
['зеруьм', 1]
['моле', 1]
['кешируьм', 1]
['тум', 1]
['кошдуьм', 1]
['дурундуьм', 1]
['куфдуьм', 1]
['песг', 1]
['гъуччигьо', 1]
['нигьилуьм', 1]
['мэхьсуьлтуь', 1]
['мэхьсуьлгьоймуре', 1]
['нэхир', 1]
['рэхьгирор', 1]
['дуьзд-донгол', 1]
['гъэреул', 1]
['хунейтуь', 1]
['михиси', 1]
['динж-рэхьэт', 1]
['сохдере', 1]
['ниёв', 1]
['зимигьо-мэхьсуьлгьойтуь', 1]
['оморениниге', 1]
['кортуьш', 1]
['корме', 1]
['хьэрмэхьишуре', 1]
['молгьо', 1]
['девлетгьо', 1]
['деш', 1]
['нуботиревоз', 1]
['гъуногълугъигьош', 1]
['вегирдуьт', 1]
['терсирембири', 1]
['хьэрмэхьимере', 1]
['етте', 1]
['ухшеш', 1]
['герденме', 1]
['хьэрмэхьмени', 1]
['нирав', 1]
['хосиетмере', 1]
['незериге', 1]
['гьйсэгiэт', 1]
['кефелме', 1]
['миденуьм', 1]
['мифуберуьм', 1]
['яралуь', 1]
['бире-бире', 1]
['гирощд', 1]
['зугьуневоз', 1]
['лисире-лисире', 1]
['муиш', 1]
['нерасиреире', 1]
['коминжо', 1]
['зеребириге', 1]
['яраре', 1]
['яра', 1]
['гировундейм', 1]
['гьони', 1]
['дуьшменгьоим139', 1]
['бэгъре', 1]
['эбрэгь', 1]
['вохурдуьт', 1]
['холей', 1]
['нике', 1]
['ведебер', 1]
['улойгей', 1]
['тараф', 1]
['гъовумгьойме', 1]
['зерет', 1]
['венуьш', 1]
['кулме', 1]
['мигезуь', 1]
['бэгъэ', 1]
['муьрдуьм', 1]
['эбрэгъуьм', 1]
['довом', 1]
['гьеркире', 1]
['негезире', 1]
['эбрэгъгьо', 1]
['фураморе', 1]
['лугъонди', 1]
['вомунд', 1]
['эхирме', 1]
['бэгъуьм', 1]
['бэгъгьо', 1]
['гьечуни', 1]
['эбрэгъэ', 1]
['бердеки3', 1]
['овосуней', 1]
['рустом-зол', 1]
['гъэдимо', 1]
['вэхдгьо', 1]
['буи', 1]
['гиде', 1]
['жуьргiэте', 1]
['зол-пегьливон', 1]
['гьемчуьн', 1]
['гъувотлуь', 1]
['жуьргiэтлуь', 1]
['золе', 1]
['пегьливонире', 1]
['варасдем', 1]
['вокунум', 1]
['парталмере', 1]
['венуьшуьм', 1]
['хэбериге', 1]
['гъэргъэи-пулат', 1]
['ерэгъ-седэгь', 1]
['егьер-егьерлемиш', 1]
['гурундире', 1]
['уьнгуьлире', 1]
['ниет', 1]
['гердуьм', 1]
['нивогордуьм', 1]
['гiэсбгьойге', 1]
['буррамгьо', 1]
['мемзуьле', 1]
['буррамбу', 1]
['жигер', 1]
['пегьливугьойге', 1]
['ярамиш', 1]
['дирногъ', 1]
['сер-сереки', 1]
['дечиреи', 1]
['гъопугьой', 1]
['рэхьои', 1]
['мегь-дуь', 1]
['гешдеревоз', 1]
['иловлею', 1]
['гуьл-гъуьзуьргуьл', 1]
['рихьон', 1]
['буетмиш', 1]
['чор-хьэвуьз', 1]
['билогъи', 1]
['лилов', 1]
['хурденге', 1]
['руьгъэне', 1]
['гузгире', 1]
['шушд', 1]
['гъилмиш', 1]
['кучегьой', 1]
['гиев', 1]
['хоригьой', 1]
['шуьм', 1]
['руьмиш', 1]
['гуьзели', 1]
['гъэлечегьо', 1]
['хьэрзои', 1]
['гъэфесгьо', 1]
['кучегьо', 1]
['хьэйвонетгьо', 1]
['жейронгьо', 1]
['говкуьигьо', 1]
['эдете', 1]
['савзе', 1]
['хэел', 1]
['домунд', 1]
['муьгiуьжуьзи', 1]
['пегьливон', 1]
['вилеете', 1]
['доребу', 1]
['гьэриш', 1]
['кор-сур', 1]
['дер-гъопу', 1]
['миденишуб', 1]
['гъэле', 1]
['мерав', 1]
['мужине', 1]
['келеиюре', 1]
['песо-пушой', 1]
['гъэлечере', 1]
['жилгъэ', 1]
['гiэрелугъ', 1]
['дошдем', 1]
['суьфдей', 1]
['ведарафдей', 1]
['куьлбош', 1]
['вогошдей', 1]
['дерсгьой', 1]
['киньет', 1]
['хунд', 1]
['гьисд', 1]
['сохдейгьо', 1]
['етим-бичоре', 1]
['кумекуьм', 1]
['хунриз', 1]
['дуьшменуьм', 1]
['дарам', 1]
['дору', 1]
['расуьм', 1]
['дартмиш', 1]
['сохдгьо', 1]
['лов-тов', 1]
['тебэгъэи', 1]
['чепи', 1]
['сожингьоревоз', 1]
['дечири', 1]
['бузгьой', 1]
['хунини', 1]
['утогъгьо', 1]
['лос', 1]
['шэгiмгьо', 1]
['тути-гъуш', 1]
['гъэфес', 1]
['вараюнде', 1]
['сегьм', 1]
['хьэйф', 1]
['стол', 1]
['сини', 1]
['гусбенд-бирьен', 1]
['гiошиш', 1]
['бугъ', 1]
['е-дуь', 1]
['чопологъ', 1]
['тозеи', 1]
['вериморениге', 1]
['лет', 1]
['дервозере', 1]
['летигере', 1]
['ене', 1]
['рузгор', 1]
['темиз', 1]
['бирмундебу', 1]
['зимилерзе', 1]
['лерзи', 1]
['тирак', 1]
['кемте', 1]
['гiэтлуь', 1]
['расиреки', 1]
['килитмере', 1]
['сохдегор', 1]
['диреморо', 1]
['хьэрегьой', 1]
['билогъэ', 1]
['суймиш', 1]
['ведешендени', 1]
['шод', 1]
['чорхьэвуьз', 1]
['мидекенуь', 1]
['первордигори', 1]
['гiэлем', 1]
['ярам', 1]
['бирими', 1]
['гьелуьсди', 1]
['хьол', 1]
['гуьрдей', 1]
['буррим', 1]
['гъэдере', 1]
['шегьеруьм', 1]
['богъбони', 1]
['ранжбери', 1]
['тукончи', 1]
['сенигiэтиш', 1]
['хьофдод', 1]
['министр', 1]
['нит', 1]
['гьемееки', 1]
['хьохомгьой', 1]
['гiэлими', 1]
['эгенерр', 1]
['миверзуь', 1]
['падшогьгьо', 1]
['ченджире', 1]
['бэхшгьоревоз', 1]
['фуьрсо', 1]
['исламе', 1]
['кукмере', 1]
['воисдере', 1]
['зигьо', 1]
['теклифи', 1]
['пулгьо-молгьо', 1]
['зиеди', 1]
['хосдемун', 1]
['куктуьре', 1]
['саламат', 1]
['биеруьм', 1]
['шерт', 1]
['шейх-исламевоз', 1]
['гiэсбмеш', 1]
['дай', 1]
['дае', 1]
['пегьливониш', 1]
['оморим', 1]
['расирим', 1]
['мескен', 1]
