['бур', 1623]
['хьувча', 3]
['жанаварт', 3]
['хъуними', 3]
['магърал', 3]
['ахирданий', 3]
['вярхъ', 3]
['жунна', 3]
['дигьалагру', 3]
['цулкiлун', 3]
['аьркиншиву', 3]
['ччаннал', 3]
['магърай', 3]
['ухьурча', 3]
['кiивагу', 3]
['чакъалданухь', 3]
['ххарисса', 3]
['ттуяр', 3]
['биривну', 3]
['хiайвандалул', 3]
['ккаркри', 3]
['хъатiуй', 3]
['бияхха', 3]
['тачiав', 3]
['хъатiуйн', 3]
['буччиннин', 3]
['хьхьичiава', 3]
['рязину', 3]
['левххуну', 3]
['бай', 3]
['тiутiив', 3]
['ччикку', 3]
['чайсса', 3]
['буххан', 3]
['бусанна', 3]
['оьрчiах', 3]
['исвагьисса', 3]
['гайннуйн', 3]
['къабайссар', 3]
['баншиврул', 3]
['лелуххантрал', 3]
['мурхьирай', 3]
['уру', 3]
['циванна', 3]
['ххуйшиву', 3]
['исвагьи', 3]
['кiулну', 3]
['дунугу', 3]
['лихъарча', 3]
['бакiрай', 3]
['биян', 3]
['бумур', 3]
['цумур', 3]
['бюхъай', 3]
['талан', 3]
['къакiулсса', 3]
['мукунгу', 3]
['душмантал', 3]
['цанавагу', 3]
['дулуркьуну', 3]
['бизлай', 3]
['душман', 3]
['гама', 3]
['ивкiссания', 3]
['чара', 3]
['ххялцул', 3]
['къарщуну', 3]
['гьивчру', 3]
['гьарайзунал', 3]
['барчагу', 3]
['къатiа', 3]
['бурчу', 3]
['анна', 3]
['буцинсса', 3]
['неххявун', 3]
['ххуй-ххуйсса', 3]
['ганаща', 3]
['лахъи', 3]
['ницащал', 3]
['бачин', 3]
['аьркинсса', 3]
['диша', 3]
['муруллийх', 3]
['ххуймур', 3]
['зарал', 3]
['циняннал', 3]
['дав', 3]
['нахiу', 3]
['ларкьуну', 3]
['бувчiусса', 3]
['лялалу', 3]
['ххялцун', 3]
['мугьисалт', 3]
['гайннахьхьун', 3]
['чiяву', 3]
['нацiу-кьацiу', 3]
['зимизрал', 3]
['щащан', 3]
['дуллалини', 3]
['гужрай', 3]
['бусила', 3]
['кьурувалливун', 3]
['накiлил', 3]
['оьлгу', 3]
['багьтiатi', 3]
['къабюхъанссар', 3]
['къала', 3]
['щун', 3]
['чятир', 3]
['бюхъайсса', 3]
['ихтияр', 3]
['къачагътал', 3]
['хъянгу', 3]
['буккияра', 3]
['чiана', 3]
['арулагу', 3]
['уккансса', 3]
['лякъинна', 3]
['унува', 3]
['къаричiан', 3]
['гьу', 3]
['дуца', 3]
['душничiан', 3]
['душварал', 3]
['гара', 3]
['нигь', 3]
['каний', 3]
['лирккун', 3]
['булагърачiан', 3]
['жагьил', 3]
['цачiава', 3]
['лухiи', 3]
['царай', 3]
['ялугьлан', 3]
['низам', 3]
['нуххулун', 3]
['ласлай', 3]
['шагьрулувун', 3]
['арцу-мусигу', 3]
['хiакьину', 3]
['ттухь', 3]
['вилсса', 3]
['гьалмахчу', 3]
['ухьхьу', 3]
['къабуслай', 3]
['ххуллул', 3]
['шичча', 3]
['гьузуй', 3]
['къалардал', 3]
['бакiругу', 3]
['мазрай', 3]
['щингу', 3]
['дучран', 3]
['цивппагу', 3]
['гьунттий', 3]
['кания', 3]
['чiалачiи', 3]
['мархь', 3]
['20', 3]
['хъаралух', 3]
['мукъуй', 3]
['урчiамур', 3]
['мунин', 3]
['гьанну', 3]
['байхту', 3]
['шамилчинмур', 3]
['ухху', 3]
['къужа', 3]
['бити', 3]
['оьрчiайн', 3]
['рязишиву', 3]
['баяйхту', 3]
['гьанттайнсса', 3]
['шанаши', 3]
['никъа', 3]
['дурцiусса', 3]
['карщигу', 3]
['дуллусса', 3]
['къатраву', 3]
['шама', 3]
['цiуххуну', 3]
['ивкiукун', 3]
['мунахь', 3]
['цiий', 3]
['антiиссара', 3]
['жиплуву', 3]
['тинай', 3]
['къалявкъукун', 3]
['дарча', 3]
['цинявппа', 3]
['ларгсса', 3]
['бигьасса', 3]
['азихъругу', 3]
['ссанчiав', 3]
['ахчуну', 3]
['ххурххулул', 3]
['бивзсса', 3]
['кьяпа', 3]
['дянивгу', 3]
['гьантлувату', 3]
['учiаннин', 3]
['зува', 3]
['уссурвалгу', 3]
['усттарначiан', 3]
['чулухсса', 3]
['лачiлачiисса', 3]
['миннайн', 3]
['хьул', 3]
['чурттуйх', 3]
['миннатру', 3]
['аждагьарттал', 3]
['гьалак', 3]
['кьюлтiсса', 3]
['зурул', 3]
['циксса', 3]
['мальон', 3]
['канихьхьун', 3]
['кьанкь', 3]
['цащара', 3]
['къиялий', 3]
['думур', 3]
['цiарал', 3]
['виричушиву', 3]
['къатлувусса', 3]
['кьатiувай', 3]
['рищлай', 3]
['цайна', 3]
['гьивч', 3]
['уругун', 3]
['учирча', 3]
['бюхълай', 3]
['сситтул', 3]
['къатлувух', 3]
['дукансса', 3]
['а', 3]
['ттучандалийн', 3]
['къадиртун', 3]
['биялсса', 3]
['кьункьулагу', 3]
['ялугьлай', 3]
['май', 3]
['иян', 3]
['кiулхьуну', 3]
['бивтукун', 3]
['варсигу', 3]
['цiакьсса', 3]
['шяравун', 3]
['шярава', 3]
['тийн', 3]
['лякъинтiиссар', 3]
['нехгу', 3]
['ятiюлсса', 3]
['илхъилува', 3]
['майбакъухь', 3]
['оьрчiахгу', 3]
['никъащуну', 3]
['ланкi', 3]
['юх', 3]
['ливкiуну', 3]
['кьуркьуну', 3]
['дуниялли', 3]
['уттара', 3]
['щищачiав', 3]
['къарихь', 3]
['захiматсса', 3]
['лувн', 3]
['чурххая', 3]
['хьуссарив', 3]
['ххаришиврул', 3]
['хъиртту', 3]
['оьличiан', 3]
['дурккуну', 3]
['бургу', 3]
['дакьинниссар', 3]
['гьартасса', 3]
['кабакьиннав', 3]
['къаттагу', 3]
['ашрапирттугу', 3]
['зунмагу', 3]
['зуй', 3]
['бакъашиву', 3]
['ккаччан', 3]
['хьхьичiсса', 3]
['ххулув', 3]
['неххалгу', 3]
['битавай', 3]
['дулакьай', 3]
['лахъу', 3]
['лякъи', 3]
['ххядукки', 3]
['цичiава', 3]
['дуллалиминнал', 3]
['бакьиннав', 3]
['ккаччачiан', 3]
['цин', 3]
['къия', 3]
['битан', 3]
['руртiуну', 3]
['бала', 3]
['бугьияра', 3]
['жавгьарданул', 3]
['хьунтiиссар', 3]
['ванин', 3]
['кунни', 3]
['бунни', 3]
['цинна', 3]
['кiисригу', 3]
['дуртуну', 3]
['бавхiусса', 3]
['ванихь', 3]
['дивуй', 3]
['гъаргъуну', 3]
['чурххай', 3]
['дартiуну', 3]
['дуркукун', 3]
['пашмакь', 3]
['ччаннай', 3]
['душний', 3]
['амрулийн', 3]
['гиккува', 3]
['касакгу', 3]
['мякьлил', 3]
['инсантурая', 3]
['ласлан', 3]
['диркiуну', 3]
['учiайхту', 3]
['къадикiанна', 3]
['мунияту', 3]
['бурчувун', 3]
['жайрангу', 3]
['дурксса', 3]
['машан', 3]
['паччахiнахъул', 3]
['тiуркiу', 3]
['ваца', 3]
['буцири', 3]
['лугу', 3]
['хьхьунугу', 3]
['буцинну', 3]
['къалавгун', 3]
['нукарталгу', 3]
['къабивтун', 3]
['тагу', 3]
['уллай', 3]
['цира', 3]
['дуниял', 3]
['гьай', 3]
['къел', 3]
['лачин', 3]
['кiунттил', 3]
['бавцiусса', 3]
['бюхъанссар', 3]
['муруллул', 3]
['утан', 3]
['зума', 3]
['ара', 3]
['аьжаивсса', 3]
['кьуннияллай', 3]
['дачiи', 3]
['ивчiан', 3]
['мукьав', 3]
['нигьал', 3]
['буссарив', 3]
['тiитiу', 3]
['учара', 3]
['ссупрагу', 3]
['ганачiа', 3]
['куявначiан', 3]
['пурш-мурш', 3]
['дацiияра', 3]
['дацiу', 3]
['цуркинтрал', 3]
['чiаххучу', 3]
['лякъинну', 3]
['тiаркь-маркь', 3]
['бавцусса', 3]
['бучiаннин', 3]
['цайнна', 3]
['бавтiуну', 3]
['цана', 3]
['дахчуну', 3]
['уссурваврал', 3]
['ганахун', 3]
['ярагъ', 3]
['чивчуну', 3]
['дакьин', 3]
['авкьуну', 3]
['биял', 3]
['къахьунссар', 3]
['къачiалай', 3]
['нух', 3]
['зурзу', 3]
['качалгу', 3]
['хавай', 3]
['нисирал', 3]
['рутлай', 3]
['буллалисса', 3]
['базаллувун', 3]
['ганихлу', 3]
['чувчiав', 3]
['увккуну', 3]
['аьркинни', 3]
['къариртун', 3]
['аьй', 3]
['бизу', 3]
['ссихьри', 3]
['дуссияв', 3]
['бувкiунни', 3]
['хiатталлив', 3]
['валлагьи', 3]
['дайсса', 3]
['кьиматрал', 3]
['кiанттуву', 3]
['цанчирча', 3]
['бакъухърал', 3]
['микi', 3]
['дулуннача', 3]
['кьалакьи', 3]
['кьункьула', 3]
['дуцин', 3]
['ччисса', 3]
['кiиссурах', 3]
['варси', 3]
['гьарцаннан', 3]
['цайва', 3]
['ххуйми', 3]
['ух', 3]
['уссин', 3]
['тiайлассар', 3]
['бурж', 3]
['къахьурча', 3]
['нахiумур', 3]
['шава', 3]
['урав', 3]
['ганахьхьун', 3]
['чiумуй', 3]
['гайми', 3]
['дулланна', 3]
['байрив', 3]
['кьинибархан', 3]
['ххуку', 3]
['вацiлувун', 3]
['арцугу', 3]
['ухьукун', 3]
['чарил', 3]
['тяхъашивуртту', 3]
['баву', 3]
['ганая', 3]
['луттирал', 3]
['ххюцiалва', 3]
['бувчiлан', 3]
['бувчiуй', 3]
['ливчiунни', 3]
['банну', 3]
['бувчiунни', 3]
['кьукьинтiиссар', 3]
['бувчiучiан', 3]
['хъацiлул', 3]
['дикiан', 3]
['кьисас', 3]
['мискиннахь', 3]
['дирну', 3]
['баллай', 3]
['лувмур', 3]
['шачiану', 3]
['залуннахь', 3]
['бутлан', 3]
['ччатiгу', 3]
['гургагу', 3]
['судия', 3]
['дахху-ласултрал', 3]
['гьантлувун', 3]
['улувкьуну', 3]
['дурр', 3]
['расписка', 3]
['бухьурчагу', 3]
['дулун', 3]
['хьуншиврул', 3]
['дури', 3]
['къурушращал', 3]
['шанттуршра', 3]
['ряхра', 3]
['кiилчинма', 3]
['кiункiурдувун', 3]
['мутялимтуран', 3]
['кьади', 3]
['гьарахъун', 3]
['кьаллувун', 3]
['ххютлил', 3]
['къараахiмадлун', 3]
['ххункi', 3]
['уттини', 3]
['рикi', 3]
['увкуссия', 3]
['гъай', 3]
['дакъашиву', 3]
['увкiуна', 3]
['чумартнал', 3]
['саргъунну', 3]
['тарс', 3]
['учай', 3]
['хазайннал', 3]
['хазайн', 3]
['дахчукун', 3]
['шайссар', 3]
['лакрал', 3]
['цiуртти', 3]
['кьун', 3]
['архъан', 3]
['увкуна', 3]
['кунна', 3]
['аццалавлул', 3]
['патiи', 3]
['сухасулу', 3]
['ччиту', 2]
['кiулу', 2]
['анаварсса', 2]
['къалмул', 2]
['ганихсса', 2]
['кьяркьарал', 2]
['бичлай', 2]
['цуша', 2]
['парх', 2]
['асландалул', 2]
['дурхха', 2]
['магъращал', 2]
['пахру', 2]
['дирирди', 2]
['ппурттуву', 2]
['щинаву', 2]
['чiявукiулшивугу', 2]
['лирчiуну', 2]
['магърацiун', 2]
['мукьах', 2]
['цiулкiлул', 2]
['инсантуран', 2]
['34', 2]
['бивкiусса', 2]
['цилалу', 2]
['булунну', 2]
['шинни', 2]
['аьраххуллурдавух', 2]
['гьуртту', 2]
['дуссия', 2]
['къащи', 2]
['дусталгу', 2]
['жунма', 2]
['макi', 2]
['цуманан', 2]
['ххюнхху', 2]
['бикiайхту', 2]
['ччиссаксса', 2]
['пулав', 2]
['букав', 2]
['ккашилсса', 2]
['аьвзал', 2]
['укуннасса', 2]
['мичiак', 2]
['затурттил', 2]
['вевгу', 2]
['хъанахъини', 2]
['читiу', 2]
['шатлун', 2]
['шиннай', 2]
['лехлан', 2]
['къатрал', 2]
['цама', 2]
['чил', 2]
['маитари', 2]
['магьри', 2]
['ччиккимявлун', 2]
['кьадарсса', 2]
['кюругу', 2]
['вяркъулгу', 2]
['мукьал', 2]
['кiунтiру', 2]
['багьсса', 2]
['мюрщисса', 2]
['бишайсса', 2]
['хъугу', 2]
['марщагу', 2]
['марщайсса', 2]
['мурхьгу', 2]
['бутаннавкьай', 2]
['бутавив', 2]
['пашмансса', 2]
['бутан', 2]
['бути', 2]
['къабулунна', 2]
['буври', 2]
['яругу', 2]
['шайрив', 2]
['цiарду', 2]
['дуллалаврил', 2]
['пахрулувун', 2]
['авлияй', 2]
['бурчаллагь', 2]
['ппур', 2]
['уттиния', 2]
['уччиннин', 2]
['щукру', 2]
['кьус', 2]
['икiарча', 2]
['бикiияра', 2]
['рищун', 2]
['аькьлукар', 2]
['ккутi', 2]
['къабан', 2]
['къабандалущал', 2]
['виярва', 2]
['акъассар', 2]
['бювкьу-аьй', 2]
['талай', 2]
['бакъахьу', 2]
['нуххувун', 2]
['хiайвантрайн', 2]
['щащлай', 2]
['ххялцулгу', 2]
['акъари', 2]
['увххуну', 2]
['бакъассагу', 2]
['литiун', 2]
['къараллу', 2]
['бивзуну', 2]
['бурча', 2]
['бакьи', 2]
['арабхан', 2]
['бухьхьу', 2]
['анну', 2]
['багьунни', 2]
['паччахiнахъаннийн', 2]
['зарах', 2]
['уруглагисса', 2]
['урхха', 2]
['чiалъаьрду', 2]
['жалингу', 2]
['хiангу', 2]
['хъунав', 2]
['вияр', 2]
['чурххал', 2]
['бухьукун', 2]
['гилун', 2]
['багьарча', 2]
['бивчiарча', 2]
['ххи', 2]
['тiяан', 2]
['цiивур', 2]
['аьркинну', 2]
['бивкiссар', 2]
['митiикьукьухь', 2]
['хiала', 2]
['гужну', 2]
['буккавай', 2]
['къабуккавай', 2]
['гъаттаран', 2]
['цiил', 2]
['арцу-мусил', 2]
['дулунсса', 2]
['ларххусса', 2]
['гукунсса', 2]
['дурухлан', 2]
['дукьрахiан', 2]
['аьлагъужа', 2]
['къюкi', 2]
['ургъил', 2]
['лахьлай', 2]
['ария', 2]
['бянив', 2]
['бувкра', 2]
['ака', 2]
['гъангъаратiул', 2]
['къабувккун', 2]
['кiюласса', 2]
['тiайланма', 2]
['бакъуй', 2]
['бургъия', 2]
['ттивзуну', 2]
['оьртулул', 2]
['гайннуща', 2]
['оьртулува', 2]
['хъит-шит', 2]
['къабювхъуну', 2]
['жущава', 2]
['чiанулун', 2]
['бювкьуну', 2]
['бакъавцiуну', 2]
['лачiлай', 2]
['билаятрай', 2]
['къалалул', 2]
['гьава', 2]
['цури', 2]
['хьунсса', 2]
['къачагъ', 2]
['ялавай', 2]
['ччаннайн', 2]
['ганангу', 2]
['къалалуву', 2]
['бахшиш', 2]
['тiилисин', 2]
['щяпа', 2]
['гьаваллавух', 2]
['аьгу', 2]
['циссара', 2]
['къарий', 2]
['жами', 2]
['къалалува', 2]
['багьлан', 2]
['хьхьирил', 2]
['чiавахьулттин', 2]
['макьанну', 2]
['хьулухун', 2]
['аьтiиссара', 2]
['ливчiсса', 2]
['шивун', 2]
['душнищал', 2]
['гьари', 2]
['назирнал', 2]
['янна-ярагъуннилгу', 2]
['чак', 2]
['цаламур', 2]
['гьунттимур', 2]
['ссятрай', 2]
['бивтсса', 2]
['уруглан', 2]
['нуххула', 2]
['мюрш', 2]
['гьа', 2]
['икiайрив', 2]
['гьарцаннайх', 2]
['цуманал', 2]
['хъямалартту', 2]
['чайманалгу', 2]
['шаппа-шаппайн', 2]
['унсукьма', 2]
['шанугу', 2]
['авгу', 2]
['кiиву', 2]
['тиккун', 2]
['арцу-муси', 2]
['гьарцаннал', 2]
['дакiнисса', 2]
['гайннава', 2]
['къархьунни', 2]
['ссавур', 2]
['махъмий', 2]
['бувцiусса', 2]
['мурхьру', 2]
['лелуххант', 2]
['гьарзад', 2]
['гьалмахчура', 2]
['ххябуккан', 2]
['най-най', 2]
['цалла', 2]
['хъаннихь', 2]
['аьщун', 2]
['энчi', 2]
['гьунарду', 2]
['буруглай', 2]
['зивулул', 2]
['лахъшиврий', 2]
['ча', 2]
['пiякь', 2]
['21', 2]
['22', 2]
['бакьинтiиссар', 2]
['чiирттаращалсса', 2]
['23', 2]
['къалардавун', 2]
['кiивун', 2]
['къалалувусса', 2]
['аьрххи', 2]
['къагьанна', 2]
['авттуну', 2]
['увккунна', 2]
['24', 2]
['цiухха', 2]
['25', 2]
['буттачiан', 2]
['хъямалагу', 2]
['шаппайн', 2]
['26', 2]
['вагу', 2]
['бацин', 2]
['къабуллай', 2]
['27', 2]
['нехру', 2]
['тургу', 2]
['карщи', 2]
['жипливу', 2]
['дирхьун', 2]
['виргъандалул', 2]
['28', 2]
['цилла', 2]
['лявкъун', 2]
['мийгу', 2]
['кьункьулливгу', 2]
['паччахiналгу', 2]
['шананнин', 2]
['ахттая', 2]
['хiаллих', 2]
['багьлай', 2]
['нинугу', 2]
['сурат', 2]
['хьхьичiух', 2]
['пар', 2]
['уругукун', 2]
['уцара', 2]
['къаувну', 2]
['аьдат', 2]
['азихъгу', 2]
['мивун', 2]
['оьрчiахьхьун', 2]
['кiункiур', 2]
['щюлисса', 2]
['арду', 2]
['неъматру', 2]
['арнил', 2]
['–куну', 2]
['цiанакул', 2]
['бикiантiиссар', 2]
['кiиягу', 2]
['къаикiарча', 2]
['зунма', 2]
['кiулмур', 2]
['кьякьлухун', 2]
['шагьрулин', 2]
['бюхъанссарив', 2]
['къуршилуву', 2]
['лакьин', 2]
['кия', 2]
['бизарча', 2]
['тiиссаксса', 2]
['чурттугу', 2]
['къалалучiан', 2]
['чурттущал', 2]
['увчiун', 2]
['чаяту', 2]
['барулучiан', 2]
['хъярч', 2]
['бухьунссар', 2]
['къаттай', 2]
['хъис', 2]
['девтурайн', 2]
['лахъияра', 2]
['кiийн', 2]
['аждагьартту', 2]
['учиннин', 2]
['зугу', 2]
['виричусса', 2]
['жан', 2]
['къаантiиссара', 2]
['къавхьунни', 2]
['ранг-рангсса', 2]
['тiутiал', 2]
['оьрчiи', 2]
['кьункьал', 2]
['ххуйшиврул', 2]
['хiайран', 2]
['буллаллисса', 2]
['яттил', 2]
['уххайхту', 2]
['шавату', 2]
['кьас', 2]
['дантiиссар', 2]
['канихьсса', 2]
['дукканнин', 2]
['талихi', 2]
['оьфвай', 2]
['ссурссулухун', 2]
['лажин', 2]
['ссахчiав', 2]
['хьхьичiмур', 2]
['кiива-шанма', 2]
['душругу', 2]
['хьхьичiмий', 2]
['аждагьагу', 2]
['шанмагу', 2]
['къуману', 2]
['балики', 2]
['маритара', 2]
['учiу', 2]
['чурттул', 2]
['чiаравсса', 2]
['уссурварал', 2]
['кiийва', 2]
['къахьунтiиссар', 2]
['ливчiссар', 2]
['дюъ', 2]
['бан-битан', 2]
['бух', 2]
['къаикiанна', 2]
['тiитiин', 2]
['мива', 2]
['навагу', 2]
['кутiа', 2]
['ахттакьун', 2]
['тапшур', 2]
['духсса', 2]
['бишинна', 2]
['бурттигьу', 2]
['душнингу', 2]
['излай', 2]
['цавайннал', 2]
['ччучлай', 2]
['дакiнил', 2]
['личiа', 2]
['увкiрав', 2]
['бивхьусса', 2]
['аьрххилин', 2]
['чаннаннил', 2]
['цiан-цiансса', 2]
['вацiри', 2]
['къума-къумасса', 2]
['ратiру', 2]
['бюхтту-бюхттулсса', 2]
['зунттурду', 2]
['тiюванжаригу', 2]
['уссарав', 2]
['ци-дунугу', 2]
['тий', 2]
['даннуча', 2]
['къаччай', 2]
['бусай', 2]
['иткъаххяххан', 2]
['бакьайссарча', 2]
['ххурххутiи', 2]
['буругарча', 2]
['бавкьусса', 2]
['оькуну', 2]
['гьала', 2]
['лагарав', 2]
['ккакканнача', 2]
['дяъви', 2]
['нарахха', 2]
['танал', 2]
['дачiиннуча', 2]
['цаннан', 2]
['къааьркинссар', 2]
['ябува', 2]
['ттурлу', 2]
['нартнайн', 2]
['нартнан', 2]
['ванангу', 2]
['цачiана', 2]
['аьркинссару', 2]
['кiинмай', 2]
['ришлай', 2]
['чанну', 2]
['ненттябакiравусса', 2]
['илхъивгу', 2]
['угьуну', 2]
['щявн', 2]
['агьсса', 2]
['янин', 2]
['айивхьуну', 2]
['танин', 2]
['хьунссар', 2]
['тих', 2]
['диркiусса', 2]
['бявхiуну', 2]
['хьхьунил', 2]
['хъюву', 2]
['икрамгу', 2]
['къааннав', 2]
['яллагь', 2]
['щяивтун', 2]
['агьра', 2]
['наниссарив', 2]
['къапулул', 2]
['нузкьунттуйх', 2]
['щайхту', 2]
['варсул', 2]
['бакiрая', 2]
['багьайсса', 2]
['ивукун', 2]
['лелуххигу', 2]
['кiунтi', 2]
['увсса', 2]
['кiанттая', 2]
['миккугу', 2]
['цiугу', 2]
['бургъийн', 2]
['булайсса', 2]
['цiупi', 2]
['хъирттарава', 2]
['чiаравгу', 2]
['къабитанна', 2]
['битанмур', 2]
['хъуру', 2]
['бикiанниссар', 2]
['гайннахьгу', 2]
['банниссара', 2]
['бакьинниссар', 2]
['дикiанниссар', 2]
['барчамантал', 2]
['дича', 2]
['бича', 2]
['чурттурду', 2]
['чурттурдайхгу', 2]
['лавхъуну', 2]
['чассажий', 2]
['гьавалул', 2]
['асият', 2]
['учинниссар', 2]
['булу', 2]
['шюша', 2]
['марцiшиву', 2]
['бачу', 2]
['саргъасраву', 2]
['лихъу', 2]
['дуллалиминначiан', 2]
['нузкьунгу', 2]
['ритта', 2]
['шюршуну', 2]
['зевххуну', 2]
['хiисаврай', 2]
['дишайсса', 2]
['куртiну', 2]
['бугьи', 2]
['дуллалими', 2]
['мабакьари', 2]
['пишкаш', 2]
['пашмакьругу', 2]
['дуллалиминналгу', 2]
['увкунни', 2]
['дяъван', 2]
['бургъилу', 2]
['чiиллул', 2]
['дархiусса', 2]
['зерххуну', 2]
['диллан', 2]
['щябивтун', 2]
['бави', 2]
['хайрданийн', 2]
['дуллалиминнахьгу', 2]
['неххахь', 2]
['буххайхту', 2]
['чiярувсса', 2]
['ттаралданух', 2]
['авлиясса', 2]
['чiатiрах', 2]
['рищлан', 2]
['гайннаща', 2]
['дуркiукун', 2]
['лякъинниссар', 2]
['дурччусса', 2]
['вичiа', 2]
['шархьуну', 2]
['аьрщарал', 2]
['лахълахъисса', 2]
['ччанная', 2]
['бугьлай', 2]
['мицi', 2]
['дахьра', 2]
['ччянива', 2]
['жалинну', 2]
['дучiанна', 2]
['бивчiавай', 2]
['бацiарча', 2]
['яхi', 2]
['хiачiансса', 2]
['хьхьичiунмай', 2]
['бачи', 2]
['къуйлувун', 2]
['мутталий', 2]
['ккупiастал', 2]
['бадралуцiун', 2]
['мяйра', 2]
['шинавун', 2]
['яларай', 2]
['задрал', 2]
['кьатiату', 2]
['къаричiа', 2]
['къабитара', 2]
['ссихiирду', 2]
['ливкри', 2]
['бабай', 2]
['баххан', 2]
['нюжмардувун', 2]
['ссувхiатру', 2]
['укканнин', 2]
['бизан', 2]
['чанна', 2]
['бучiанссар', 2]
['булларчангу', 2]
['мадулларда', 2]
['къалаглай', 2]
['бишлай', 2]
['жувагу', 2]
['хъювусулну', 2]
['гамунил', 2]
['парча', 2]
['цаннил', 2]
['дуртун', 2]
['рутан', 2]
['дуканмургу', 2]
['гилу', 2]
['шива', 2]
['урача', 2]
['вилах', 2]
['шамма', 2]
['зурувун', 2]
['ттунма', 2]
['хъатiигу', 2]
['циняннан', 2]
['буруглан', 2]
['дучiаннин', 2]
['заназисса', 2]
['махъми', 2]
['махiатталну', 2]
['цiаравун', 2]
['иллан', 2]
['чакмарду', 2]
['аьсавгу', 2]
['уклай', 2]
['аьнт', 2]
['зуманивсса', 2]
['марщай', 2]
['инсанна', 2]
['кiиккун', 2]
['маслихiат', 2]
['щинзирду', 2]
['дархiуну', 2]
['ачин', 2]
['задрая', 2]
['цихьва', 2]
['икiайссар', 2]
['щища', 2]
['цурив', 2]
['тахсир', 2]
['бакъассар', 2]
['дакьил', 2]
['хьунин', 2]
['вацiилу', 2]
['цiарайх', 2]
['шавхьун', 2]
['ттихiин', 2]
['чiуний', 2]
['мяммай', 2]
['бахiиви', 2]
['булурча', 2]
['кулпатгу', 2]
['кьянатшиву', 2]
['гивусса', 2]
['мусил-мухiадлухь', 2]
['ссалчiав', 2]
['гьаржа', 2]
['журалул', 2]
['лакьу', 2]
['зуна', 2]
['чiаххурай', 2]
['бахирсса', 2]
['махiатталсса', 2]
['бавцушиву', 2]
['нигьру', 2]
['ивчiавай', 2]
['дарххуну', 2]
['дарцуну', 2]
['ттукку-мукку', 2]
['пур-пур', 2]
['чаг', 2]
['дарцусса', 2]
['бигьану', 2]
['кьуштти', 2]
['ттархьругу', 2]
['кьадагьан', 2]
['рищлашияра', 2]
['диян', 2]
['цив', 2]
['балаллуща', 2]
['шанин', 2]
['цурк', 2]
['ахьлавгун', 2]
['бавтiсса', 2]
['урахха', 2]
['къавтiив', 2]
['хъя', 2]
['унин', 2]
['мухiулттуй', 2]
['аьжаивну', 2]
['сситтуй', 2]
['луглагисса', 2]
['бувсшиву', 2]
['аждагьари', 2]
['чаглил', 2]
['баен', 2]
['пуркiурал', 2]
['бав', 2]
['мурцiув', 2]
['ххалан', 2]
['чiувин', 2]
['лирчiсса', 2]
['кьюлтiну', 2]
['закканттуву', 2]
['жиплива', 2]
['ппа', 2]
['заккана', 2]
['кьуртiуну', 2]
['дайссар', 2]
['бухьхьияра', 2]
['мусий', 2]
['шяравалу', 2]
['дакъая', 2]
['гъира', 2]
['башиннин', 2]
['дукайсса', 2]
['душри', 2]
['щащайссар', 2]
['щарссанихун', 2]
['дигьа', 2]
['буцiин', 2]
['щарссанихъ', 2]
['бизаргу', 2]
['дюхлан', 2]
['нагьливун', 2]
['ницiавун', 2]
['туртувун', 2]
['кiиссурттацiун', 2]
['беслул', 2]
['цiуцiаву', 2]
['оьнкьучiилул', 2]
['ивкiлай', 2]
['цiуллу', 2]
['аннав', 2]
['хъятiи', 2]
['куртiсса', 2]
['хiура', 2]
['башинин', 2]
['буллунни', 2]
['щарссанища', 2]
['ласрив', 2]
['хъару', 2]
['щарщусса', 2]
['хъуну', 2]
['бювхъур', 2]
['дагьсса', 2]
['бучiанна', 2]
['щащияра', 2]
['кьяр-кьяр', 2]
['лиркiуну', 2]
['гьайсса', 2]
['гьунттинин', 2]
['щарссай', 2]
['мадуккара', 2]
['щарссарив', 2]
['дурххун', 2]
['шара', 2]
['яр', 2]
['ласайсса', 2]
['къуллугъчитуран', 2]
['кiулссар', 2]
['вия', 2]
['тiунниссар', 2]
['къеп', 2]
['чунни', 2]
['варанигу', 2]
['варанир', 2]
['кiаланнувун', 2]
['бувччуну', 2]
['ххан', 2]
['канаки', 2]
['хьушиву', 2]
['кiичiирттавух', 2]
['лявкъуманан', 2]
['гайннайн', 2]
['арамтал', 2]
['лявкъур', 2]
['дахiлай', 2]
['варанттух', 2]
['дуна', 2]
['кьукьа', 2]
['бивуй', 2]
['къадуклай', 2]
['захiмат', 2]
['ятту', 2]
['ппалуя', 2]
['кiилчинмургу', 2]
['кiава', 2]
['кiиссуращал', 2]
['нигьачiий', 2]
['хiаммам', 2]
['лаххан', 2]
['хiаласса', 2]
['бумба', 2]
['ккацлуйн', 2]
['айгъур', 2]
['арамтуннал', 2]
['чагъардай', 2]
['ххирану', 2]
['ганищал', 2]
['урчiва', 2]
['чiумалнин', 2]
['буллуна', 2]
['чивчусса', 2]
['чiивиманал', 2]
['уссугу', 2]
['хъина', 2]
['хiалли', 2]
['ссудрайн', 2]
['дивандалийн', 2]
['бачiин', 2]
['аьгъумур', 2]
['анавармур', 2]
['щялмахърал', 2]
['тiайламунил', 2]
['гьантлул', 2]
['ттухьхьун', 2]
['жучiава', 2]
['вилар', 2]
['шавхьсса', 2]
['кумур', 2]
['хъахъу', 2]
