['ми', 411]
['рухьуди', 2]
['джвершис', 2]
['инсанаше', 2]
['йихир', 2]
['йыхын', 2]
['писвалды', 2]
['гьалдага', 2]
['гволах', 2]
['гьабишис', 2]
['былахак', 2]
['руг', 2]
['йишириме', 2]
['гьадухъунды', 2]
['вишийне', 2]
['хакьас', 2]
['тылыере', 2]
['гывкъыр', 2]
['эчiури', 2]
['цiай', 2]
['гъуiдидейды', 2]
['сафа', 2]
['фа', 2]
['цiа', 2]
['джибшир', 2]
['усмыхда', 2]
['чiалага', 2]
['кибчiури', 2]
['саа', 2]
['либхьур', 2]
['вееш', 2]
['хьани', 2]
['хъибтiир', 2]
['рыхъаi', 2]
['хулкарый', 2]
['гъу', 2]
['хъаiд', 2]
['хьуб', 2]
['лабшури', 2]
['дыкьа', 2]
['вацiайш', 2]
['эмирашид', 2]
['ви', 2]
['духарыклады', 2]
['минийихда', 2]
['гьаадхыiри', 2]
['лыъыри', 2]
['решере-решере', 2]
['кьаiсние', 2]
['чiенне', 2]
['сакьада', 2]
['цуфра', 2]
['кьаiснийе', 2]
['виъиди', 2]
['йикисды', 2]
['выъыхьвна', 2]
['умуд', 2]
['выгад', 2]
['хывкьырдиш', 2]
['везирере', 2]
['балугъ-падишагь', 2]
['хъидшири', 2]
['гьуiкуьмета', 2]
['хурджум', 2]
['кетiес', 2]
['гьуiкуьметед', 2]
['мийманар', 2]
['гьадгуйне', 2]
['гихьир', 2]
['рых', 2]
['тинийе', 2]
['йицiыб', 2]
['йукьуб', 2]
['йихь', 2]
['рагъаiре', 2]
['тинийды', 2]
['гуьзетмиш', 2]
['раъас', 2]
['гьуькуьмета', 2]
['халмыд', 2]
['гийхьир', 2]
['хайир', 2]
['дыркьа', 2]
['гьагвури', 2]
['валыг-чалыг', 2]
['сурухдана', 2]
['луубкьур', 2]
['хувгъури', 2]
['гивхьири', 2]
['гъуiдиген', 2]
['кепiир', 2]
['кьулихда', 2]
['шурукмар', 2]
['лаатiури', 2]
['15', 2]
['диъид', 2]
['делид', 2]
['кьаiсийис', 2]
['сагъулбыр', 2]
['рышеде', 2]
['16', 2]
['рывыс', 2]
['баш', 2]
['уьсте', 2]
['хуiлаiхаi', 2]
['джыъыр', 2]
['17', 2]
['кьвер', 2]
['хъыдгарай', 2]
['дыгарай', 2]
['пашмалана', 2]
['18', 2]
['халыхдана', 2]
['аргаси', 2]
['раъаси', 2]
['19', 2]
['эгъетiийне', 2]
['архыйин', 2]
['20', 2]
['хуiр', 2]
['кьасий', 2]
['21', 2]
['аiхъаiчiуд', 2]
['игъибхьур', 2]
['лийири', 2]
['хъывыъыри', 2]
['цiийлахъанаа', 2]
['гьацiарай', 2]
['гьаiл', 2]
['кьин', 2]
['цiийлахъан', 2]
['сывбыр', 2]
['субкура', 2]
['джыгаа', 2]
['лийчид', 2]
['викьир', 2]
['паджыла', 2]
['идхьури', 2]
['йеквес', 2]
['ацiыри', 2]
['гергыд', 2]
['къараненийис', 2]
['гадиехда', 2]
['йагъыiри', 2]
['меджбыр', 2]
['нахчирмыд', 2]
['раъ', 2]
['гьабгура', 2]
['маiвгъ', 2]
['хъаджацуд', 2]
['хъац', 2]
['гiарар', 2]
['гьыъд', 2]
['гадкъас', 2]
['кьвеб', 2]
['гадиеде', 2]
['банымыхьван', 2]
['хьибырси', 2]
['руiхуiхьде', 2]
['сыдкьыiри', 2]
['рывыси', 2]
['йывыб', 2]
['йимагбыр', 2]
['йыхыiри', 2]
['мири', 2]
['сивигыд', 2]
['вала', 2]
['аiчiуд', 2]
['хаабгъура', 2]
['банымы', 2]
['рывыри', 2]
['тiутiкьур', 2]
['йикьире', 2]
['бахтмы', 2]
['зарафат', 2]
['етим', 2]
['адгыри', 2]
['йихьыр', 2]
['ээке', 2]
['харкьад', 2]
['быгады', 2]
['балтыдид', 2]
['уула', 2]
['кушуба', 2]
['гадкъама', 2]
['ахъаiчiус', 2]
['кiварч', 2]
['быссагьаiт', 2]
['хьвараа', 2]
['рагъыри', 2]
['гаркъама', 2]
['ывгыд', 2]
['кьабыл', 2]
['са-са', 2]
['гьувургарай', 2]
['джувулъур', 2]
['хъуiрирей', 2]
['хийылдик', 2]
['джиде', 2]
['кидишне', 2]
['суруркьара', 2]
['гаркъара', 2]
['хырхара', 2]
['гьанийе', 2]
['гьаъардиший', 2]
['суркьури', 2]
['кач', 2]
['хаiред', 2]
['хъикьасды', 2]
['выгiлиде', 2]
['викисдиш', 2]
['сиригыри', 2]
['руд-ухьунбыр', 2]
['йикiид', 2]
['кывысди', 2]
['хъаджацур', 2]
['каiрчiури', 2]
['сидкьа', 2]
['хъырхьыр', 2]
['гъадишне', 2]
['гьаiйат', 2]
['хъиъид', 2]
['кывыс', 2]
['кини', 2]
['гьуiмирдид', 2]
['джабатiад', 2]
['тай', 2]
['гыдзырар', 2]
['ришбишыхда', 2]
['тинбыр', 2]
['таджиб', 2]
['гьаргуд', 2]
['тимбишды', 2]
['лахъаргъур', 2]
['сихьири', 2]
['бахтлы', 2]
['минийхда', 2]
['ваiхда', 2]
['вийаъ', 2]
['мусурманад', 2]
['бырдж', 2]
['къуншийшды', 2]
['ихтилатмыд', 2]
['ливчир', 2]
['зарафатбыр', 2]
['кывыр', 2]
['къиркьыр', 2]
['алгара', 2]
['дыхьыри', 2]
['духардаа', 2]
['гьадикла', 2]
['даваа', 2]
['вуруъуд', 2]
['вихир', 2]
['сивхьири', 2]
['экед', 2]
['багьад', 2]
['кирхьуйне', 2]
['къабаха', 2]
['дуьнъя', 2]
['гуьзель', 2]
['минийди', 2]
['гуркас', 2]
['хъишир', 2]
['агъаiрчiур', 2]
['перт', 2]
['сурвыше', 2]
['сиджигыр', 2]
['къариехда', 2]
['ризваныкла', 2]
['тахсиркар', 2]
['лирхьур', 2]
['гьуiмирди', 2]
['риширди', 2]
['джугъуiд', 2]
['пурх', 2]
['аллагьад', 2]
['марухь', 2]
['йидкьыйне', 2]
['рыхьыйне', 2]
['илчидаша', 2]
['де', 2]
['гьанийс', 2]
['кул', 2]
['луркур', 2]
['суруркара', 2]
['сусыс', 2]
['къат', 2]
['гъаi', 2]
['халда', 2]
['улабас', 2]
['джарга', 2]
['лах', 2]
['йуiкьды', 2]
['йукь', 2]
['гьатхыд', 2]
['руръуси', 2]
['ривий', 2]
['хьи', 2]
['етере', 2]
['идихь', 2]
['лершур', 2]
['цiам', 2]
['суса', 2]
['шак', 2]
['гьарыед', 2]
['лийчири', 2]
['ризванды', 2]
['лихъивчир', 2]
['вихьа', 2]
['игъивир', 2]
['риъина', 2]
['былаха', 2]
['киирхьури', 2]
['далгара', 2]
['ризваныс', 2]
['лешус', 2]
['лебшура', 2]
['лешуси', 2]
['мибишда', 2]
['ранг', 2]
['улаба', 2]
['чинич', 2]
['сюгьуiр', 2]
['халма', 2]
['хурджин', 2]
['сынди', 2]
['лехъеркьыд', 2]
['аiхъаiчiури', 2]
['аждамыед', 2]
['хаагъури', 2]
['аждамыере', 2]
['батмиш', 2]
['даiви', 2]
['ливиркьара', 2]
['гьаiсрат-гьаiлис', 2]
['джуш', 2]
['мыйцiыр', 2]
['гьаiсрат-гьаiлире', 2]
['квачiури', 2]
['кьаiсие', 2]
['хъаiлере', 2]
['къамчи', 2]
['суьруь', 2]
['кьаiсиед', 2]
['мыхьчеб', 2]
['йинчис', 2]
['куб', 2]
['дугьаi', 2]
['издыбыр', 2]
['мада', 2]
['духрешыхда', 2]
['йихьа', 2]
['пайгъамбар', 2]
['духре', 2]
['шадвалды', 2]
['багьана', 2]
['гыргаси', 2]
['ирхьире', 2]
['хъикьаси', 2]
['мавгъ', 2]
['уьлихьде', 2]
['кваiрчiури', 2]
['хадишне', 2]
['ихтилатад', 2]
['ала', 2]
['гергыхьвна', 2]
['гуьзел', 2]
['йишидыла', 2]
['аiгъаiрчiур', 2]
['гьакьал', 2]
['хъыргыр', 2]
['мукьаi', 2]
['къазамишес', 2]
['вишириме', 2]
['гьаiлейкума-салам', 2]
['танга', 2]
['йулчи', 2]
['хукумыд', 2]
['дердимыд', 2]
['аiчiур', 2]
['сатыри', 2]
['ешел', 2]
['ибхьури', 2]
['хъабцура', 2]
['рыiкъаi', 2]
['кьалкьын', 2]
['джандире', 2]
['дишды', 2]
['хъырых', 2]
['будкiа', 2]
['сукьа', 2]
['кiатi', 2]
['гьубгур', 2]
['лешаъ', 2]
['дур-ун', 2]
['гьадыхда', 2]
['ливкьыр', 2]
['лебшуди', 2]
['инсындире', 2]
['сата', 2]
['кiыбдид', 2]
['агыд', 2]
['хъидкьын', 2]
['гьасил', 2]
['накьудире', 2]
['джывылцiад', 2]
['буйур', 2]
['гьанийде', 2]
['ахъаiгъуiре', 2]
['сибхьура', 2]
['девле', 2]
['варлы', 2]
['сугури', 2]
['гьаiйиб', 2]
['даъад', 2]
['мийманаше', 2]
['адарцыд', 2]
['гьацiыйне', 2]
['рикье', 2]
['дыркьыд', 2]
['мидикла', 2]
['хыiбыд', 2]
['варлыд', 2]
['гаiшды', 2]
['шещун', 2]
['гиме', 2]
['йикьиси', 2]
['темени', 2]
['сыс', 2]
['сырыхчий', 2]
['дишди', 2]
['гьацiарама', 2]
['хъиркьыйне', 2]
['сехъеръэ', 2]
['муiкьаi', 2]
['я', 2]
['гудже', 2]
['идхьуйне', 2]
['икьрар', 2]
['хъаiль', 2]
['иессиеде', 2]
['тылыймар', 2]
['гене', 2]
['йымаiл', 2]
['даръягьад', 2]
['ледкьыд', 2]
['баiле', 2]
['гьасад', 2]
['джишид', 2]
['ыхыiр', 2]
['банала', 2]
['ыхъджывгыр', 2]
['гвалахад', 2]
['духарыхьван', 2]
['хылаа', 2]
['хылала', 2]
['гьухуд', 2]
['гьаргур', 2]
['йигарай', 2]
['къариекла', 2]
['устар', 2]
['дирибашды', 2]
['хылид', 2]
['хьыдынийе', 2]
['джыгад', 2]
['йидкьыд', 2]
['мишат', 2]
['гаiт', 2]
['бугъаза', 2]
['йыхыiн', 2]
['йадал', 2]
['ришиймаше', 2]
['ухур', 2]
['сахыр', 2]
['гьыы', 2]
['гакъыр', 2]
['абыр', 2]
['навгъбыр', 2]
['кiутхуiймар', 2]
['аманат', 2]
['лехъдебшурай', 2]
['лехъеркьыйне', 2]
['маса', 2]
['шукляа', 2]
['сынийы', 2]
['минийыла', 2]
['катiур', 2]
['минийкла', 2]
['гьыъыдыла', 2]
['шухда', 2]
['ги-гу', 2]
['йикiиклана', 2]
['лирхьури', 2]
['йикiис', 2]
['гьарургара', 2]
['хьесым', 2]
['маралакла', 2]
['рышехьван', 2]
['аргыд', 2]
['гъийгъад', 2]
['вахт-бере', 2]
['гьабхыiдыла', 2]
['ведере', 2]
['маiгьлиди', 2]
['йикьаъ', 2]
['киирхьур', 2]
['рикьири', 2]
['илсанаше', 2]
['гъургъара', 2]
['дамырма', 2]
['езере', 2]
['йахыри', 2]
['шейх', 2]
['маралара', 2]
['йикьид', 2]
['ихтилатмыхьван', 2]
['гьыiрчехъан', 2]
['фикирдик', 2]
['гьуiрипери', 2]
['яцмыд', 2]
['гибхьури', 2]
['кирхьур', 2]
['пiапiрыс', 2]
['гийкьыри', 2]
['гьаммыра', 2]
['лахьур', 2]
['не-хир', 2]
['чiелмыд', 2]
['хьывбыр', 2]
['арыды', 2]
['сывхыiс', 2]
['шине', 2]
['екв', 2]
['сыва-яц', 2]
['гъыiрчехда', 2]
['хъившир', 2]
['ийесси', 2]
['ма-рал', 2]
['йикiире', 2]
['вахтинды', 2]
['аджыгыр', 2]
['гиркiыр', 2]
['къице', 2]
['кивкьыри', 2]
['мидаа', 2]
['пис', 2]
['джуу', 2]
['ээли', 2]
['сийтере', 2]
['лит', 2]
['ваклаа', 2]
['гьацiыхь', 2]
['дагулана', 2]
['джухьур', 2]
['рустама', 2]
['ми-нийис', 2]
['хъыiхыiри', 2]
['телесых', 2]
['везере', 2]
['хъихиси', 2]
['вийере', 2]
['велед', 2]
['къайаб', 2]
['еринди', 2]
['хъыхьыр', 2]
['вет', 2]
['кьурбан', 2]
['хъишири', 2]
['гьыъыхь', 2]
['лаъдире', 2]
['наiгьни', 2]
['хъитiир', 2]
['тiутiкьури', 2]
['баладбишис', 2]
['къыдкьа', 2]
['лаш', 2]
['пейзулла', 2]
['мычiахъды', 2]
['лугъур', 2]
['зебыр', 2]
['кашкафтар', 2]
['джилик', 2]
['къадам', 2]
['ухуiре', 2]
['качылмы', 2]
['бахт', 2]
['кьулы', 2]
['гендже', 2]
['хьыдыние', 2]
['гъаiнды', 2]
['халдыбише', 2]
['гаадгъаiс', 2]
['чулди', 2]
['гiарад', 2]
['кьырыбыр', 2]
['эдемиек', 2]
['бегьемды', 2]
['магьузара', 2]
['рагъаiдид', 2]
['хьибыд', 2]
['ваъардиший', 2]
['хуртамабыр', 2]
['албасти', 2]
['хьидис', 2]
['албастиере', 2]
['кьулис', 2]
['рувгъур', 2]
['йадлад', 2]
['мариет', 2]
['хьарада', 2]
['мариетис', 2]
['дуiгьаi', 2]
['касад', 2]
['йикьир', 2]
['зиярат', 2]
['29', 1]
['кьукь', 1]
['шарак', 1]
['сикiирде', 1]
['гуджлид', 1]
['садылтара', 1]
['сирихьван', 1]
['хъибкьыд', 1]
['рыкъя', 1]
['хъуiргъуiма', 1]
['йехда', 1]
['мадама', 1]
['гихъиидхьири', 1]
['гьилды', 1]
['руъусди', 1]
['ещдис', 1]
['кiаъ', 1]
['удухуiси', 1]
['къибкьыд', 1]
['гьаiлетди', 1]
['кьукьашис', 1]
['хъаъасды', 1]
['хъаъаси', 1]
['халмыдаа', 1]
['зыннаа', 1]
['пирмы', 1]
['аiгъачiуд', 1]
['ирхьуси', 1]
['ледкьыйне', 1]
['гувчiур', 1]
['акъуiрды', 1]
['хъуъна', 1]
['субдур', 1]
['джанбыр', 1]
['йиширдай', 1]
['увчiури', 1]
['хьалала', 1]
['вуъулере', 1]
['гимийичi', 1]
['хьесыма', 1]
['ливкьаси', 1]
['хынимещды', 1]
['лехъаiшури30', 1]
['сикiириклады', 1]
['нуiгъя', 1]
['кьыiд', 1]
['мыкьбыр', 1]
['кьыiдис', 1]
['гьагусдихь', 1]
['накьрыдид', 1]
['суннудид', 1]
['хъацуд', 1]
['валлагь', 1]
['даватмыд', 1]
['макьамад', 1]
['убрабырмы', 1]
['хивир', 1]
['кьынад', 1]
['сикiре', 1]
['дуьуьз', 1]
['мыiхя', 1]
['гывакъ', 1]
['гьаiйатдид', 1]
['квеаiчiури', 1]
['йехьван', 1]
['хъыiджвыркара', 1]
['баiлихда', 1]
['сиргъа', 1]
['тiилабаа', 1]
['хылыхда', 1]
['угъуiвчiуси', 1]
['тiыбаiъаiлбыр', 1]
['лыъыдыла', 1]
['уфтан', 1]
['угъуiвчiури', 1]
['гап', 1]
['сивтебишди', 1]
['кьяiчи', 1]
['гъуiл', 1]
['гьуджувгад', 1]
['хъавахири', 1]
['нугъяiбанад', 1]
['хъидухь', 1]
['улабакла', 1]
['кiэъелы', 1]
['кел', 1]
['лувкур', 1]
['сикiикiийы', 1]
['агыри', 1]
['рагьаiтене', 1]
['кьасумбабахда', 1]
['кар-мар', 1]
['даватмык', 1]
['билелешды', 1]
['хъее', 1]
['дийне', 1]
['кьасум', 1]
['выбыр', 1]
['вацiарама', 1]
['выка', 1]
['сылды', 1]
['квах', 1]
['курус', 1]
['йукьа1', 1]
['рухуiхъан', 1]
['бабада', 1]
['бабад', 1]
['рухуiде', 1]
['кивир', 1]
['сувкьа', 1]
['киджидхъыйне', 1]
['йукья', 1]
['кехъепiе', 1]
['лалаъан', 1]
['мириед', 1]
['джибыр', 1]
['йеква', 1]
['рухуiд', 1]
['чарх', 1]
['шивга', 1]
['гъивирхьерей', 1]
['мукъуiс', 1]
['йидкiыр', 1]
['кехъвелъэма', 1]
['чархас', 1]
['дахара', 1]
['мукьуiбыр', 1]
['кехъевир', 1]
['нугъяi', 1]
['гывкъама', 1]
['утаммаз', 1]
['аварца', 1]
['кьаiлере', 1]
['гьалыхда', 1]
['аварцыра', 1]
['виъийме', 1]
['фикирбыр', 1]
['увучi', 1]
['ваъарды', 1]
['лулум', 1]
['сикiикiия', 1]
['увгъуiре', 1]
['ливере', 1]
['сибамбыед', 1]
['гьарай', 1]
['чiаваъ', 1]
['ваъасди', 1]
['сихъийир', 1]
['йигардишме', 1]
['йыкья', 1]
['гьаъара59', 1]
['гелелийед', 1]
['балалыйед', 1]
['йыкьас', 1]
['лыхьыр', 1]
['тухгема', 1]
['выкьас', 1]
['гъаьаъ', 1]
['риъиди', 1]
['ниндыбыр', 1]
['хылабырмы', 1]
['хылабырмыла', 1]
['некъидид', 1]
['хахрыди', 1]
['ывырхяiре', 1]
['пиче', 1]
['гуъл', 1]
['кьяiсды', 1]
['сувгур', 1]
['гьахъадгухьна', 1]
['хъарац', 1]
['быiхъбиче', 1]
['тiулбыр', 1]
['тiулурмыкля', 1]
['аргъуiре', 1]
['дуьлхъедка', 1]
['зыки', 1]
['увугъ', 1]
['вуiхьды', 1]
['тiаджие', 1]
['вулхъас', 1]
['ивиъ', 1]
['мики', 1]
['увургъара', 1]
['сиенебишыхда', 1]
['быiкьбичере', 1]
['йибкьыри', 1]
['аiчiудка', 1]
['бабыеде', 1]
['ырхыiре', 1]
['ухьне', 1]
['быкьбичере', 1]
['лахара', 1]
['хьылибыр', 1]
['мукiбыр', 1]
['хъидкьыри105', 1]
['дунъяды', 1]
['ийлуг', 1]
['гьурмет', 1]
['къалинды', 1]
['серинды', 1]
['джыгаабыр', 1]
['сывырхаiрей', 1]
['липхьура', 1]
['кук', 1]
['йыгъала', 1]
['гьаiджиз', 1]
['йараб', 1]
['хиялак', 1]
['сурвушала', 1]
['хъуь', 1]
['лувчiур', 1]
['шинедне-хьумад', 1]
['ырыдыла', 1]
['чакькьал', 1]
['къабан', 1]
['сана', 1]
['йивандид', 1]
['гидене', 1]
['сувка', 1]
['душманар', 1]
['далга', 1]
['суьдке', 1]
['увцiур', 1]
['демек', 1]
['кiатар', 1]
['чакъкьалара', 1]
['кааъаси', 1]
['йывандид', 1]
['хъикьасдиш', 1]
['сихъиргара', 1]
['бабыерае', 1]
['чакькьалара', 1]
['йыдкьыр', 1]
['лыiйхыiр', 1]
['рухуьра', 1]
['дыкiый', 1]
['ледиркьара', 1]
['бурухъна', 1]
['гьавай', 1]
['чiеiнкi', 1]
['чiенкi', 1]
['чiенкiакi', 1]
['убрабыр', 1]
['гуьлегмар', 1]
['баьбыере', 1]
['гъигъене', 1]
['чiенкiаiд', 1]
['йыкьды', 1]
['йыiх', 1]
['баiл', 1]
['викьире', 1]
['угъуiвгъуiре', 1]
['джибкьырийдин', 1]
['йикьисий', 1]
['эгъэтiес', 1]
['джишийне', 1]
['хылабара', 1]
['сирис', 1]
['ягъмиш', 1]
['гъубагъмар', 1]
['хьумаала', 1]
['дыкiыйбыр', 1]
['ихъийири', 1]
['хъаiбхыiри', 1]
['наiгьнибыр', 1]
['ливте', 1]
['ваъара…106', 1]
['йихвалды', 1]
['гьаiйванмар', 1]
['дженнетали', 1]
['сафды', 1]
['идды', 1]
['гьабтiуйне', 1]
['эгъерисди', 1]
['гьувгара', 1]
['йовцiур', 1]
['йыгад', 1]
['къуiгъуiре', 1]
['ниъга', 1]
['гьатiуд', 1]
['хъидикьаси', 1]
['хъикьас', 1]
['руъурдишме', 1]
['джыргыйне', 1]
['гiалбыр', 1]
['дишидыла', 1]
['минийик', 1]
['балтыдихьван', 1]
['эрере', 1]
['хынимише', 1]
['сагъана', 1]
['маранакун', 1]
['хъыргас', 1]
['къуеде', 1]
['фатмаа', 1]
['къуя', 1]
['къийамат', 1]
['сивига', 1]
['лехъяiчiуiсды', 1]
['куубкьур', 1]
['ливкьыд', 1]
['азад', 1]
['хъихъдживиркьад', 1]
['чiурый', 1]
['аiкъяiрчiури', 1]
['хъяiлере', 1]
['хъуьшбыр', 1]
['лагь-магь', 1]
['гьагурийдин', 1]
['шувнага', 1]
['урухыiр', 1]
['гаiчiур', 1]
['гьаiйатди', 1]
['аiгъяiчiуд', 1]
['гыъыр', 1]
['къахадж', 1]
['гъуiна', 1]
['ваiде', 1]
['хабыр', 1]
['гекъеедири', 1]
['далгынмыд', 1]
['игърирхьвара', 1]
['гьаiйванмашис', 1]
['дуруъсды', 1]
['вахыр', 1]
['тiуларага', 1]
['лювчiури', 1]
['йыкьяхда', 1]
['ихъивчири', 1]
['гьайятда', 1]
['гъихьис', 1]
['хъирхьур', 1]
['касибахда', 1]
['хана…111', 1]
['шуркуды', 1]
['гутiай', 1]
['мидиды', 1]
['эйтiири', 1]
['халая', 1]
['гъатiе', 1]
['эминет', 1]
['гьатiене', 1]
['биназер', 1]
['халымагъа', 1]
['гъатiене', 1]
['айбениз', 1]
['хьарахда', 1]
['гиды', 1]
['гьапiыр', 1]
['гъаритiерый', 1]
['хьарак', 1]
['хвочiитхыри', 1]
['къяiяiпхыiри', 1]
['сывай', 1]
['лайири', 1]
['хъун', 1]
['вейшерув', 1]
['хъака', 1]
['къуiбгъуiрув', 1]
['нехирхъанадда', 1]
['гьышихь', 1]
['нахирхъанара', 1]
['гьапхыiри', 1]
['нахиркъанады', 1]
['лычiере', 1]
['вахапiыри', 1]
['бет', 1]
['вышийш', 1]
['лавыркiа', 1]
['гьашыкьадда', 1]
['сайир', 1]
['рукьуiрый', 1]
['гьашыкь', 1]
['гьапхыiкан', 1]
['гьашыкьара', 1]
['вака…', 1]
['банады', 1]
['кiвекiе', 1]
['лабчiур', 1]
['зазалыйа', 1]
['хьарай', 1]
['хьарайа', 1]
['лычiей', 1]
['лычiейа', 1]
['чугурай', 1]
['йыбхыiсдув', 1]
['кавхыйды', 1]
['ларшусдый131', 1]
['гъаъас', 1]
['ывыргара', 1]
['вацiар', 1]
['сивири', 1]
['аiйбеджер', 1]
['угъуiвчiуд', 1]
['буссагьаiт', 1]
['дад', 1]
['улед', 1]
['сихъивгунахъун', 1]
['эдемиер', 1]
['мыкьладбыр', 1]
['дишидбишда', 1]
['йишихъ', 1]
['рыкъа', 1]
['кьурукь', 1]
['хукада', 1]
['хукара', 1]
['диъиме', 1]
['аiхъ', 1]
['серинвалды', 1]
['хъуiдгъуiд', 1]
['гаiрибыр', 1]
['кьурукьбыр', 1]
['салтар', 1]
['пух', 1]
['пусур', 1]
['гъвабалмыхьде', 1]
['гаъара', 1]
['темизды', 1]
['инсындид', 1]
['гьаашеере', 1]
['джацiадбыр', 1]
['гьабши', 1]
['чiыiх', 1]
['каъара', 1]
['дагьаiр', 1]
['кывъара', 1]
['гьын-де', 1]
['гва', 1]
['ил', 1]
['диъине', 1]
['раiхне', 1]
['гьаьсил', 1]
['йыiмел', 1]
['гьемидида', 1]
['худкас-гва', 1]
['гваолахбыр', 1]
['йивигыри', 1]
['ублеше', 1]
['луьвъун', 1]
['гьакьна', 1]
['гаiбаiндж', 1]
['сигыр', 1]
['ливирчере', 1]
['гьаiджетбыр', 1]
['кьутиехда', 1]
['махвбыр', 1]
['кьутие', 1]
['ивхьыри', 1]
['игъивири', 1]
['ухъуiвчiури', 1]
['аiчiудыла', 1]
['эдемиеде', 1]
['хъаваъ', 1]
['гамыъ', 1]
['хьуьлуьхьды', 1]
['ливий', 1]
['мидила', 1]
['гьацi', 1]
['ваъасди146', 1]
['джихдага', 1]
['йыгъырмыды', 1]
['угъа', 1]
['гьамбазады', 1]
['хынимашис', 1]
['гьыширий', 1]
['гьаасыд', 1]
['усбырга', 1]
['вурукьуiсды', 1]
['вышири', 1]
['гьабхыiр', 1]
['кутукбыр', 1]
['гъурикьере', 1]
['гъубкьур', 1]
['гъувуркьаде', 1]
['мыкьара', 1]
['лашуд', 1]
['хылаабырмыдда', 1]
['фабкъас', 1]
['левтере', 1]
['ады', 1]
['халый', 1]
['угъ', 1]
['сыбхыiри', 1]
['гьудкьур', 1]
['гедвыр', 1]
['дыкьыри', 1]
['аля', 1]
['гьышиды', 1]
['кардыхда', 1]
['гебкъыкан', 1]
['гьамбазара', 1]
['лашур', 1]
['сирых', 1]
['хъивир', 1]
['хынимашды', 1]
['эбчiури', 1]
['виъиде', 1]
['сигъ', 1]
['гедкъыни', 1]
['вышир', 1]
['сине', 1]
['кьаiса', 1]
['вышикий', 1]
['сакална', 1]
['рыкъкъаi', 1]
['кьаiракъкъял', 1]
['гьавыри', 1]
['къаiракъкъаiлере', 1]
['шугуваiле', 1]
['сакал', 1]
['субчiа', 1]
['ваас', 1]
['дышири', 1]
['гьышикан', 1]
['сикьури', 1]
['хъаiбахъаiнадда', 1]
['ишпишка', 1]
['фана', 1]
['гьакьыр', 1]
['гыргаiдий', 1]
['сигьира', 1]
['саде', 1]
['гиидхьине', 1]
['дыкысди', 1]
['мехбур', 1]
['гьаас', 1]
['вацiарув', 1]
['гьыхьыд', 1]
['хъаiдира', 1]
['ублира', 1]
['гудке', 1]
['зый', 1]
['ваасдув', 1]
['гьыхыд', 1]
['сигь', 1]
['гiаргiалмашид', 1]
['гвошег', 1]
['къаiракъкъаiл', 1]
['шейтiанмашид', 1]
['кьыiрчiид', 1]
['къабачи', 1]
['хыiниды', 1]
['шурум', 1]
['гъуiдидей-гьамбаз', 1]
['йамаг', 1]
['мидыд', 1]
['гьышидкал', 1]
['синебыр', 1]
['тукмиш', 1]
['гьышир', 1]
['гъуi-дидей-гьамбаз', 1]
['са-сана', 1]
['дагъылмиш', 1]
['хъышир', 1]
['хъаiаiдхыiри', 1]
['гьемидыга', 1]
['дуствалды30', 1]
['ай-адишай', 1]
['халкьдис', 1]
['хъыгарай', 1]
['быiркьа', 1]
['гьукуьметере', 1]
['сывъара', 1]
['джарагьаiшыхда', 1]
['гьалыклана', 1]
['руъурдиший', 1]
['гьуькуьметма', 1]
['сес-самыр', 1]
['ийири', 1]
['кирхьанаг', 1]
['рыкъыiхдана', 1]
['гьаiлим', 1]
['гьабищда', 1]
['лечiури', 1]
['суфрыдыхда', 1]
['джурыдид', 1]
['сукьури', 1]
['укьбир', 1]
['ширин', 1]
['гехъетiыдыла', 1]
['гьаiлимеше', 1]
['дерд', 1]
['мибищда', 1]
['гьалдаа', 1]
['ывгасди', 1]
['гадыйеде', 1]
['сигыри', 1]
['лийкъыри', 1]
['кьаiснийды', 1]
['дердед', 1]
['ывгас', 1]
['гьидыла', 1]
['гичiердиш', 1]
['балугъмашды', 1]
['гьурхьа', 1]
['хъыiвхаi', 1]
['ветегеди', 1]
['балугъчиешис', 1]
['хакьыд', 1]
['сатаси', 1]
['лювшуси', 1]
['сийенебише', 1]
['дарйагьак', 1]
['чилбыр', 1]
['кахара', 1]
['кийири', 1]
['падишагь', 1]
['йукьахьусды', 1]
['балгъук', 1]
['кивикад-киджвикад', 1]
['кепiири', 1]
['джвер-джвер', 1]
['йийерей', 1]
['гадыйес', 1]
['лихъивере', 1]
['хъидкьыйне', 1]
['везиреда', 1]
['йишид-йишид', 1]
['игъийере', 1]
['игъийир', 1]
['ер-бына', 1]
['гьувгус', 1]
['бейда', 1]
['хаiгъуiре', 1]
['рагьаiтне', 1]
['кетiир', 1]
['гадыехьван', 1]
['гаадгъыри', 1]
['улесды-рагъасды', 1]
['суьгьбетбыр', 1]
['диванди', 1]
['сукьуси', 1]
['лабтiудыла', 1]
['дуьнйадиклады', 1]
['хабарбыр', 1]
['хъидкьыр', 1]
['кьаiсиеде', 1]
['йыгъад', 1]
['гьамкьудис', 1]
['кьимет', 1]
['ришихьвна', 1]
['кьаiсиехьван', 1]
['руръус', 1]
['цiымыед', 1]
['сургур', 1]
['гьахъаргухьвна', 1]
['тiыбаъаiль', 1]
['сагьаiтала', 1]
['лазимды', 1]
['рак-кьул', 1]
['устiулахда', 1]
['уьлуьхьде', 1]
['тiыб', 1]
['гьемидухъун', 1]
