['сай', 989]
['гiямултар', 2]
['ахъибхiели', 2]
['цiала', 2]
['асубирару', 2]
['вегiлира', 2]
['гьалахили', 2]
['кьисмат', 2]
['зягiипси', 2]
['усаэс', 2]
['арцли', 2]
['сайрил', 2]
['исбагьи', 2]
['арбякьунхiели', 2]
['хiяна', 2]
['дагьрили', 2]
['дерцiа', 2]
['дунъяличив', 2]
['гаша', 2]
['кая', 2]
['балехiе', 2]
['къяйцiбикiули', 2]
['къушра', 2]
['дуцiули', 2]
['дуркiули', 2]
['дица', 2]
['пайтунтачи', 2]
['базарличивад', 2]
['татауллизи', 2]
['гьалайкили', 2]
['хьарбиу', 2]
['баибхiели', 2]
['батбихьили', 2]
['диркьличи', 2]
['гiеларад', 2]
['къадаларти', 2]
['бухая', 2]
['леру', 2]
['уртахъунала', 2]
['чiянкiилизи', 2]
['бекiличиб', 2]
['бакiахъа', 2]
['илдазирад', 2]
['ишдигъунти', 2]
['уршиличил', 2]
['някъбази', 2]
['кьалтинти', 2]
['эркинни', 2]
['шинкьан', 2]
['жаназара', 2]
['жаназа', 2]
['гьуя-вяв', 2]
['нешани', 2]
['дедлугуси', 2]
['дигiи', 2]
['дицiес', 2]
['чебуркъубли', 2]
['галис', 2]
['мургьилигiиб', 2]
['гьимбукiили', 2]
['катурси', 2]
['юзбаши', 2]
['мазаличи', 2]
['арукьен', 2]
['мерла', 2]
['ирус', 2]
['гавлаглавси', 2]
['ирусра', 2]
['чуни', 2]
['азир', 2]
['имцiякь', 2]
['урхьназиб', 2]
['хьунрани', 2]
['тiалхiянали', 2]
['булхърай', 2]
['кьади', 2]
['чедиикили', 2]
['чарбулхъалри', 2]
['гьалмагъунира', 2]
['пикрумази', 2]
['кулхми', 2]
['тiулкми', 2]
['бирцули', 2]
['унцличи', 2]
['сецадлис', 2]
['гьайиубли', 2]
['кьапiала', 2]
['ужес', 2]
['базриганти', 2]
['зигаръала', 2]
['хiедиру', 2]
['дигьи', 2]
['арбухиб', 2]
['гiергъира', 2]
['сабирра', 2]
['маллара', 2]
['кьадирра', 2]
['калгуй', 2]
['виркьвяй', 2]
['дикъа', 2]
['гiарира', 2]
['баркьатти', 2]
['атiибли', 2]
['бургьа', 2]
['кабишибли', 2]
['гьайигьубли', 2]
['либ', 2]
['дукаркiули', 2]
['лихiле', 2]
['батаили', 2]
['бица', 2]
['биккули', 2]
['пяхъикiули', 2]
['гьункьяли', 2]
['ахъиубли', 2]
['хiерила', 2]
['геркавхъи', 2]
['лига-кьякьяличи', 2]
['вякълякъи', 2]
['абдайзи', 2]
['къарчигъализи', 2]
['унза', 2]
['вачар', 2]
['бурахъагу', 2]
['бикiулив', 2]
['теру', 2]
['гериуси', 2]
['тiунтiрачи', 2]
['душмантала', 2]
['нартличи', 2]
['янилис', 2]
['урцулалра', 2]
['диэс', 2]
['гъайбикiули', 2]
['сегъуна-дигара', 2]
['калахъесли', 2]
['дигiяндарили', 2]
['хъучир', 2]
['хатiаикили', 2]
['музабухъи', 2]
['шяхiбай', 2]
['бицес', 2]
['мехiур-мага', 2]
['гiярбукiан', 2]
['гiярбукiай', 2]
['мар-марлира', 2]
['шяхiбайчи', 2]
['дархьли', 2]
['укъес', 2]
['укъи', 2]
['манзил', 2]
['вири', 2]
['вакъ', 2]
['бакъукъ', 2]
['бакъукъли', 2]
['ургьули', 2]
['даргибти', 2]
['арц-мургьи', 2]
['бакъукъла', 2]
['даакьутне', 2]
['даакьий', 2]
['маалже', 2]
['лядун', 2]
['хъай', 2]
['гьантабдичиб', 2]
['ччибхiне', 2]
['лядунъя', 2]
['гьабалчун', 2]
['бишбихун', 2]
['дихан', 2]
['павлил', 2]
['кабимхъул', 2]
['кукмяхiяйра', 2]
['кукмяхiяй', 2]
['кьикiни', 2]
['ишра', 2]
['ваяхi', 2]
['бурушла', 2]
['бицибси', 2]
['хъуррагiи', 2]
['илед', 2]
['аццила', 2]
['ахi', 2]
['белгьуй', 2]
['биччибра', 2]
['гъямдухъуй', 2]
['кабичибли', 2]
['илер', 2]
['са-би', 2]
['тиладибарибхiели', 2]
['гiяйиркьяна-дерхiера', 2]
['вацiализе', 2]
['хiерле', 2]
['мякьле', 2]
['илизе', 2]
['хъяшала', 2]
['гiяйиркьяна', 2]
['баркьиле', 2]
['тiамадаркьиле', 2]
['дуциле', 2]
['гiярагъа', 2]
['къел', 2]
['дигулри', 2]
['маза-масла', 2]
['села-биалра', 2]
['се-дигара', 2]
['даркьиле', 2]
['жанане', 2]
['бяхъиле', 2]
['тяпра', 2]
['кьявгала', 2]
['изайзибад', 2]
['гiясикар', 2]
['иличиб', 2]
['къада', 2]
['аибхiеле', 2]
['хiинтiен', 2]
['тiайзерад', 2]
['гiяррукья', 2]
['буиле', 2]
['кабигьиле', 2]
['илике', 2]
['дуригiи', 2]
['мямма', 2]
['сунечу', 2]
['мяммури-мугури', 2]
['майкiут', 2]
['хьашан', 2]
['южибле', 2]
['шинниже', 2]
['гьегъиб', 2]
['хибакква', 2]
['уух', 2]
['уццая', 2]
['дунуппе', 2]
['шилкьан', 2]
['амссалаахъий', 2]
['сикiабха', 2]
['абикку', 2]
['хъикка-чикка', 2]
['деекьун', 2]
['саннишал', 2]
['илцце', 2]
['гаъиб', 2]
['гьасив', 2]
['сухъкад', 2]
['шупран', 2]
['чицце', 2]
['чаачiу', 2]
['гiябулле', 2]
['гiябулла', 2]
['чище', 2]
['гьой', 2]
['васнала', 1]
['яс', 1]
['ахчизиб', 1]
['кьарчiамбитiун', 1]
['пергерре', 1]
['биццил', 1]
['буссун', 1]
['васай', 1]
['чибгьиб', 1]
['тухум-агьлулщу', 1]
['букъий', 1]
['разий', 1]
['чахул', 1]
['цiижуд', 1]
['пакшшуд', 1]
['шярхъ', 1]
['ттапея', 1]
['хъус', 1]
['дяхъяхъиб', 1]
['авнея', 1]
['саттагул', 1]
['ччитуй', 1]
['каттиший', 1]
['ччитущу', 1]
['кiултiалже', 1]
['ттяхiчикаттигул', 1]
['къахълиже', 1]
['вявдукiул', 1]
['диссул', 1]
['нассила', 1]
['къугъазиб', 1]
['талалал', 1]
['бибчiилазиб', 1]
['кьанне', 1]
['бибкiаттекьал', 1]
['цiал', 1]
['бикв', 1]
['жинс', 1]
['вигьабк', 1]
['гьабтiий', 1]
['мяшле', 1]
['налла', 1]
['чисабалгьи', 1]
['тибалле', 1]
['таакв', 1]
['биикьулну', 1]
['байтарманте', 1]
['чисабалгьий', 1]
['гiякял', 1]
['гьабтiун', 1]
['саттагъиб', 1]
['кiуме', 1]
['хъусбяхъиб', 1]
['викабатий', 1]
['хiясий', 1]
['масхъартад', 1]
['харчбиццул', 1]
['ччитудил', 1]
['хiутгьахьуб', 1]
['гьалакле', 1]
['динди', 1]
['паргьат', 1]
['бухубжила', 1]
['цiиля', 1]
['бякьун', 1]
['рахiятле', 1]
['кабиссун', 1]
['саб6', 1]
['вацачила', 1]
['раргес', 1]
['берхiиличи', 1]
['риха', 1]
['берхiи', 1]
['берахъубси', 1]
['хiябцбиру', 1]
['дирихьличи', 1]
['лебтачибра', 1]
['сабрину', 1]
['дягiличи', 1]
['бикiулигу', 1]
['бирадли', 1]
['пирибухъи', 1]
['лебтачиб', 1]
['нушакiун', 1]
['дегiти', 1]
['лебтачид', 1]
['цiакьтира', 1]
['пикри-пикрибухъи', 1]
['саби21', 1]
['яни', 1]
['сабаили', 1]
['янилизиб', 1]
['хiяблилра', 1]
['чузибад', 1]
['биштiасигъуна', 1]
['бергес', 1]
['акiубсира', 1]
['урчилизи', 1]
['акiубсирал', 1]
['кьяшмази', 1]
['хебси', 1]
['кьяшмачи', 1]
['сарил', 1]
['белкi-белчi', 1]
['хiербикiуси', 1]
['неш-дудешлис', 1]
['мактаблизи', 1]
['кахiебатурси32', 1]
['пяспясагра', 1]
['гiярара', 1]
['сари-ургар', 1]
['жалдухъун', 1]
['чарбирарал', 1]
['балкьаур', 1]
['чебдукаркiули', 1]
['пяхъбикиб', 1]
['пикрибухъун', 1]
['кiиналра', 1]
['алавбарес', 1]
['кункли', 1]
['бажардибирус', 1]
['пяспясагли', 1]
['багьла-багьлали', 1]
['ппяспясаглис', 1]
['гiеббаэс', 1]
['дуцiбухъун', 1]
['кьанкабиублири', 1]
['башиб', 1]
['азгъинси', 1]
['гiярас', 1]
['вягiдаладиубси', 1]
['пяспясат', 1]
['гьалабикиб35', 1]
['гiяхщуб', 1]
['лидле', 1]
['дужиб', 1]
['такабатул', 1]
['бидагумал', 1]
['куттадил', 1]
['къургъла', 1]
['бинбекун', 1]
['сабигъул', 1]
['агумал', 1]
['бякъун', 1]
['ажин', 1]
['сибхин', 1]
['къургълидил', 1]
['чиладе', 1]
['илади', 1]
['дилади', 1]
['валлагi', 1]
['кучилладил', 1]
['бухъинзибде', 1]
['гiу', 1]
['идижила', 1]
['куттацила', 1]
['тикбичиб', 1]
['саб47', 1]
['леттуб', 1]
['нигiликера', 1]
['улалаликера', 1]
['кьясну', 1]
['кискiал', 1]
['мабхьиттая', 1]
['гьарбукья', 1]
['дархiнашшу', 1]
['абхьая', 1]
['нигiра', 1]
['улалара', 1]
['кадукъибле', 1]
['няхъликеб', 1]
['къугъасе', 1]
['баркьибсен', 1]
['гiарбукiан', 1]
['хiяжигiяхiмадли', 1]
['баркьибсе', 1]
['хiамис-гiечча', 1]
['хiяжигiяхiмадлицце', 1]
['гьенгъуна', 1]
['баркьахъиб', 1]
['ккучбашшу', 1]
['тiахiмакед', 1]
['даркьибтен', 1]
['къурбанмяхiяммали', 1]
['къурбанмяхiямацце', 1]
['гьенгъунте', 1]
['даркьахъиб', 1]
['абхьахъибле', 1]
['чарбиб', 1]
['шакбикиб', 1]
['бинилике', 1]
['кикагьурле', 1]
['бецiлишшу', 1]
['шатти', 1]
['абикьур', 1]
['дулхъе', 1]
['бецiлиццела', 1]
['делхълике', 1]
['цiалишшу', 1]
['битахъибле', 1]
['цiалицце', 1]
['къучбухiнабаркьиб', 1]
['цiалиццеб', 1]
['баркберттибле', 1]
['кванарцат', 1]
['ттурадикиб', 1]
['хапдаркьибле', 1]
['гьенттира', 1]
['урсабакiиб', 1]
['саби52', 1]
['сабе', 1]
['диикьаниже', 1]
['паргъатле', 1]
['ккабиссунзиб', 1]
['лутiунгьия', 1]
['тасабицул', 1]
['ухабуччибгьия', 1]
['ахескквара', 1]
['даакъиб', 1]
['лутiун', 1]
['къяцацил', 1]
['чибута', 1]
['дажилдин', 1]
['диикiажуд', 1]
['мукачне', 1]
['кiултiан', 1]
['диндусикъи', 1]
['цiубжуд', 1]
['къакъижид', 1]
['садну', 1]
['квашуд', 1]
['кяхядил', 1]
['чидтiул', 1]
['хунижиб', 1]
['сириканнидил', 1]
['иляцце', 1]
['гьатильгун', 1]
['хiяхiябукiул', 1]
['кахле', 1]
['дибкъибла', 1]
['къяцадил', 1]
['вихчевидадаже', 1]
['вихчевидадигаххат', 1]
['къакълиже', 1]
['бучилла', 1]
['сириканищу', 1]
['бахквакъи', 1]
['ид', 1]
['къяцай', 1]
['тебидигуммал', 1]
['гiакал', 1]
['чiярукiи', 1]
['бебидищиб', 1]
['юцце', 1]
['гiяххе', 1]
['дищу', 1]
['сачи', 1]
['дикъле', 1]
['бакъибмал', 1]
['лакчикабакъиб', 1]
['дуццан53', 1]
['бялхъя', 1]
['гьалмагъдикили', 1]
['ургубализи', 1]
['къунздухъес', 1]
['забли', 1]
['ургьесбяхiили', 1]
['заблизирад', 1]
['дерцес', 1]
['кьутiдяхъили', 1]
['адацiибхiели', 1]
['разидиубли', 1]
['дархьибти', 1]
['хiерикунти', 1]
['бурхьути', 1]
['къяцара', 1]
['хабуртази', 1]
['кьяцачи', 1]
['циилалра', 1]
['буришара', 1]
['ахiену', 1]
['къачас', 1]
['гулбазибад', 1]
['дурадухъунти', 1]
['янашар', 1]
['къаршидикни', 1]
['игъар', 1]
['урухдиубли', 1]
['цали', 1]
['дебадарили', 1]
['бусес', 1]
['бусахъес', 1]
['адизурли', 1]
['дубдатурли', 1]
['чинар-биалра', 1]
['дигiяндикили', 1]
['агарара', 1]
['кьадубала', 1]
['дигiяндикибти', 1]
['абацiахъес', 1]
['хiилхiила-хiилхiи', 1]
['тiама-гьамалис', 1]
['музадухъи', 1]
['тiашдизурли', 1]
['кьялубачиб', 1]
['буэс', 1]
['галгаличибад', 1]
['кабиркухiели', 1]
['кьяцали', 1]
['буца', 1]
['бикахъа', 1]
['дурцис', 1]
['буйрухъла', 1]
['гьакiлизир', 1]
['сари54', 1]
['ттаадичиб', 1]
['бааччий', 1]
['дидагугьия', 1]
['шалазиб', 1]
['табяхъиб', 1]
['кьутi-кьутi', 1]
['дингьатухъун', 1]
['бикiуб', 1]
['цiая', 1]
['каттижиб', 1]
['тидле', 1]
['хабартая', 1]
['садя', 1]
['цикъчеабкъун', 1]
['гьаибсаб', 1]
['акквай', 1]
['гiяйр', 1]
['дахьахьугьия', 1]
['садал', 1]
['сякьин', 1]
['гьамкi', 1]
['гьаттухий', 1]
['хюле', 1]
['каттига', 1]
['ццихъле', 1]
['ярга-яргал', 1]
['сикiалле', 1]
['хабарте', 1]
['кьяцаже', 1]
['хабарли', 1]
['асабий', 1]
['ищий', 1]
['къаччай', 1]
['дугiле', 1]
['улгам', 1]
['ккулилже', 1]
['ттаадичибжудде', 1]
['лиже', 1]
['чидукъадакьану', 1]
['уухгьаттуччиб', 1]
['биникабулхъун', 1]
['ряхiят', 1]
['духуд', 1]
['букун-буччиб', 1]
['ччивала', 1]
['биникабулхъунгьия', 1]
['теедидигун', 1]
['чарсаттихул', 1]
['гьуна-букiул', 1]
['бидяхиб', 1]
['ттууттаже', 1]
['чегьеттахун', 1]
['гууле', 1]
['вигьаттиццул', 1]
['гар-гарбукiул', 1]
['ттууттажил', 1]
['хухчикабигул', 1]
['цiеехьсиб', 1]
['ихила', 1]
['сабну', 1]
['кабижиб', 1]
['дуруслия', 1]
['илттаддий', 1]
['сад55', 1]
['дукиб', 1]
['иштяхiличил', 1]
['тухъти', 1]
['кьарлизиб', 1]
['гiяйбикiуси', 1]
['гiергъибухъун', 1]
['мукьарли', 1]
['бецiлизибад', 1]
['берцес', 1]
['хiебикiни', 1]
['тiашванбизур', 1]
['дугьабизур', 1]
['бугни', 1]
['пурбанбара', 1]
['бучiесаиб', 1]
['макьамтачи', 1]
['илдазибад', 1]
['урухбиуб', 1]
['угьдатур65', 1]
['иццан', 1]
['жанаварте', 1]
['бахкквий', 1]
['сабахьул', 1]
['нахълитаб', 1]
['бицiищу', 1]
['дингьаттухъунжуд', 1]
['тибакквал', 1]
['бицiицце', 1]
['дуццалла', 1]
['биикьулдин', 1]
['бишибукъаб', 1]
['батий', 1]
['бингьабхъин', 1]
['дилащул', 1]
['битiибдану', 1]
['чибидассиб', 1]
['иццалая', 1]
['хъумутуну', 1]
['хiякьунжуд', 1]
['лидакква', 1]
['хюлатле', 1]
['биккай', 1]
['чарсабхилазиб', 1]
['ухьтанне', 1]
['гьакiбиикьул', 1]
['кiумия', 1]
['саб66', 1]
['биссу', 1]
['иллитта', 1]
['биссулдин', 1]
['биккузиб', 1]
['бакiузиб', 1]
['сагъунзиб', 1]
['виппячвинил', 1]
['уукалдил', 1]
['дула', 1]
['гьащуд', 1]
['тидде', 1]
['духiулла', 1]
['духiулцце', 1]
['гьадабикьид', 1]
['биссулаада', 1]
['накйикiитта', 1]
['паргъат', 1]
['хiитiадил', 1]
['бицi79', 1]
['арцан', 1]
['даркьили', 1]
['гьай-гьай', 1]
['кiиэсилра', 1]
['мамбикишав', 1]
['кьацiбикишав', 1]
['кашин-ула', 1]
['дячишав', 1]
['хiябэсилра', 1]
['сабицун', 1]
['калунхiели', 1]
['гъариб', 1]
['бисусирив', 1]
['бисусира', 1]
['бецiличиб', 1]
['гьимиахъес', 1]
['гуглахiяйлизи', 1]
['аркьехiену', 1]
['бихул', 1]
['сигуг', 1]
['баршили', 1]
['кадулхъес', 1]
['дехiдихьили', 1]
['хiусвай', 1]
['суллай', 1]
['къардуллай', 1]
['диркьанир', 1]
['дубрир', 1]
['чедаахъес', 1]
['сигугличи', 1]
['абатабая', 1]
['абатурли', 1]
['хiяйванти', 1]
['чедиули', 1]
['биадли', 1]
['хiулира', 1]
['кiапiдуцили', 1]
['кьяшра', 1]
['биругiебли', 1]
['сурбухъен', 1]
['сурбухъи', 1]
['сабигу', 1]
['кагъбиубли', 1]
['пакь', 1]
['ухълау', 1]
['убяхiбикили', 1]
['баргбердили', 1]
['баргбердибхiели', 1]
['илара', 1]
['каниларад', 1]
['гулилизирад', 1]
['хiякни', 1]
['къиндир-къиндир', 1]
['къабача', 1]
['хiявбуцiала', 1]
['дулгъуби', 1]
['дулхъули', 1]
['итар', 1]
['вакiира81', 1]
['бигiай', 1]
['хъубццарала', 1]
['букъибли', 1]
['пукьале', 1]
['дигiянбарили', 1]
['биркьара', 1]
['ччагiалан', 1]
['букас', 1]
['бискабилсас', 1]
['гiянис', 1]
['кьатти', 1]
['гьишвай', 1]
['сабли', 1]
['гьитвай', 1]
['сунницци', 1]
['кiянтiали', 1]
['цакьвала', 1]
['чiячiябигьахъвара', 1]
['иштти', 1]
['деркуса', 1]
['кабисуй', 1]
['чiячiяли', 1]
['деркусли', 1]
['укадихьара', 1]
['укадишиб', 1]
['гiянулби', 1]
['укатхiадишибра', 1]
['дукас', 1]
['акквалли', 1]
['бусбитаулли', 1]
['буссуй', 1]
['чисаргъибхiели', 1]
['хiекьихъан', 1]
['саби86', 1]
['адамилце', 1]
['батагъаба', 1]
['беекун', 1]
['вилкъеладе', 1]
['гiяб', 1]
['чисаттутила', 1]
['либалле', 1]
['батагьибжила', 1]
['разийухуб', 1]
['агул-бидагъибзиблий', 1]
['вихмехут', 1]
['батагъиб', 1]
['личiаб', 1]
['хiясибле', 1]
['къинадил', 1]
['гьаъхъий', 1]
['кiвеъибилий', 1]
['вихчевидажий', 1]
['акквазиб', 1]
['сикiабхалже', 1]
['вихчевиммадагут', 1]
['гьасиб', 1]
['кьюртiкаттагъад', 1]
['билхун', 1]
['либалзиб', 1]
['авдан', 1]
['ухилалде', 1]
['абдалле', 1]
['ухуб', 1]
['бухвале', 1]
['тiаш', 1]
['бахьулдин', 1]
['удилкiу', 1]
['гiябибиллизиб', 1]
['гьадаъатте', 1]
['гiябибилий', 1]
['баакъилан', 1]
['кiвилцциля', 1]
['пееда', 1]
['гьабалчий', 1]
['ухахатте', 1]
['духъилжий', 1]
['биикiада', 1]
['кьюртiкаттигъузибдин', 1]
['эласиб', 1]
['мутила', 1]
['гiякьлулий', 1]
['бидагузиблий', 1]
['вихметут', 1]
['лявевакiакiаттин', 1]
['накiе', 1]
['гiябибил', 1]
['къина91', 1]
['синкачила', 1]
['дузани', 1]
['дигiянбиркантала', 1]
['шараличи', 1]
['хуреглара', 1]
['риэс', 1]
['цiумбикiули', 1]
['качiи', 1]
['цiумбикiусири', 1]
['качiилизи', 1]
['мяхiкамли', 1]
['дурасибмадан', 1]
['юртлизир', 1]
['дедели', 1]
['синкали', 1]
['гьунирратурли', 1]
['синкалира', 1]
['хъумхiерту', 1]
['бирар95', 1]
['биргiябиргиба', 1]
['жура-журала', 1]
['хiердиэс', 1]
['баргъибси', 1]
['арслайс', 1]
['хiебедалри', 1]
['дедлугес', 1]
['дусмазир', 1]
['пикридикiесдяхiиб', 1]
['бергеси', 1]
['мяхiкамарес', 1]
['арслайчи', 1]
['вяв-чiярбухъи', 1]
['бакiибсири', 1]
['хiебиадли', 1]
['кумекчибази', 1]
['хъарбирис', 1]
['керасахъес', 1]
['гiява-гiяваси', 1]
['лебхусиригу', 1]
['чинабад', 1]
['жанивар', 1]
['дакiубухъи', 1]
['арбякьунал', 1]
['башигу', 1]
['гiердиэхiену', 1]
['луцiли', 1]
['ардякьун', 1]
['киб', 1]
['гiяшбуциб', 1]
['арслайзи', 1]
['чедиулрив', 1]
['ихар', 1]
['кiилинилра', 1]
['кадуршехiе', 1]
['къужбарили', 1]
['лебхуси', 1]
['бергунра', 1]
['яргализиб', 1]
['лебхис', 1]
['буэн', 1]
['пялхъярбикiули', 1]
['пялхъарбикiули', 1]
['96', 1]
['къапланра', 1]
['бухънабигьубли', 1]
['дуцара', 1]
['биргьули', 1]
['пукьвале', 1]
['иццухiели', 1]
['садашули', 1]
['дукули', 1]
['унццани', 1]
['тiашкабицулли', 1]
['биркьурре', 1]
['бухiнаатхiебурхъурре', 1]
['чибиурра', 1]
['ухiнаалхъуй', 1]
['ттуракалхъули', 1]
['ккурта', 1]
['битаулли', 1]
['саби112', 1]
['улаличил', 1]
['каргьули', 1]
['хiеделкьунти', 1]
['кумразирад', 1]
['кабирухiели', 1]
['кьяшлизи', 1]
['чякали', 1]
['дурасахъес', 1]
['кьяшлизибад', 1]
['дурабитiи', 1]
['чарбара', 1]
['кьуцiрира', 1]
['букiуначи', 1]
['белгьадалли', 1]
['букiунанира', 1]
['белкъайчи', 1]
['чардарая', 1]
['кубачила', 1]
['цiикурира', 1]
['рицили', 1]
['чугурра', 1]
['далайбикiули', 1]
['занзилис', 1]
['кигьалис', 1]
['кьяйс', 1]
['рикиб', 1]
['цiикурлис', 1]
['жикьилис', 1]
['хiяй', 1]
['далалай', 1]
['вичiир-вичiир-вичiиртiи114', 1]
['духiула', 1]
['мискинжуб', 1]
['ччивалла', 1]
['дисибжуб', 1]
['аасла', 1]
['ассиб', 1]
['сикiабухая', 1]
['букун-буччул', 1]
['кабигул', 1]
['усуля', 1]
['ассий', 1]
['гiункьунгьия', 1]
['биикiа', 1]
['гулладил', 1]
['иший', 1]
['аасну', 1]
['гьакка', 1]
['ужибсав', 1]
['сабалчун', 1]
['кацiея', 1]
['видагъиб', 1]
['дугудал', 1]
['акквел', 1]
['биикiатiад', 1]
['язукъ', 1]
['дихьле', 1]
['аас', 1]
['хвассай', 1]
['бакьад', 1]
['баакьибде', 1]
['кiацiе', 1]
['гьабигьналий', 1]
['кабаащиб', 1]
['вахул', 1]
['диисулусул', 1]
['ассибзиб', 1]
['буккинлиццил', 1]
['кацiилия', 1]
['бишибилуккун', 1]
['сиигъумутил', 1]
['натте', 1]
['ччитула', 1]
['иля', 1]
['абащу', 1]
['пишая', 1]
['абай', 1]
['кабулбаакьиб', 1]
['гапвааакьиб', 1]
['духiуя', 1]
['хвея', 1]
['мямпятiбухикьану', 1]
['читудиля', 1]
['бусий', 1]
['бажизибну', 1]
['галцце', 1]
['дилла', 1]
['атта-абадил', 1]
['хвассайбаакьнилий', 1]
['гьаччибжуд', 1]
['муте-аас', 1]
['чаачiул', 1]
['дигiегiахъий', 1]
['читту', 1]
['ищила', 1]
['деекеквахъий', 1]
['атта-абащ', 1]
['хъилий', 1]
['каттилгун', 1]
['теебахьул', 1]
['духiя', 1]
['нахълита', 1]
['талаб', 1]
['хвассайвакьибзивя', 1]
['юлдаште', 1]
['читтуя', 1]
['талхъунтаццив', 1]
['хантаццив', 1]
['бажизиб', 1]
['либну', 1]
['духiудил', 1]
['сикiалдихъ', 1]
['мискиндихьла', 1]
['ахiвялат', 1]
['наалжила', 1]
['абая', 1]
['сикiаллижий', 1]
['каттижилалде', 1]
['гiяхдихьле', 1]
['гiяхдикь', 1]
['буукхну', 1]
['мялгiунне', 1]
['муте-аасла', 1]
['авданне', 1]
['наая', 1]
['къарауллий', 1]
['хъилигвне', 1]
['садакьахъий', 1]
['гьаттакiуб', 1]
['зядякьакьахъий116', 1]
['авлахъличир', 1]
['дигуливан', 1]
['гiяйкадикiули', 1]
['валрира', 1]
['цiерхькадиуб', 1]
['валризи', 1]
['далайбикiес', 1]
['жайчирану', 1]
['абхьесалра', 1]
['алавмабулхъад', 1]
['сегьуна-биалра', 1]
['лябкьяхъидну', 1]
['мехiур', 1]
['балликьяначи', 1]
['биругiеб', 1]
['вявбикiескабииб', 1]
['далайличи', 1]
['купецуни', 1]
['чабакiиб', 1]
['эмхiечира', 1]
['валричира', 1]
['декiти', 1]
['духби', 1]
['чедихьиб', 1]
['гьунчиб', 1]
['бамсур', 1]
['купецунани', 1]
['дехличилси', 1]
['валриличи', 1]
['абихьиб', 1]
['шуриличи', 1]
['бетаибхiели', 1]
['булхъес', 1]
['мабулхъад', 1]
['кабиркусну', 1]
['иштяхiли', 1]
['булхъескабииб', 1]
['валрила', 1]
['къакъличибси', 1]
['лига-къякьяличи', 1]
['шурбухъун', 1]
['122', 1]
['ливли', 1]
['тiашиццул', 1]
['унцлара', 1]
['эмхiелара', 1]
['угь', 1]
['угьугьай', 1]
['бамсаттив', 1]
['бамсурра', 1]
['бамсурри', 1]
['бигьутли', 1]
['ишгьуна', 1]
['ишдуччи', 1]
['мадукат', 1]
['загiипли', 1]
['хiебучихъара', 1]
['дукалвихiябли', 1]
['илицци', 1]
['дукалкiурре', 1]
['сенарра', 1]
['набчу', 1]
['вирххiерхул', 1]
['виутли', 1]
['хiечур', 1]
['хiеруус', 1]
['ттурахъун', 1]
['хвилис', 1]
['ларкабаркьибли', 1]
['хвили', 1]
['акквара', 1]
['ттахъвали', 1]
['учидяхъибли', 1]
['вяргiнира', 1]
['хви', 1]
['ттахъвацци', 1]
['барк', 1]
['берквана', 1]
['биргьускьали', 1]
['тiутiувиргьули', 1]
['хiеберкунра', 1]
['хiебискьатти', 1]
['арилиур', 1]
['суничи', 1]
['ратахъа', 1]
['вецiнучiура', 1]
['хiебиккан', 1]
['баркьалли', 1]
['кьацiбикiулли', 1]
['къипбикiули', 1]
['лидирра', 1]
['тiутiтукьякьдиркъис', 1]
['ттахъвали126', 1]
['тiатi', 1]
['виикьий', 1]
['бусалла', 1]
['чарсиху', 1]
['тявяхъиб', 1]
['шан', 1]
['диикьанав', 1]
['угаттий', 1]
['вацциттий', 1]
['шаннидил', 1]
['хъубццаралжил', 1]
['усла', 1]
['муккачилже', 1]
['кабжибзиб', 1]
['тiатiле', 1]
['гъаъиб', 1]
['хвалле', 1]
['дааццида', 1]
['бахьун', 1]
['таманбаакьада127', 1]
['билукун', 1]
['айчевиццул', 1]
['тебедагужила', 1]
['гьайбагъиб', 1]
['силбиикьулдин', 1]
['разилдий', 1]
['сигья', 1]
['бинигьабатул', 1]
['кьитiкьадил', 1]
['хъямзибкъел', 1]
['дуццалщуба', 1]
['чибгьулда135', 1]
['цiерцiли', 1]
['дясахъун', 1]
['чiигiяличи', 1]
['дягiлиуб', 1]
['гардбикiули', 1]
['буус', 1]
['къакъбази', 1]
['тиладибухъен', 1]
['дурхiначи', 1]
['къалабабикiулра', 1]
['къянази', 1]
['умудараб', 1]
['умухiедарибси', 1]
['чiакази', 1]
['хiебирус', 1]
['букiунничи', 1]
['дугьабизи', 1]
['кабушахъес', 1]
['кабуша', 1]
['вирусра', 1]
['вацази', 1]
['вацачи', 1]
['кабикахъили', 1]
['къакъбани', 1]
['къянали', 1]
['илизибад', 1]
['къянас', 1]
['гiелабадбикили', 1]
['чедибад', 1]
['цiерцiла', 1]
['хабар136', 1]
['дигiес', 1]
['дагъара', 1]
['хяра', 1]
['датдихьили', 1]
['бурхабагу', 1]
['буребара', 1]
['пяцiа', 1]
['бухабагу', 1]
['къаршибиркули', 1]
['мучалла', 1]
['унзала', 1]
['ганзухъличи', 1]
['анкъилаб', 1]
['бикьес', 1]
['палдала', 1]
['удибад', 1]
['пархбухъунси', 1]
['лагьали', 1]
['игьубти', 1]
['палдали', 1]
['сукъуррарили', 1]
['вяв-чiяррикiули', 1]
['дяхi', 1]
['дигiяндарилигу', 1]
['илабси', 1]
['ретухъигу', 1]
['илаад', 1]
['дурабикибси', 1]
['къиббикiесбяхiили', 1]
['ганзухъличиряхi', 1]
['гiелумризурлигу', 1]
['пiяцiаличир', 1]
['хiусрухъи', 1]
['ганзухъличирад', 1]
