['гъу', 60]
['кiяцахалауйбыне', 1]
['ооiдху', 1]
['ыiмырей', 1]
['шадын', 1]
['шугьлетикан', 1]
['къадже', 1]
['хъаляъасыд', 1]
['йикiейхъа', 1]
['гьиджун', 1]
['аiлгьаас', 1]
['эйсийе', 1]
['къагьайсие', 1]
['мысахье', 1]
['фыкъусамишхьанане', 1]
['дысаваб', 1]
['гьаiкышкьатрар', 1]
['фыкырамишхьа', 1]
['гьинкъукiле', 1]
['гьаама', 1]
['къеджийе', 1]
['ацiан', 1]
['гьаiкiе', 1]
['фыкырамиш', 1]
['арына', 1]
['саджу', 1]
['къазынджина', 1]
['илекке', 1]
['гьиджайи', 1]
['лезимда', 1]
['къатмишеъэ', 1]
['эйсийн', 1]
['кьоiдваiш-хьебыдваiш', 1]
['къанг', 1]
['гьихве', 1]
['пешекарей', 1]
['гъаъа', 1]
['къаргбы', 1]
['достика', 1]
['кьоiнахъаъа', 1]
['сыкiылיни', 1]
['эйсийкiле', 1]
['ацiахье', 1]
['диванейхъа', 1]
['хъооле', 1]
['гьаъасыл', 1]
['достысахъа', 1]
['гьелесыл', 1]
['пайлемишеъэ', 1]
['разийра', 1]
['пешекарыкiле', 1]
['диване', 1]
['гьеленкъаi', 1]
['гьегва', 1]
['гигъле', 1]
['бэ-э-э', 1]
['увгьойхьине', 1]
['къадий', 1]
['джаваббишиле', 1]
['эйсийке', 1]
['гьамбаше', 1]
['ваiкьабишикване', 1]
['гьо', 1]
['эйсе', 1]
['къекка', 1]
['гьинкъусахъа', 1]
['ишлемишауйнне', 1]
['шенкъукiле', 1]
['хъавале', 1]
['пешекаре', 1]
['бэ-э-э81', 1]
['савахтбишди-савахтал', 1]
['дешди', 1]
['ешемиш', 1]
['инкъухъаб', 1]
['хьебыйре', 1]
['хаiрынкъын', 1]
['ыхьайн', 1]
['кьоiръэсынкъыiн', 1]
['гьыiрперий', 1]
['хьебыръэсынкъыiн', 1]
['чiакiы', 1]
['хъебахьи', 1]
['истагъар', 1]
['йигьыл', 1]
['сааъа', 1]
['аiзизин', 1]
['хаiбхъейбхьа', 1]
['хъабына', 1]
['гьевлесда', 1]
['гьарункъе', 1]
['къурмишааъас', 1]
['aalcce', 1]
['гьарункъулхъа', 1]
['гьаiмаше', 1]
['йишбише', 1]
['гьаъан', 1]
['ки', 1]
['йишеке', 1]
['хизанна', 1]
['регьбер', 1]
['кьоiръэсди', 1]
['переэ', 1]
['хьебыръэсда', 1]
['джусахъа', 1]
['хъортiул', 1]
['йишi', 1]
['адамеэ', 1]
['уджагъ', 1]
['деккис', 1]
['хьебыръэсди', 1]
['йишени', 1]
['джавабыле', 1]
['хъойтiап', 1]
['хаiрна', 1]
['гьихъийаллани', 1]
['оiлкабишилхъа', 1]
['касиб-кусиб', 1]
['тiалаб', 1]
['вуджир', 1]
['ният', 1]
['гьийвуй', 1]
['ацiахьес', 1]
['гьаъаi', 1]
['чакра', 1]
['хурджунейхъа', 1]
['кiейиххьы', 1]
['йаiххъылхъа', 1]
['-аiл', 1]
['инкъуке–шенкъуке', 1]
['хъидгiынаъа', 1]
['гима', 1]
['гивъурни', 1]
['хъидгiынбы', 1]
['доланджагъыке', 1]
['дешдане', 1]
['вушди', 1]
['хивей', 1]
['няхъаджар', 1]
['хаанче', 1]
['хъигъечiе', 1]
['кьаiсди', 1]
['едеэ', 1]
['хавыд', 1]
['гимани', 1]
['адамерше', 1]
['гунра', 1]
['kъирагъыл', 1]
['чiиек', 1]
['авудын', 1]
['дахма', 1]
['манчихъад', 1]
['къулепбыд', 1]
['гечiу', 1]
['балканыле', 1]
['айибтiул', 1]
['дахмайни', 1]
['охуххъа', 1]
['хаани', 1]
['джилил', 1]
['уджагъоб', 1]
['гёбхьан', 1]
['янылир', 1]
['гадевор', 1]
['барчамни', 1]
['кьаркьве', 1]
['пiапiрыс', 1]
['къалирхьу', 1]
['хъидгiынбы-алидгiынбы', 1]
['нишисый', 1]
['арыва', 1]
['гадейс', 1]
['дехьесын', 1]
['кародон', 1]
['доланмишеъэс', 1]
['охьанас-илёгъасын', 1]
['вукiлелхъа', 1]
['хылеббы', 1]
['гиххьы', 1]
['джувабыл', 1]
['утiумра', 1]
['илёйзар', 1]
['йикьыiгьни', 1]
['кубыс', 1]
['хъаейлесда', 1]
['джекасана', 1]
['гьеэъэ', 1]
['ра', 1]
['къыiвна', 1]
['хъаейли', 1]
['танышхьа', 1]
['кокале', 1]
['инкъыiс', 1]
['нени', 1]
['мурадыкайи', 1]
['иняхъа', 1]
['раздейхье', 1]
['аман', 1]
['бала', 1]
['доланмишеэъэс', 1]
['къарийни', 1]
['духайн', 1]
['гёххьанасын', 1]
['осбы', 1]
['йикьаiл', 1]
['адайле', 1]
['къареэ', 1]
['гъаразки', 1]
['мыiслягьаiтейхъа', 1]
['хъаелеъэ', 1]
['саламаттамишхьа', 1]
['оiлкайни', 1]
['гьаъанаi', 1]
['быкыравъуна', 1]
['къиймишеъэсдамы', 1]
['маiгьарна', 1]
['нишанлы', 1]
['нениджар', 1]
['авайкы', 1]
['юк', 1]
['ёргъан-душагын', 1]
['гьийхьареэъэ', 1]
['аiгьмаданкъаi', 1]
['хъийву', 1]
['ыiгьтейхъа', 1]
['сиджахху', 1]
['хъора', 1]
['ёргъан–душагын', 1]
['аляъани', 1]
['палтарын', 1]
['истагьна', 1]
['айейкiан', 1]
['джигайлхъа', 1]
['феркьатайы', 1]
['сиджаххву', 1]
['оiлкайлхъа', 1]
['хъайле', 1]
['вахтбы', 1]
['саiъатбы', 1]
['аiрайле', 1]
['перийкiле', 1]
['чичис', 1]
['ыiхийхаi', 1]
['хасиятбы', 1]
['бадал', 1]
['абайка', 1]
['къоодже', 1]
['эхьалийсди', 1]
['хъоххьарас', 1]
['биринз', 1]
['хьынял', 1]
['алищес', 1]
['гьаейкiан', 1]
['хъойхьар', 1]
['кьызмада', 1]
['ихьедженва', 1]
['кiумкiумейхъа', 1]
['кiяаъа', 1]
['иштагьайка', 1]
['кьоiни', 1]
['тiарийкiедын', 1]
['къалебкiассе', 1]
['гьихъа', 1]
['парчбы', 1]
['ведрабы', 1]
['хъигъещэ', 1]
['къалябкiу', 1]
['илёгъас', 1]
['ыккийкан', 1]
['вай-аман', 1]
['хьинехъа', 1]
['гёрхьан', 1]
['долчедын', 1]
['сугъоце', 1]
['къаббы', 1]
['долчедьш', 1]
['засыд', 1]
['едисыд', 1]
['перэ', 1]
['хъигъ-ечiумейга', 1]
['кьут', 1]
['аанче', 1]
['кiябадчи', 1]
['аязык', 1]
['аахъе', 1]
['акка', 1]
['мыкiалин', 1]
['аххъы', 1]
['перийни', 1]
['чалагахъа', 1]
['къуруни', 1]
['осбишин', 1]
['шалабы', 1]
['хааъад', 1]
['осан', 1]
['чикi', 1]
['пешдехъа', 1]
['гиххьесын', 1]
['къуiмаiъаркiвасда', 1]
['кьуiмаъабкiасынбы', 1]
['аiгьмадысхъа', 1]
['тiоiъ', 1]
['якiв', 1]
['хъиву', 1]
['чiалагахъа', 1]
['осбишди', 1]
['шаланыхъа', 1]
['йаiххъыiляъа', 1]
['абайли', 1]
['хьебыдъэсда', 1]
['алейбтiу', 1]
['хъооiнкъа', 1]
['cyiп', 1]
['ачмишехьи', 1]
['инкъусахъа', 1]
['караиан', 1]
['девабишин', 1]
['балканаршин', 1]
['ухьийхьанаъасда', 1]
['шигьий', 1]
['вузас', 1]
['къазынджис', 1]
['караванчерше', 1]
['манбишика', 1]
['шос', 1]
['аiгьмаiдэ', 1]
['осбишда', 1]
['гьабчу', 1]
['дюзгунра', 1]
['къаджейнчина', 1]
['къайихьыйнчина', 1]
['едисый', 1]
['лап', 1]
['масала', 1]
['къазанмишеъэ', 1]
['нимейгане', 1]
['къазанмишауйни', 1]
['пылыка', 1]
['доланмишхьес', 1]
['доланмишаъасди', 1]
['хатрейхъа', 1]
['гибхьына', 1]
['кьочiедын', 1]
['муздырийвалла', 1]
['йаiххъыiлхъа', 1]
['вузан', 1]
['аiппазий', 1]
['хааъаб', 1]
['гьавайсар', 1]
['аiппазийкеб', 1]
['къоранаршике', 1]
['илёощи', 1]
['гачбишике', 1]
['тiоiъука', 1]
['айбтiул', 1]
['девабишди', 1]
['гьоотiал-гьоотiал', 1]
['караван', 1]
['аiлгьааi', 1]
['бедягь', 1]
['чолылхъа', 1]
['иляакамбы', 1]
['кегьризод', 1]
['джаайид', 1]
['хьебыдле-ёкьудле', 1]
['караванод', 1]
['даянмишхьа', 1]
['кегьризе', 1]
['дамдже', 1]
['хьинена', 1]
['гьиджомы', 1]
['джад', 1]
['авхувоб', 1]
['карванчершди', 1]
['увгьойка', 1]
['кьоiйре-хьебыйре', 1]
['кегьризехъа', 1]
['ведрабишиква', 1]
['гебчiу', 1]
['аiвхъына', 1]
['саджар', 1]
['кiечiуна-кiечiуна', 1]
['гьооiгъа', 1]
['хъабайле', 1]
['кiерчес', 1]
['гьоiгъей', 1]
['гьоiгъеджен', 1]
['манкъухъа', 1]
['гьайняа', 1]
['далы', 1]
['фыкыр', 1]
['вуччиджад', 1]
['аiгьмадэ', 1]
['алившуна', 1]
['къаргыб', 1]
['гечi', 1]
['ооъад', 1]
['ул', 1]
['нан', 1]
['аiрдававод', 1]
['хъуркед', 1]
['гьоiбгъийни', 1]
['инсанаршин', 1]
['гивадхын', 1]
['ассалам', 1]
['алейкум', 1]
['чiоджий', 1]
['ваалейкум', 1]
['саламни', 1]
['гьыiрматыка', 1]
['къадтирхьынна', 1]
['къеджейе', 1]
['хъуркедын', 1]
['инче', 1]
['гьаiлгьаiлра', 1]
['имкан', 1]
['хъигъечiес', 1]
['саламын', 1]
['къадтихьанауна', 1]
['нимейдын', 1]
['ыкканхье', 1]
['алхъеъэ', 1]
['абына', 1]
['кiёбгъыi', 1]
['караванбы', 1]
['тоххьесынмен', 1]
['аiхрейни', 1]
['гечiуйнкъа', 1]
['кечейхъа', 1]
['манбыд', 1]
['илхъечiе', 1]
['кечеэ', 1]
['гьидкiырийн', 1]
['оiтираъа', 1]
['вуджур', 1]
['гьамбазе', 1]
['хьунащейсахъа', 1]
['тахчейлхъа', 1]
['йигъбы', 1]
['оiгмишхьайле', 1]
['оiтиравъуйни', 1]
['па-йилхъа', 1]
['тооз', 1]
['гиуринкъа', 1]
['гьиджойи', 1]
['водва', 1]
['фыкрейхъа', 1]
['хъайли', 1]
['абаейи', 1]
['оiтравъуна', 1]
['ачмишааъа', 1]
['матмаiъдалоохьи', 1]
['кечене', 1]
['къизлена', 1]
['абайи', 1]
['абайс', 1]
['джес', 1]
['уфтанын', 1]
['палтарбишин', 1]
['хаахъан', 1]
['къаб-къашукь', 1]
['карпыч', 1]
['кьува', 1]
['аiйне', 1]
['йива', 1]
['къадахбы', 1]
['илещи', 1]
['яъни', 1]
['хайбишисын', 1]
['материал', 1]
['устадар', 1]
['фегьлебы', 1]
['авхъааххъа', 1]
['вузани', 1]
['аiрей', 1]
['кьоiдле', 1]
['мартабанан', 1]
['нениджад', 1]
['паччагьыхъад', 1]
['инджилин', 1]
['джихаiршин', 1]
['эчершин', 1]
['гавалийн', 1]
['йивар', 1]
['гозетяъа', 1]
['вахталийс', 1]
['аiгьмадна', 1]
['быкыроохьи', 1]
['аiхрени', 1]
['ухьийхьанас', 1]
['гьаркiынийнкъа', 1]
['дерйагьни', 1]
['къуме', 1]
['балугъ', 1]
['дерйагъйехъа', 1]
['гьивохьре', 1]
['пашманхьес', 1]
['инсанни', 1]
['сесеква', 1]
['язух', 1]
['гьивойхьар', 1]
['дерйагьылхъа', 1]
['уiзмишхъа', 1]
['вахтоiт', 1]
['мишивхьамейга', 1]
['дерйагьейнче', 1]
['лакьурятын', 1]
['империял', 1]
['жемчуг', 1]
['эйгьенхьинне', 1]
['быiт', 1]
['лапiус', 1]
['дерйагьейхъа', 1]
['уiзмишхьа', 1]
['сау', 1]
['хурджунбишейхъа', 1]
['бинайлхъа', 1]
['ненкъус', 1]
['джаб', 1]
['гьидяаъа', 1]
['йшъыл', 1]
['гёохьана', 1]
['гьаiххъынаас', 1]
['карванбашийке', 1]
['хъооi-хъооi', 1]
['дахманани', 1]
['батiрайна', 1]
['бина', 1]
['илёбзур', 1]
['оiгийлид', 1]
['дженнетин', 1]
['багъод', 1]
['шавунне', 1]
['гьайин', 1]
['аiгьмаiде', 1]
['хивынбишике', 1]
['аiгьмаiдын', 1]
['едейи', 1]
['манбишис', 1]
['маншаллагь', 1]
['маiъдалехьи', 1]
['гьаiкьийкьатда', 1]
['сос', 1]
['мугьуiббатыка', 1]
['иняа', 1]
['ешемишоохьи', 1]
['аттамишеъэ', 1]
['балканар', 1]
['йищеванкъаi', 1]
['вуххъаiс', 1]
['манкъыiн', 1]
['доланаджагъ', 1]
['хав-уджагь', 1]
['къаджес', 1]
['джени', 1]
['джувабыле', 1]
['пашманыйхьа', 1]
['ешемишехьени', 1]
['батiрайба', 1]
['къаршиламишааъа', 1]
['абыва', 1]
['мигьманыйвалла', 1]
['къадженчилейи', 1]
['къайхьыйнчиле', 1]
['шаванеи', 1]
['деккике', 1]
['хъоркура', 1]
['гьаъана', 1]
['джувабни', 1]
['гуныйвалла', 1]
['тасдикь', 1]
['аiгьмадысый', 1]
['тезелдан', 1]
['даватбы', 1]
['доюкан', 1]
['йихъбишин', 1]
['кьаварчейр', 1]
['маджлис', 1]
['уiлджумна', 1]
['одхьан-илёгъа', 1]
['даватбише', 1]
['зынад', 1]
['калеллий', 1]
['хьойиккелий', 1]
['хасмагьаiммаде', 1]
['лекий', 1]
['шамсиддине', 1]
['иштырак', 1]
['гейб', 1]
['джоле', 1]
['джо', 1]
['шале', 1]
['хизанука', 1]
['аркiынна', 1]
['хъабыйнбы', 1]
['йишди', 1]
['сувабишилхъа119', 1]
['ыхьана', 1]
['дехьана', 1]
['нана', 1]
['йаiхъхъеi', 1]
['къахеенче', 1]
['цiаiхехъа', 1]
['текра', 1]
['дарыхмышаъа', 1]
['йикiеенче', 1]
['джитiа', 1]
['хъааъасди', 1]
['мее', 1]
['гаф', 1]
['гьехъхъы', 1]
['гьопгьурийле', 1]
['ихына', 1]
['херра', 1]
['шуiпгьаi', 1]
['йихъийни', 1]
['кiане', 1]
['вухьан', 1]
['гьирхьыр', 1]
['ассаламун', 1]
['аiлейкум', 1]
['ваi', 1]
['аiлейкумассалам', 1]
['хъивыйни', 1]
['саламаке', 1]
['ацiахьеке', 1]
['эйхьее', 1]
['зынар', 1]
['гинас', 1]
['ихе', 1]
['гьамлаз', 1]
['чожд', 1]
['ихьевы', 1]
['аiса', 1]
['ихьхьы', 1]
['кiан', 1]
['ахъа', 1]
['джука', 1]
['охьанас', 1]
['авцiесын', 1]
['меен', 1]
['папрысбы', 1]
['гойнеб', 1]
['йаiхъхъыiлхъа', 1]
['эбчiес', 1]
['сугъоцiа', 1]
['кумагыс', 1]
['хурджунна', 1]
['с', 1]
['абатiа', 1]
['манаса', 1]
['кумагука', 1]
['сугъоцаъийнкъаi', 1]
['фалыйкiле', 1]
['къеджеки', 1]
['хурджунни', 1]
['хьиннен', 1]
['утiумун', 1]
['карод', 1]
['чодж', 1]
['кьевне', 1]
['вуккеека', 1]
['еед', 1]
['йиiкьда', 1]
['хурджунее', 1]
['дешобна', 1]
['водонму-ву', 1]
['кiылдане', 1]
['водонму', 1]
['н', 1]
['аъасде', 1]
['манмы', 1]
['ыккейка', 1]
['кахни', 1]
['йокьубле', 1]
['алившу', 1]
['къарпызашина', 1]
['кiебчина', 1]
['маниса', 1]
['къарпызнана', 1]
['вукiа', 1]
['йиiкьба', 1]
['вухьайхъа', 1]
['чiекiын', 1]
['кiаъу', 1]
['элбетте', 1]
['л', 1]
['азымда', 1]
['дешинмы', 1]
['чiийелхъа', 1]
['ихьхьес', 1]
['илекка', 1]
['ачмиш', 1]
['гьаъу', 1]
['хурджуненче', 1]
['вукiлеенче', 1]
['гьар', 1]
['илийхъен', 1]
['фалыйны', 1]
['аiкiелиле', 1]
['еер', 1]
['матехье', 1]
['баiчiаiр', 1]
['дирхьырна', 1]
['йарабыр', 1]
['манкъуле', 1]
['катхуда', 1]
['ворнанахан', 1]
['бакырни', 1]
['гъуiкуматна', 1]
['сааiас', 1]
['эйхъе', 1]
['хилиджи', 1]
['д', 1]
['озмиш', 1]
['дехьа', 1]
['мумкун', 1]
['вообна', 1]
['девлетти', 1]
['хеппа', 1]
['девлетнана', 1]
['мерна', 1]
['баiджаiгьаiт', 1]
['авайкес', 1]
['пертхьайни', 1]
['кьивойле', 1]
['чоджий', 1]
['гьаiмаiше', 1]
['заква', 1]
['воохьенахье', 1]
['ивийкарааъасыб', 1]
['дагъамба', 1]
['кiотiасын', 1]
['чiикайи', 1]
['вуджана', 1]
['фалыйни', 1]
['пашман', 1]
['балканыла', 1]
['гичiу', 1]
['хурджунун', 1]
['ачми', 1]
['гаъа', 1]
['къарпызаашина', 1]
['вукiлехъа', 1]
['вукiлеехъаб', 1]
['абту', 1]
['къайе', 1]
['гивийхье', 1]
['йаiхъхъыл', 1]
['саламаттамиш', 1]
['эйгьен', 1]
['хепна', 1]
['гьоолени', 1]
['ахвее', 1]
['йугра', 1]
['гьиджоому', 1]
['дацiа', 1]
['хъорсун', 1]
['ахвана', 1]
['ыiмрее', 1]
['цiеддийн', 1]
['авур', 1]
['ахуй', 1]
['ыхьа76', 1]
['кимсанайн', 1]
['гьаiракат', 1]
['кiаарни', 1]
['сувал-хъа', 1]
['аiрейаб', 1]
['джагварана', 1]
['авчийкiле', 1]
['кiонаршини', 1]
['сюреаб', 1]
['джагварна', 1]
['вобхье', 1]
['кимсана', 1]
['кiонаршыхъа', 1]
['гийар', 1]
['окiейхъа', 1]
['пiатрыс', 1]
['узанмишхьа', 1]
['никiейхъа', 1]
['никiейнче', 1]
['озахъихьамейга', 1]
['чiакiын', 1]
['кiонан', 1]
['авчийвалла', 1]
['уха-дыка', 1]
['хизанейиб', 1]
['болвалла', 1]
['вуха', 1]
['хизанейад', 1]
['архайле', 1]
['архайлхъа', 1]
['гьаiшдед', 1]
['мийж', 1]
['водонбы79', 1]
['ин-саф', 1]
['уххъаiнкъа', 1]
['джукасана', 1]
['авчеришна', 1]
['кiонаришни', 1]
['боiликехъар', 1]
['гирхьуйнкъаi', 1]
['няайий', 1]
['гьавайсарнаний', 1]
['кьочiейяхъа', 1]
['алябяiас', 1]
['чилеб', 1]
['алхъа', 1]
['хъидааiва', 1]
['гуллебы', 1]
['яраламишавъуйни', 1]
['кiонасахъа', 1]
['ивкiассе', 1]
['за-лумийвалика', 1]
['цебба', 1]
['геотананий', 1]
['гьарайка', 1]
['дюгу-ливхье', 1]
['аваркьыя', 1]
['айтемыре', 1]
['улеббы', 1]
['кiонатiанче', 1]
['ай-темыр', 1]
['маiхурна', 1]
['инсаф', 1]
['джод', 1]
['няхуiрмы', 1]
['сафарейхъа', 1]
['хигъечiе', 1]
['манчисахъа', 1]
['атышаъа', 1]
['къатарейдын', 1]
['пiатiронбы', 1]
['таамхьес', 1]
['мейга', 1]
['кiонаршилхъа', 1]
['авгьеийни', 1]
['гуллебишике', 1]
['саджаб', 1]
['кiонарешес', 1]
['хъи-двийхьар', 1]
['угъад', 1]
['ыхьайхъа', 1]
['чалейар', 1]
['куйиле', 1]
['хаiмдийс', 1]
['ахда', 1]
['джагваран', 1]
['саххъалбынан', 1]
['къаiсинбы', 1]
['сааi', 1]
['гивийгъал', 1]
['манбишди', 1]
['санкъведжаб', 1]
['айтемырыс', 1]
['гьидеоле', 1]
['нейиб', 1]
['манкъука', 1]
['аiхрейар', 1]
['куйилехъа', 1]
['джегьил', 1]
['хъившу', 1]
['няас', 1]
['кiонариши', 1]
['текда', 1]
['гьассыр', 1]
['джегьиле', 1]
['къийна', 1]
['бейняавайий', 1]
['кiонаришяхъа', 1]
['гьаъанкъа', 1]
['гуллебишди', 1]
['адхъы', 1]
['тика-тика', 1]
['дагъылмишхъа', 1]
['хъарына', 1]
['джегьилике', 1]
['гьаваа', 1]
['няхуiбий', 1]
['гьаiмахуiбна', 1]
['ооiрхаiс', 1]
['дяхыi', 1]
['аiварай', 1]
['гьаiмаiхбуна', 1]
['эигьен', 1]
['джавабне', 1]
['шокiле', 1]
['мыкiан', 1]
['айаазод', 1]
['куйилени', 1]
['джагварани', 1]
['саххъалбынани', 1]
['кьаiсин-бише', 1]
['аiрсак', 1]
['някi', 1]
['къилехьа', 1]
['мугъур', 1]
['хъихьайнкъаi', 1]
['сувалер', 1]
['мебни', 1]
['сувалёб', 1]
['гейбни', 1]
['дагъамийвалика', 1]
['маiккарма', 1]
['чiыры', 1]
