["hic'ile", 5420]
['dḭχːa̰ja', 2]
['kapustːara', 2]
['čakarxʷade', 2]
['kedirgle', 2]
["q'ʷa̰rt'ajqalajšːu", 2]
['wahdišːible', 2]
['ʡasanqalaj', 2]
['ulgliruj', 2]
['igišːurka', 2]
['nadežnojze', 2]
['razisːajla', 2]
['daxunne', 2]
['da̰ħundi', 2]
['ogorodli', 2]
['daxundi', 2]
['da̰ħunde', 2]
['darsːze', 2]
['ča̰qja̰χḛ', 2]
['waˤdilara', 2]
['jerčibziwde', 2]
['jerčibsːaħ', 2]
['qaʁarricːe', 2]
["č'imq'ut'aj", 2]
["učastːnik'", 2]
["wač'ibziwde", 2]
["čarak'ub", 2]
["ukwač'unne", 2]
['problema', 2]
['jaˤmajtːir', 2]
['bursalalirka', 2]
['matapa', 2]
['harχʷande', 2]
['dulanmaʁ', 2]
['muzɨkant', 2]
['tartibze', 2]
['buldule', 2]
['učastːnik', 2]
['pːlenni', 2]
['elgunziwde', 2]
['žura', 2]
['hunare', 2]
['kulpatacːille', 2]
['usutajqala', 2]
['a̰rarkalakan', 2]
['upːiχurre', 2]
['duzidačːu', 2]
['miše', 2]
['čejχle', 2]
['kalarkabikːana', 2]
['banʲali', 2]
['čarursande', 2]
['iqːe', 2]
['irq', 2]
["ust'ulla", 2]
['rurχu', 2]
['zakirri', 2]
['žanni', 2]
['učabuχubze', 2]
['ħurmatli', 2]
['izdagqala', 2]
['tːurahbertːible', 2]
['ʡusenne', 2]
['karxʷle', 2]
['birkːar', 2]
['mahijatlira', 2]
["dik'", 2]
['bizible', 2]
['ikanna', 2]
['ʡumrilira', 2]
['taˤtirka', 2]
['ma̰nqa̰qale', 2]
['ʡa̰mqa̰licːe', 2]
['ma̰nqa̰la', 2]
['ma̰nqa̰licːe', 2]
['učawač', 2]
['uxanze', 2]
["warq'iblakːu", 2]
["aˤwarq'ible", 2]
['ja̰lqunze', 2]
['birʁlakːu', 2]
['mallališːu', 2]
['sarbataja', 2]
['buχubsːaħli', 2]
['zapir', 2]
['ʡa̰nunala', 2]
['šːu', 2]
['la̰li', 2]
['icːanar', 2]
['kʷanig', 2]
['busra', 2]
['aχːarazira', 2]
['zahratli', 2]
['χabararka', 2]
['macːnacːille', 2]
['jaqʷla', 2]
['dṵq', 2]
['čahtːagur', 2]
['tːupangira', 2]
['mursːala', 2]
['aˤbaqibda', 2]
["belk'undi", 2]
['brigadirdixːli', 2]
['bukːana', 2]
['šipire', 2]
['slabojze', 2]
["okot'li", 2]
['ʡa̰ncːbahra', 2]
["čapːač'ibli", 2]
['aˤdaxanze', 2]
['širwanile', 2]
["k'amšːnira", 2]
["balk'unnira", 2]
['daxlakːu', 2]
['munrira', 2]
['učada̰qible', 2]
['diqːuj', 2]
['ča̰rqa̰χibda', 2]
['urkaraqe', 2]
['gradus', 2]
['duχːare', 2]
['harasdaturre', 2]
['ħamzalatra', 2]
["c'atːarra", 2]
['okot', 2]
['diqːanze', 2]
["okot'ra", 2]
['ʡa̰qra', 2]
['qːušra', 2]
['ijulli', 2]
['nurik', 2]
['kumalara', 2]
['busi', 2]
['taˤmajtːirka', 2]
['waturda', 2]
['kːazite', 2]
['tːurasa̰χible', 2]
['masːlahra', 2]
['bḭχːlakːu', 2]
["hač'ʷi", 2]
['pa̰qze', 2]
['kːilomaj', 2]
['kːa̰la', 2]
['hačibdi', 2]
['ča̰qbṵrχle', 2]
['daturdi', 2]
['rekːraiban', 2]
['rekːraj', 2]
['caraj', 2]
['kolχuzaj', 2]
['gorbačewra', 2]
['χrušːewra', 2]
['kadišːibze', 2]
['rabočijli', 2]
['deduškːalara', 2]
['bahlaze', 2]
['čilinala', 2]
['mišala', 2]
["učːawač'ibsːaħ", 2]
['da̰q', 2]
['aˤhbalčunda', 2]
['točnojle', 2]
['niškanra', 2]
['bukanannisar', 2]
['lejqiraja', 2]
['ba̰lirkitːaħle', 2]
['a̰rkitːaħ', 2]
['daxansːaħ', 2]
['qucːarme', 2]
['hitːidujčʷi', 2]
["k'anra", 2]
["wa̰rwa̰t'ne", 2]
['ʁalala', 2]
['sabulqle', 2]
['šinbad', 2]
['merk', 2]
['sabaʁiban', 2]
['šamre', 2]
['sːusːulra', 2]
['sːortla', 2]
['harekbi', 2]
['bikaršʷe', 2]
['bikarxʷande', 2]
["q'ʷa̰rt'ra", 2]
['ča̰pːa̰qible', 2]
['ikːʷanar', 2]
['učːakejčible', 2]
['pa̰χː', 2]
['čedirkle', 2]
['aˤbaʁible', 2]
['ručːekričib', 2]
['naχalla', 2]
['ra̰rqːib', 2]
['ruχublakːu', 2]
['χaˤmar', 2]
['rirsaxuble', 2]
['didičible', 2]
['jad', 2]
['sisijalara', 2]
['berkʷ', 2]
['bebχːib', 2]
['busandeble', 2]
['ča̰χːa̰n', 2]
["čakart'le", 2]
['icːra', 2]
['aˤdursub', 2]
["iskːalat'li", 2]
['ijunʲ', 2]
['birgadirra', 2]
['bṵrqid', 2]
['dukːande', 2]
['bircːiblarka', 2]
['wahtːiʁande', 2]
['dartle', 2]
['baʁiblarka', 2]
['harapːurcande', 2]
['ʡa̰lqe', 2]
['diče', 2]
["arč'amalla", 2]
['aˤdirkle', 2]
['niglirka', 2]
["lit'rume", 2]
['barkawan', 2]
['macːalara', 2]
["ra̰q'ra̰q'ne", 2]
['šːimala', 2]
["ra̰q'ra̰q", 2]
["t'emze", 2]
["t'emle", 2]
['kolχuzlicːe', 2]
['dircade', 2]
['čabla', 2]
['satːaˤčːu', 2]
['knižkːne', 2]
['qːasinni', 2]
['procente', 2]
['itsːaħla', 2]
['aˤjaʁib', 2]
['knižka', 2]
['naidali', 2]
['knižkːa', 2]
['wozrast', 2]
['ištːajra', 2]
['kejkanda', 2]
['kampanija', 2]
['ʡa̰lqa̰nar', 2]
['durχatːa', 2]
['dirdičible', 2]
['aguril', 2]
['berxʷade', 2]
['kebirxːade', 2]
['qa̰rχa̰nde', 2]
['silusle', 2]
["birc'anze", 2]
["birc'le", 2]
['burχanar', 2]
['direjqːande', 2]
["q'arrirka", 2]
['derʁʷe', 2]
['dirqlakːu', 2]
['tːuraʁibzibde', 2]
['tːurasatːʷande', 2]
['ʡa̰qidaj', 2]
['rajonala', 2]
['daʁustanna', 2]
['poweska', 2]
['saqʷaraj', 2]
["čabač'ibsːaħ", 2]
['da̰wʡilasːaħra', 2]
['sarduci', 2]
["hic'ille", 2]
["bik'ʷa", 2]
['šahmille', 2]
['rṵqːe', 2]
['hitːibiχurre', 2]
['rṵqːa̰de', 2]
['čekdirxːade', 2]
['martːeirgade', 2]
["balq'arglačːu", 2]
['sa̰rχle', 2]
['iticːirka', 2]
['daršːce', 2]
['kolχuzlara', 2]
["q'ṵla", 2]
['uˤlharahbati', 2]
['awlaqli', 2]
['čebžijal', 2]
['žanawar', 2]
['bičiblarka', 2]
['mastere', 2]
["luč'ala", 2]
['urkːa', 2]
['jaˤmarkitwaħ', 2]
['lirka', 2]
['argandaj', 2]
['ħa̰kimaj', 2]
['wozrastːla', 2]
["bek'licːirka", 2]
['berqibze', 2]
['ʡadabdixː', 2]
['bajtlicːe', 2]
["ruč'anar", 2]
["ucːiq'arqale", 2]
['buχilaze', 2]
['birgadali', 2]
['aχːaradeble', 2]
['dučːejʁanda', 2]
['qːušre', 2]
['sowχuz', 2]
['hitːaʁible', 2]
["uč'ananna", 2]
['aʁacːajla', 2]
['čazilla', 2]
['sursurre', 2]
['aˤruχilanu', 2]
["rarq'ibil", 2]
['sursurricːille', 2]
['bursubze', 2]
['aˤdikːanze', 2]
['ričːibli', 2]
['baχːaraj', 2]
['kːalušacːille', 2]
['harakdible', 2]
['jaˤgicːille', 2]
['hitːa̰ħbṵrqa̰ndi', 2]
['da̰qa̰lara', 2]
['duχubdeble', 2]
['duʡnadra', 2]
['kulpatlicːe', 2]
["aˤrebč'ib", 2]
['balričibda', 2]
['ibil', 2]
['wart', 2]
['aˤwartu', 2]
['iltːacːille', 2]
['bikbelxːunne', 2]
['nurra', 2]
["dic'ab", 2]
['kːarcːalalirka', 2]
["qːa̰k'ujla", 2]
["č'ič'akː", 2]
["č'ič'akːe", 2]
['kukija', 2]
['dircan', 2]
["uk'andi", 2]
["č'ahbartle", 2]
["rik'andi", 2]
['ba̰lirkačadaħle', 2]
['čardaʁible', 2]
['čarsatːagurda', 2]
['majdane', 2]
["wac'apːacːe", 2]
['dirixːʷ', 2]
["šːant'ulaˤnirka", 2]
['čarwač', 2]
["aˤdač'ibze", 2]
["q'ʷa̰qinala", 2]
['ba̰ħunze', 2]
['zanirkačadaħ', 2]
['aqi', 2]
["ukbic'ib", 2]
['sedirklakːu', 2]
['imitajqala', 2]
['šinbaj', 2]
['isimqala', 2]
['ʁantːuga', 2]
['xːarbiʁande', 2]
['ʡajšabajra', 2]
['bikːandil', 2]
['aˤbikːandil', 2]
['daudla', 2]
['ʡa̰nčːijalicːirka', 2]
['priroda', 2]
['prirodali', 2]
['časːibda', 2]
['čaaˤrʁʷar', 2]
['bijalil', 2]
['arčakbarčible', 2]
["t'ergʷali", 2]
['šːililira', 2]
['la̰ʁunze', 2]
["t'ergʷarka", 2]
["k'at'ara", 2]
['čerkeb', 2]
['ʁuslula', 2]
['dacːalara', 2]
['wa̰ħdḭχːi', 2]
['wa̰ħrḭχːi', 2]
['zakalennojze', 2]
['bursanara', 2]
['upːaˤbatur', 2]
['bučːahtːagurre', 2]
['čakrarcːurre', 2]
['sardartle', 2]
['aˤsardartade', 2]
['ducubsːaħ', 2]
['nixːalaknadra', 2]
['saraˤdaturre', 2]
["ča̰ra̰q'le", 2]
['muʁijatle', 2]
['kasinkːne', 2]
['dartandi', 2]
['modala', 2]
['ʡa̰šmagacːille', 2]
['pokolenie', 2]
['itarkara', 2]
['ijarkara', 2]
['qabaʁibze', 2]
["dalč'unze", 2]
["q'uq'ali", 2]
["q'uq'alirka", 2]
['četːiχurre', 2]
['dṵqṵne', 2]
['lawsanna', 2]
["barq'ibdeble", 2]
['ba̰ħunde', 2]
['čarkbalčunne', 2]
['birčːiblide', 2]
['nali', 2]
['šilabikːana', 2]
['ucːilicːe', 2]
['babuškːaqala', 2]
['hatːʷle', 2]
['aˤhatːʷle', 2]
["žḭq'", 2]
['bertaraj', 2]
['berturre', 2]
['alkːmira', 2]
['zirizmar', 2]
['luglakːu', 2]
['kalʲkulʲatarrirka', 2]
["nerχːinuq'un", 2]
['ʁṵbli', 2]
['pičlaˤne', 2]
['χamisli', 2]
['čakaršʷe', 2]
['χamis', 2]
["č'ʷalbu", 2]
['rikːanaqale', 2]
['upːatur', 2]
['sa̰qa̰χible', 2]
['sakarxʷandi', 2]
['sakaxuble', 2]
['šːilmaj', 2]
['podružkːne', 2]
['birabarχle', 2]
['wetwrač', 2]
['qːulra', 2]
["buχalt'er", 2]
['derkurane', 2]
['qa̰ba̰qa̰', 2]
["aˤbirbik'le", 2]
['warχːa', 2]
['ditalsːun', 2]
['čahdaʁib', 2]
['bṵrχa̰la', 2]
['hadaʁib', 2]
['halaʁila', 2]
['ħa̰ħa̰ra', 2]
['hitːahruč', 2]
['hadaχurze', 2]
['belgʷitːale', 2]
['ajat', 2]
['alʲkursi', 2]
["sarqbirq'le", 2]
["lakčakruk'le", 2]
['paχːle', 2]
['čersbičible', 2]
["c'aligʷajqale", 2]
["dirq'lačːuj", 2]
['xurala', 2]
['maka', 2]
["nik'abaj", 2]
['marijanra', 2]
['priklʲučenija', 2]
['a̰narra', 2]
['buχiruj', 2]
['kebišːiban', 2]
["t'ergʷara", 2]
['gazne', 2]
['šejχ', 2]
["čabarq'ibze", 2]
["q'ulħura", 2]
['iblizil', 2]
['gaznira', 2]
['ħapizla', 2]
['čaqraʁi', 2]
['ʡašurricːille', 2]
['bučːaqbaʁibsːaħ', 2]
['rukunne', 2]
["aˤdelk'unne", 2]
['šilabuχarra', 2]
["čarluk'ade", 2]
['kwartira', 2]
["k'ep'ek'li", 2]
['čarsatːagur', 2]
['tːuraʁibsːaħ', 2]
['bikbasːun', 2]
['biqːuj', 2]
["časbuk'le", 2]
['ba̰dṵqila', 2]
['qaraq', 2]
['urbuqun', 2]
['bṵq', 2]
['baqiban', 2]
['murtazaʡalile', 2]
['maik', 2]
["p'ap'rusːra", 2]
['uklakːu', 2]
['uraqːib', 2]
['raχčarglačːu', 2]
['čaχir', 2]
['r', 2]
["bat'arzira", 2]
['čaqːʷapːala', 2]
['čaqdaʁible', 2]
['bḭrχa̰nde', 2]
['dučːakaˤdičibi', 2]
['qːiraʁli', 2]
['dučːakaˤdičib', 2]
["čarwač'ible", 2]
['čakʷala', 2]
['dekabir', 2]
['darinira', 2]
['ištːalara', 2]
['berčːa', 2]
['nisːišːura', 2]
['huju', 2]
['učːuuχublide', 2]
['kejsːe', 2]
['čarerse', 2]
['ra̰rħa̰b', 2]
['aˤdartid', 2]
['derqab', 2]
["ruk'andi", 2]
['mitʲad', 2]
['qːurilicːille', 2]
['banahe', 2]
['qamira', 2]
["aˤbač'ibi", 2]
['unca', 2]
['kaaˤrge', 2]
['bijqade', 2]
['wadralirka', 2]
['sakwaturre', 2]
['harapːa̰qi', 2]
['harasdible', 2]
['bursːile', 2]
['aˤbitaqib', 2]
['hitːahdilχe', 2]
['dṵbʁa̰nize', 2]
['alkːmala', 2]
['ʡa̰bxːnili', 2]
['ganili', 2]
['tomar', 2]
['cabaħlara', 2]
["birk'ʷanze", 2]
['glinalicːirka', 2]
['haraqa̰χible', 2]
["c'alahra", 2]
['ikːuble', 2]
['naqːasarkubaħle', 2]
["č'inak'ira", 2]
['kolχuzala', 2]
['ʡa̰knajra', 2]
['jaˤmarkitːaħle', 2]
['šahbutːinqale', 2]
['strogojle', 2]
['sačibdi', 2]
['tuburkːuluzra', 2]
['zurme', 2]
['nigle', 2]
["q'ʷalla", 2]
['mallala', 2]
['aˤhaqːible', 2]
["q'už", 2]
['ircːle', 2]
['elgne', 2]
['kergle', 2]
['tːa̰ba̰nqala', 2]
['ʁazibeg', 2]
['zahirbeglišːu', 2]
['zejt', 2]
['daˤlicːirkačadaħle', 2]
['haratːitible', 2]
['aʁine', 2]
['qːatːapːira', 2]
['čahtːargan', 2]
['žehile', 2]
["ʡa̰t'inaqala", 2]
['saratːagurda', 2]
['sarsatːagurre', 2]
['qajaʁible', 2]
['ukra', 2]
['hadaχurda', 2]
['kebisːuranad', 2]
["č'ʷaq'", 2]
["duq'ra", 2]
["ic'ra", 2]
["ic'ible", 2]
["selʲsowet'dixːli", 2]
['dekabirri', 2]
["gramot'nojze", 2]
["uk'an", 2]
['daˤčːuj', 2]
['tːurawaturda', 2]
['bacːra', 2]
['tːuraqa̰rχa̰nze', 2]
["dirc'anze", 2]
['duħuqːnacːille', 2]
['častnɨjla', 2]
['kostːume', 2]
['čejχanze', 2]
['dišːurka', 2]
["t'ulbe", 2]
['balune', 2]
['wazalicːe', 2]
["t'aq'", 2]
['čahbašunne', 2]
["a̰lc'ikːlicːe", 2]
['qːanawe', 2]
['diqa̰χi', 2]
["bac'arili", 2]
['simiškːa', 2]
['beližli', 2]
['χomarkudaħle', 2]
['ancajra', 2]
['ʡarabače', 2]
['urχːbad', 2]
['pur', 2]
["c'apre", 2]
['čardatur', 2]
['wahra', 2]
['χaˤmarkačadaħle', 2]
['ʡa̰jabanna', 2]
['wahdiχurre', 2]
['aguranaj', 2]
['daxunsːaħ', 2]
['časnajla', 2]
['učiraj', 2]
['daracːli', 2]
['učːakejšːible', 2]
['kebirkle', 2]
['pičra', 2]
['ħa̰žibutːajle', 2]
['učːejʁid', 2]
['bursice', 2]
['ħa̰žiʡasan', 2]
["t'ap'", 2]
['ra̰ħčːʷi', 2]
['ħaħa', 2]
["aˤk'ʷari", 2]
['wali', 2]
['belgʷa', 2]
['čarbalčunne', 2]
['ħapːali', 2]
['ħabibatra', 2]
['ʡa̰ħmatχannišːu', 2]
['dḭχːa̰', 2]
["k'otːe", 2]
['aˤrerkunze', 2]
['ra̰ħ', 2]
['rašible', 2]
['raqiban', 2]
['raqibze', 2]
['dijqade', 2]
['ħa̰kim', 2]
['sapːirχːle', 2]
['bašible', 2]
['salimat', 2]
['sudla', 2]
['kabinet', 2]
['xːarbaʁibda', 2]
['waˤkːuj', 2]
['sudjale', 2]
['arcrira', 2]
['časjaʁi', 2]
['diqːandi', 2]
['produkte', 2]
['ħabibatle', 2]
["tːurarač'ib", 2]
['asːibi', 2]
['elg', 2]
["bic'ib", 2]
['qːužalicːille', 2]
['swidanieli', 2]
['tːurakdičib', 2]
['sːurgila', 2]
['dubč', 2]
["darq'ibdeble", 2]
['belqːunne', 2]
['aʁacːajqala', 2]
['isma̰ʡilli', 2]
['uχːulačːu', 2]
['raǯabqale', 2]
["k'aˤmarkačabaħle", 2]
['ejli', 2]
['dinnara', 2]
['učenɨjqale', 2]
['barχːalaˤne', 2]
["čatːarq'ibze", 2]
['birče', 2]
['baχtːakːuran', 2]
['duχːulidi', 2]
["pat'imatlišːu", 2]
['taniš', 2]
['saba̰qa̰r', 2]
['insannicːirka', 2]
['zdorowojze', 2]
["bek'ʷze", 2]
["q'adare", 2]
["četːik'ande", 2]
['harasbaʁible', 2]
['buršande', 2]
['buršle', 2]
["wač'iblakːu", 2]
['nurijat', 2]
['islamqale', 2]
["č'adaq'ible", 2]
['arsahaˤbarčible', 2]
['da̰ħkːubsːaħ', 2]
['trojurodnɨjqale', 2]
['cinirka', 2]
['utːana', 2]
['berχːurre', 2]
['paχar', 2]
['birkbičible', 2]
['urdati', 2]
['qulʁidixːli', 2]
['šːimalara', 2]
['wataba', 2]
['ičibda', 2]
['aˤhawaχaraj', 2]
['hawaχurda', 2]
["č'ebiq'ar", 2]
["k'eč'uqli", 2]
['kerilsːle', 2]
['qusra', 2]
['žalko', 2]
['mafizatla', 2]
['xujallicːirka', 2]
['dinajatla', 2]
['umužat', 2]
['laˤlira', 2]
['maʡulla', 2]
['učːahejčible', 2]
["aˤbarq'araj", 2]
['uncːalira', 2]
['disːbe', 2]
['amχnira', 2]
["kedibziq'ajdab", 2]
['urbičib', 2]
['kursumra', 2]
['elχːʷnila', 2]
['zalχatla', 2]
['čarda̰rqːible', 2]
['ikːagur', 2]
["dalq'igle", 2]
['tːuraagur', 2]
['čejrira', 2]
["nik'alira", 2]
['qixːʷbe', 2]
['qixːʷbira', 2]
["rač'ibi", 2]
['marzijatra', 2]
["rikːanziq'ajdab", 2]
['ukabaj', 2]
['laˤlicːe', 2]
['ra̰ħa̰raj', 2]
['šahrabaj', 2]
['interesnɨj', 2]
["paq'iraqale", 2]
['batrakira', 2]
['batrakaj', 2]
['uˤlbartana', 2]
['zazajlicːe', 2]
['uˤlaˤbartu', 2]
['ʡumrira', 2]
['sawarižatla', 2]
['ʡadable', 2]
['ħa̰napilara', 2]
['wasːijatli', 2]
['otnošenije', 2]
['aˤbaqib', 2]
['ucːilišːu', 2]
['aˤbze', 2]
['aˤχʷaraj', 2]
["ruk'andeble", 2]
["šiq'anni", 2]
['χaˤχicːirka', 2]
['χajasːajra', 2]
['ša̰ba̰nnišːu', 2]
['modali', 2]
['dukne', 2]
['dircanze', 2]
['tːurakatːagur', 2]
['maχburra', 2]
['čakdaturze', 2]
['awtobusla', 2]
['luganara', 2]
["durč'itːi", 2]
['košelekra', 2]
['qːurušme', 2]
['obšežitije', 2]
['buχiciħal', 2]
['obešːat', 2]
['hawara', 2]
['diʡunsːaħ', 2]
["p'alt'ula", 2]
["c'aχːlira", 2]
['aˤdaʁib', 2]
["rirrač'ible", 2]
["sadik'li", 2]
['balʁunnide', 2]
['awtobuslaˤne', 2]
['ba̰rqːiblide', 2]
['aˤbursubda', 2]
['bibagur', 2]
['χitrojze', 2]
['istorijaqale', 2]
['muʁijat', 2]
['aˤχʷi', 2]
['kaaˤble', 2]
['ma̰mpa̰tze', 2]
['učːahtːarganze', 2]
['stipendijara', 2]
['meločra', 2]
['košelekli', 2]
['čučulzil', 2]
['farida', 2]
['disdasːunda', 2]
['časaxuble', 2]
['taˤtːiknira', 2]
['jallah', 2]
['saaˤbuqne', 2]
['aˤduχne', 2]
["aˤbirq'uj", 2]
['opasnojle', 2]
['piwzawodli', 2]
['praznik', 2]
['šːurka', 2]
['sartalide', 2]
['bikːananni', 2]
["praktik'ali", 2]
['uˤlbartanda', 2]
['biletli', 2]
['žigetla', 2]
['aˤisːible', 2]
['ixublide', 2]
['ixublida', 2]
['kebičibzil', 2]
['trollejbusli', 2]
['rektoratli', 2]
["čapːač'ible", 2]
['sabsinra', 2]
['maršrutkːali', 2]
["ʁuč'ze", 2]
['insanacːira', 2]
['paket', 2]
['qaqːiblide', 2]
['daruj', 2]
['bilitli', 2]
["c'aχːra", 2]
['bilʡʷa̰nze', 2]
['kedirxːane', 2]
['miša', 2]
['sumkːalaˤne', 2]
['dagestːanna', 2]
["kalarkak'al", 2]
['israpilli', 2]
['kabatur', 2]
["maħmadq'ade", 2]
['uuu', 2]
['čepːiχurre', 2]
['bintra', 2]
['ša̰ħpira', 2]
['čazildixːli', 2]
['bašunne', 2]
['ba̰ħkːuble', 2]
['harumli', 2]
['tːurahtːej', 2]
['banahkar', 2]
["k'aˤtːira", 2]
['ča̰χib', 2]
['žemilatlišːu', 2]
["durk'anda", 2]
['žemilatli', 2]
['harasa̰χible', 2]
['χajχajle', 2]
["rarq'aqible", 2]
['šalbuzqala', 2]
['taˤticːirka', 2]
['sub', 2]
['aˤra̰ħunne', 2]
['duqːe', 2]
["bit'ik'le", 2]
["č'imira", 2]
['insulʲt', 2]
['badrižatle', 2]
['rḭχːa̰nde', 2]
['duʡnad', 2]
['ritalsːe', 2]
['bursilaze', 2]
['bičːiblizil', 2]
['begurze', 2]
['batira', 2]
["pat'imatli", 2]
['ħamzatra', 2]
['šːilla', 2]
['ħamzatle', 2]
["q'ajrad", 2]
["č'uħa̰ra", 2]
['uˤlbarka', 2]
['aˤbikːanze', 2]
['tuple', 2]
['ba̰q', 2]
['tupla', 2]
['ja̰q', 2]
['dišːi', 2]
['raχšant', 2]
["belč'unne", 2]
['baršːible', 2]
['buxanira', 2]
['ʡasanqalira', 2]
['durħnajla', 2]
['jebč', 2]
['maħmadlirka', 2]
['ʡadulišːu', 2]
["č'iʁ", 2]
['tːurasatːagurre', 2]
['bišible', 2]
['bišibdi', 2]
["č'ʷallišːura", 2]
["q'urbannirka", 2]
["raˤkːuq'ar", 2]
['bučːabiqːe', 2]
['χːʷalanišra', 2]
["duq'uzaj", 2]
['urratur', 2]
['ručːaʁibzirde', 2]
['ruzil', 2]
['ruχubil', 2]
['wahakːudixː', 2]
['pirdasla', 2]
['aˤrelqːun', 2]
['čakbak', 2]
['ħapːara', 2]
["rebč'iblide", 2]
['biraˤgur', 2]
['babuškːalira', 2]
['karimqalira', 2]
['ħa̰nbala', 2]
['čerbertːible', 2]
['ʡajšazaj', 2]
['disatːaʁibzidde', 2]
["k'uc'ulra", 2]
['buχːukanra', 2]
['agutːale', 2]
['ra̰ħudaj', 2]
['luqanaj', 2]
['harardirkle', 2]
["k'aˤmala", 2]
['jusup', 2]
['bikaxuban', 2]
["k'ark'ra", 2]
['dibirʡaliqalad', 2]
['udejqle', 2]
["kalak'alra", 2]
['qaʁarri', 2]
['ukarxʷana', 2]
['buχːuli', 2]
['ʡa̰χːkan', 2]
['čujra', 2]
['udaqible', 2]
['taˤtːajšːurka', 2]
["učit'il", 2]
['ħulajmat', 2]
["c'atːarzira", 2]
['ratur', 2]
["čakbač'unze", 2]
["a̰mq'", 2]
['saršʷe', 2]
['dikːagurre', 2]
["bebk'ahra", 2]
['aˤra̰ħunda', 2]
["k'ark'atne", 2]
["k'ak'macːirka", 2]
['purʁum', 2]
['kːatne', 2]
['jaħjališːu', 2]
['mitʲale', 2]
['baχːi', 2]
['šupiraj', 2]
['rabdanqalaj', 2]
['taˤtira', 2]
['newernɨjqalad', 2]
['newernɨjqale', 2]
['čaqʷlirka', 2]
['bisatːej', 2]
['elχːunziw', 2]
['nixːišːur', 2]
['da̰wʡne', 2]
['šiχre', 2]
['zarʁaj', 2]
["dirk'ʷle", 2]
['da̰ħunnakːu', 2]
['daʁustːan', 2]
['čujšːur', 2]
["bebk'ne", 2]
['kazakla', 2]
['jasir', 2]
['harrišːu', 2]
['biʡuran', 2]
['birʁaričːʷi', 2]
['ʡurusira', 2]
['ba̰taj', 2]
['rewolʲucːijala', 2]
['dilejkːandil', 2]
['mozdokli', 2]
['duqːar', 2]
['relqːice', 2]
['riqːu', 2]
["jebč'ibdeble", 2]
['cerecuna', 2]
["c'aq'lide", 2]
['bircana', 2]
['aˤbircle', 2]
["hadiq'unda", 2]
['datːbe', 2]
['sauqunne', 2]
['urqa̰χible', 2]
["aˤdarq'ib", 2]
['kamlide', 2]
["q'armad", 2]
['qːasnalle', 2]
["bic'iblide", 2]
['ʡa̰bxːla', 2]
["marak'nala", 2]
['krugla', 2]
['baratːa', 2]
["č'uč'ula", 2]
["č'uč'ulaˤne", 2]
['ʡajlalaj', 2]
['dičːidale', 2]
['dičːiblakːu', 2]
['zulalaˤne', 2]
['χa̰le', 2]
['duχubsːaħjal', 2]
['kerirkande', 2]
['bacunze', 2]
['aˤrati', 2]
['qːarqːalicːille', 2]
['čiraʁra', 2]
['bejxubze', 2]
['ʡa̰bbaħ', 2]
['rusːiqala', 2]
['birce', 2]
['bogatstwo', 2]
['rewolʲucijala', 2]
['žerbilqale', 2]
['bučːaʁi', 2]
['šaχalajqalajšːu', 2]
['tijanra', 2]
["wak'araj", 2]
['tːuʁrarze', 2]
['sasatːagurre', 2]
['nukaracːille', 2]
['χanna', 2]
['sahratla', 2]
['kačibsːaħ', 2]
['ħa̰šre', 2]
['oχranacːe', 2]
['ħa̰šalaˤne', 2]
["luk'iʁar", 2]
['ritjal', 2]
["darq'iblira", 2]
['uˤlčahbirgle', 2]
["barq'iblakːuj", 2]
['raˤkːusːaħ', 2]
['tːurakra', 2]
['bikːlakːurre', 2]
['nusːapːe', 2]
['ucːikanne', 2]
["rarq'iblide", 2]
['saqːe', 2]
['pačːahla', 2]
['ʡab', 2]
['ʡuručuj', 2]
["uč'le", 2]
['sedlora', 2]
['aˤgutːale', 2]
['šːalta', 2]
['rṵžma̰li', 2]
['musira', 2]
['harakbalčunne', 2]
['čabulqane', 2]
['busːaħla', 2]
['dahracːirka', 2]
['lugananna', 2]
['itirkara', 2]
['alawra', 2]
['budajla', 2]
['zijaratli', 2]
['saburxːar', 2]
['šahide', 2]
["k'at'alicːirka", 2]
['mecːla', 2]
['adam', 2]
['šiχʡa̰ħmad', 2]
['ʡa̰štːaj', 2]
['ʡa̰štːalara', 2]
['qa̰bṵrqle', 2]
['zirizra', 2]
['dučːatːaturre', 2]
['harabixuble', 2]
["bat'ataj", 2]
['satːarχːiblida', 2]
['duku', 2]
['daxan', 2]
['kačira', 2]
['bicab', 2]
['dircande', 2]
['sabuqunsːaħ', 2]
['čaraˤdaturre', 2]
['čardati', 2]
["k'ant'ile", 2]
['burušːlicːirka', 2]
['kerisːunsːaħjal', 2]
['diʁuble', 2]
['ʡa̰čːala', 2]
['dučːakdaturre', 2]
['raxlačːu', 2]
['ʡa̰šmag', 2]
['aˤhbalčunne', 2]
['waʡanna', 2]
['itišːurka', 2]
['baʁe', 2]
['aˤda̰ħunne', 2]
['kalχuzla', 2]
['bičːibil', 2]
["tːuraaˤrač'ible", 2]
['jergʷala', 2]
['da̰ħunsːaħ', 2]
['čiraʁme', 2]
["č'abaq", 2]
['sawwarχːibsːaħ', 2]
['ručːaričible', 2]
['elχun', 2]
["nik'araħle", 2]
['žanazala', 2]
['ručːek', 2]
['urraturze', 2]
['timarkudaħ', 2]
['markːahrarkubaħ', 2]
['laˤmarkubaħ', 2]
['urxːu', 2]
