['ищал', 330]
['ясик1уди', 2]
['гьаъ-', 2]
['бертин', 2]
['гьордал', 2]
['г1орусади', 2]
['инцолула', 2]
['иманг1алищув', 2]
['камилив', 2]
['партизанди', 2]
['бащдохин', 2]
['ч1ч1оливах', 2]
['вусохе', 2]
['г1ахьвагьар', 2]
['вулъох', 2]
['учительдилуд', 2]
['къокъалъид', 2]
['хьоби', 2]
['гьинк1о', 2]
['рук1уре', 2]
['рук1учи', 2]
['суалди', 2]
['муудуб', 2]
['халкъ', 2]
['бакьил1иба', 2]
['гьащдабалъи', 2]
['гилалукъол1и', 2]
['милъи', 2]
['гьижилала', 2]
['г1адуб', 2]
['бук1учи', 2]
['хь-', 2]
['г1алич1уб', 2]
['къоллъу', 2]
['х1амар', 2]
['чугьа', 2]
['зикру', 2]
['илагьа', 2]
['лагь', 2]
['нуу', 2]
['вудирела', 2]
['кодил', 2]
['бак1арилох', 2]
['ххинил', 2]
['пурц1ц1илъид', 2]
['постдала', 2]
['г1орхъилар', 2]
['вулугул', 2]
['командировкалъила', 2]
['г1ахьвадалар', 2]
['гьинк1ях1аб', 2]
['вулилъилар', 2]
['кьурихъ', 2]
['кьохин', 2]
['ххарда', 2]
['вакьил1ир', 2]
['ваг1авах', 2]
['лъебохин', 2]
['камилид', 2]
['мисабах', 2]
['беларик1ина', 2]
['г1ерил', 2]
['г1ахьвал', 2]
['гьандик1уни', 2]
['гьалицебе', 2]
['муабахе', 2]
['парси', 2]
['даг1ба-раг1и', 2]
['бесабадалар', 2]
['вудидубла', 2]
['бук1абахх', 2]
['х1окму', 2]
['бел1ибахх', 2]
['бечитеду', 2]
['г1аданщуб', 2]
['бухьудегу', 2]
['ищире', 2]
['бехьвал1егу', 2]
['этасиби', 2]
['ханщуд', 2]
['минарл1и', 2]
['мак1илуд', 2]
['восседу', 2]
['биг1алибахе', 2]
['гигьири', 2]
['гьарук1к1а', 2]
['хьобилдил', 2]
['ургъилибах', 2]
['революциялъиба', 2]
['мигъабе', 2]
['вудибела', 2]
['бухьагьибах', 2]
['санаг1ат', 2]
['положение', 2]
['действительно', 2]
['вущдуб', 2]
['бел1ибахегу', 2]
['гьанилъил', 2]
['вудидудла', 2]
['атаевщуб', 2]
['давайте', 2]
['кумак', 2]
['армия', 2]
['хъалалъила', 2]
['масабах', 2]
['абдакьи', 2]
['г1анзи', 2]
['рук1убах', 2]
['кумек', 2]
['бат1алла', 2]
['вудищулъа', 2]
['власти', 2]
['хъочила', 2]
['бечитабах', 2]
['бухьагьи', 2]
['гигьидув', 2]
['щет1ан', 2]
['мисугьар', 2]
['л1аргьар', 2]
['ваг1еду', 2]
['вудихла', 2]
['вагъохе', 2]
['биг1абахегу', 2]
['г1алимадил', 2]
['поэтиби', 2]
['гъарин', 2]
['бильабах', 2]
['гибахе', 2]
['колабал1и', 2]
['-кьи', 2]
['релъидуре', 2]
['жолакьи', 2]
['гъулгъуди', 2]
['ах1удуре', 2]
['ц1акъги', 2]
['ехьвал1укъол1и', 2]
['йинъал1а', 2]
['бук1ачи', 2]
['г1аданщулар', 2]
['бечича', 2]
['щет1андал', 2]
['ишал', 2]
['вухьудак1агьир', 2]
['мак1алди', 2]
['лъараг1лъинигиба', 2]
['ехьва', 2]
['къораг1ав', 2]
['йигъак1алъин', 2]
['див', 2]
['гьинк1ябе', 2]
['ищира', 2]
['ел1и', 2]
['бехьвал1уб', 2]
['баг1а', 2]
['вудищула', 2]
['гьалугуба', 2]
['масе', 2]
['беххубах', 2]
['инщубеги', 2]
['вохьал1укъола', 2]
['вук1ари', 2]
['гимры', 2]
['срочно', 2]
['уничтожить', 2]
['к1к1унда', 2]
['вущува', 2]
['т1андак1а', 2]
['г1орусадилуба', 2]
['к1к1уми', 2]
['ч1ч1олохх', 2]
['балъгу', 2]
['гьадибги', 2]
['баху-бика', 2]
['биг1идак1агьир', 2]
['хотя', 2]
['вудилъи', 2]
['-ле', 2]
['г1орусадилугьар', 2]
['г1азар', 2]
['имамщубла', 2]
['бел1ибаххин', 2]
['ил1игьар', 2]
['мак1вала', 2]
['полностью', 2]
['эгубда', 2]
['хужабил', 2]
['кьварилув', 2]
['кьивах', 2]
['х1ажимурадщудла', 2]
['х1ажимурадщула', 2]
['из', 2]
['бихьидеч1и', 2]
['гигьохх', 2]
['ах1улгох1лъила', 2]
['вухьагьидак1а', 2]
['бищдиги', 2]
['к1анц1улич1и', 2]
['даъ', 2]
['с', 2]
['гьинк1', 2]
['х1ежлъилар', 2]
['чолк1анц1', 2]
['жолила', 2]
['гьинк1ёх1аб', 2]
['г1аданщула', 2]
['жаваб', 2]
['муудак1уни', 2]
['этабахе', 2]
['хъут1а', 2]
['кьот1ил', 2]
['энда', 2]
['эчи', 2]
['имал', 2]
['вугибе', 2]
['х1ажат', 2]
['военный', 2]
['куцида', 2]
['милчела', 2]
['служить', 2]
['курсклъила', 2]
['т1амеду', 2]
['очный', 2]
['ставкалъилар', 2]
['гьиндих', 2]
['школа', 2]
['л1аргьак1уб', 2]
['километралъид', 2]
['мац1и', 2]
['гиде', 2]
['экзаменди', 2]
['бухъибахх', 2]
['мухъи', 2]
['биг1алибах', 2]
['дихъил', 2]
['ц1акъуб', 2]
['ц1еле', 2]
['муак1алъина', 2]
['масидегу', 2]
['къабих1уб', 2]
['гьац1адуб', 2]
['секрет', 2]
['гьанк1убал', 2]
['бехьубахх', 2]
['г1орусай', 2]
['ц1ц1еду', 2]
['хъочиби', 2]
['память', 2]
['гьабсаг1алал', 2]
['вообще', 2]
['гьижила', 2]
['рельал', 2]
['или', 2]
['гидубе', 2]
['баркалал', 2]
['къораг1идуб', 2]
['т1адмагъил1и', 2]
['школлъила', 2]
['индубеги', 2]
['бехьобе', 2]
['первой', 2]
['подобные', 2]
['вохьохх', 2]
['кансиларлъини', 2]
['бок1унди', 2]
['к1усулохх', 2]
['джамаг1атлъил1е', 2]
['ихьвахъир', 2]
['ихьвахъири', 2]
['бац1иби', 2]
['хабар', 2]
['абдакьир', 2]
['баг1ибахх', 2]
['ваг1акъола', 2]
['по', 2]
['рекунлъилар', 2]
['-чуб', 2]
['первичной', 2]
['би', 2]
['уборщица', 2]
['есса', 2]
['вудилъила', 2]
['бессабах', 2]
['ах1уде', 2]
['рейкумлъилар', 2]
['гьащулар', 2]
['мак1илъил', 2]
['дом', 2]
['культуралъил', 2]
['хьолъич1убла', 2]
['ходатайстволъила', 2]
['пулагьанис', 2]
['выделить', 2]
['ригьирахх', 2]
['бекъищибах', 2]
['бессидабагъибахин', 2]
['бесач1и', 2]
['багъибахин', 2]
['акъвакьи', 2]
['кьел1и', 2]
['гъунил1и', 2]
['баг1алуб', 2]
['х1амарла', 2]
['вацил', 2]
['хьоралири', 2]
['партизандилул1и', 2]
['кьонда', 2]
['къелъиненди', 2]
['рук1урахе', 2]
['гамущиби', 2]
['вунъабкъола', 2]
['ч1оле', 2]
['балъибах', 2]
['этабах', 2]
['гьари-дуг1ал', 2]
['г1асал', 2]
['гьач1ув', 2]
['дире', 2]
['э-кьи', 2]
['рикьи', 2]
['воллагь', 2]
['вунщдох', 2]
['г1аба-байк1уни', 2]
['сули', 2]
['гьач1илъирик1уни', 2]
['вол1аливахин', 2]
['вол1охе', 2]
['салам', 2]
['баг1ибахегьир', 2]
['бухирил', 2]
['вас', 2]
['гъане', 2]
['режи', 2]
['мигъил', 2]
['этач1уб', 2]
['белалуб', 2]
['ихьващулъа', 2]
['зинелъа', 2]
['хъандиру', 2]
['къот1игиба', 2]
['хирас', 2]
['бечитиду', 2]
['минчибах', 2]
['букъалич1и', 2]
['х1укуматлъид', 1]
['краснодарлъилагиба', 1]
['ставропольлъилагиба', 1]
['камазибад', 1]
['хъолурла', 1]
['гьурдабахъ', 1]
['рекьел', 1]
['рекьи', 1]
['усалад', 1]
['перицудк1ин', 1]
['бекьидуб', 1]
['бекьел', 1]
['гору', 1]
['гъоли', 1]
['рельук1ин', 1]
['горул', 1]
['гъолибахин', 1]
['щалалел', 1]
['щалали', 1]
['рак1ариду', 1]
['х1амарибалал', 1]
['рилъи', 1]
['раччиду', 1]
['гьинц1ц1ибахъ', 1]
['гьинц1ц1абадахъла', 1]
['раччили', 1]
['гъунела', 1]
['колаби', 1]
['рачвалел', 1]
['рачолирах', 1]
['гьинц1а-', 1]
['гьинц1ц1абахъла', 1]
['унсалибил', 1]
['рукьи', 1]
['рукьил', 1]
['белиндахирил', 1]
['илъабла', 1]
['илъаб', 1]
['белиндил', 1]
['рац1алду', 1]
['белиндакьи', 1]
['г1анчибад', 1]
['инщиссе', 1]
['т1амилда', 1]
['къелалдуб', 1]
['хьури', 1]
['бехбьвач1уб', 1]
['къванк1иле', 1]
['лъигьидуб', 1]
['гьинц1у', 1]
['лъигьел', 1]
['лъигьа', 1]
['к1к1иранла', 1]
['къонк1илалел', 1]
['къонк1илалибахин', 1]
['воъ-', 1]
['ц1ц1ердадахъ', 1]
['рах1алъила', 1]
['бокъиналел', 1]
['бокъинали', 1]
['зобид', 1]
['абатали', 1]
['белъа', 1]
['хъорт1уд', 1]
['л1али', 1]
['рук1ур', 1]
['беххилаб', 1]
['гьинц1и', 1]
['э-', 1]
['мучу', 1]
['бехьудубугуба', 1]
['корахла', 1]
['корахук1ин', 1]
['корахлъид', 1]
['гьурабдуб', 1]
['гьураби', 1]
['ат1ан', 1]
['х1ешкъир', 1]
['перч1инла', 1]
['бегъо', 1]
['къе-', 1]
['гьек1ухьибахъ', 1]
['гьек1ухьибахъиба', 1]
['-хибагьольар', 1]
['бигьидуб', 1]
['хъоледу', 1]
['гьольа', 1]
['щехул', 1]
['ислам', 1]
['мух1_', 1]
['камилкьох', 1]
['мищдирагьагиба', 1]
['мунъул1уб', 1]
['иххила', 1]
['лъинл1и', 1]
['хьогьуб', 1]
['давудиб', 1]
['щанхвалиб', 1]
['гьингурл1и', 1]
['нурмух1амащуб', 1]
['боу-ищду', 1]
['уъгьобу', 1]
['гьобулдала', 1]
['хъордуб', 1]
['гьабигьанщулъа', 1]
['эуммагъалул', 1]
['бухъел', 1]
['магъалу', 1]
['къадарлъилагиба', 1]
['якъия', 1]
['сах1', 1]
['гьанур', 1]
['рахху', 1]
['рехьинч1ини', 1]
['-лъаби', 1]
['хъизанлъила', 1]
['мунъэл', 1]
['бухьук1алъин', 1]
['г1анчибал', 1]
['гьинк1ях1ареги', 1]
['г1анчибил', 1]
['бехьвал1и', 1]
['гьобулъини', 1]
['специальный', 1]
['гьудал1е', 1]
['лъерабил', 1]
['рик1валуб', 1]
['ражиххуни', 1]
['лераби', 1]
['лъерабал1и', 1]
['керч1ч1ибахин', 1]
['ссолалуб', 1]
['кумаклъилалъи', 1]
['кельак1убла', 1]
['аъъъ', 1]
['гьобулди', 1]
['къосарик1инаг', 1]
['мигъидуб', 1]
['т1амирик1инала', 1]
['балъидуб', 1]
['техника', 1]
['гигьабалдуб', 1]
['бухиде', 1]
['бук1аде', 1]
['къвакьи', 1]
['ч1акьи', 1]
['муадегу', 1]
['минсари', 1]
['зирар-дибирщуб', 1]
['мансел1убигьир', 1]
['г1арабист', 1]
['гьац1алк1ек1и', 1]
['ц1ц1ели', 1]
['зирар-х1ажи', 1]
['х1ежлъиларла', 1]
['вунав', 1]
['г1алингьек1ва', 1]
['вук1ак1акьи', 1]
['ц1елалич1и', 1]
['инщулъаги', 1]
['г1адамадилул1и', 1]
['хьора-ч1оралири', 1]
['биг1едул', 1]
['ц1елел', 1]
['вочитохин', 1]
['ц1ц1едукъола', 1]
['гьалмагълъох', 1]
['х1амзатовщув', 1]
['х1амзат', 1]
['х1амзатла', 1]
['гьудулади-гьалмагъади', 1]
['ц1ц1едукъол1и', 1]
['инщалх1амзатидла', 1]
['вудищудла', 1]
['индудги', 1]
['рогьунлъе', 1]
['гьудул-гьалмагъади', 1]
['лъаг1илухъ', 1]
['мутаг1илумлъи', 1]
['амъ', 1]
['кьинихъаре', 1]
['тарихиби', 1]
['гьордид', 1]
['насиду', 1]
['расулив', 1]
['х1амзатид', 1]
['рев-', 1]
['инкъилабла', 1]
['михья', 1]
['революциял', 1]
['колхузиби', 1]
['экьохин', 1]
['эгукьибах', 1]
['эгубхъоли', 1]
['эбхъоли', 1]
['т1амалдуб', 1]
['гьурабда', 1]
['никкулар', 1]
['бесач1ибахин', 1]
['колхузлъила', 1]
['ц1адаса', 1]
['х1амзатщуд', 1]
['мнэ', 1]
['апагирищуд', 1]
['оъминик1уни', 1]
['гьабал', 1]
['линилъилархин', 1]
['бел1едени', 1]
['паластинка', 1]
['хисидегуни', 1]
['лъинк1ин', 1]
['мунъэнигил', 1]
['бухьудеч1иникьибах', 1]
['вол1екьа', 1]
['гьурдабил', 1]
['ригьеду', 1]
['гидеч1иникьи', 1]
['масхъара-хоч1ил', 1]
['ззс', 1]
['гигьохе', 1]
['кулакла', 1]
['гьиндит1амедукьивах', 1]
['тутума', 1]
['имуй', 1]
['йиэхе', 1]
['калининид', 1]
['-гьар', 1]
['гьегуарахъиба', 1]
['маг1и-', 1]
['гъизи-къара', 1]
['г1арци-маххи', 1]
['бук1ач1убкъола', 1]
['буртинди', 1]
['рихьи', 1]
['даран-базарла', 1]
['г1арци-маххил', 1]
['таг1алех', 1]
['переводчикла', 1]
['волох', 1]
['маскулъиларла', 1]
['лъаби-боу', 1]
['боу-инщду', 1]
['яхъинехги', 1]
['зирар-дибирщугьар', 1]
['таг1ач1ехин', 1]
['хьо-', 1]
['белабахегу', 1]
['яхъинехегьир', 1]
['ехьуби-', 1]
['ах1лехегу', 1]
['йехьвехе', 1]
['мансабах', 1]
['гьанщда', 1]
['уэъехьвайчуб', 1]
['ехьвай', 1]
['кьуб', 1]
['-гьащда', 1]
['кулакиби', 1]
['къамг1и-', 1]
['маг1ишатла', 1]
['ихьвахъибахин', 1]
['гигьикьи', 1]
['кекьех', 1]
['агъ', 1]
['галукъола', 1]
['белас', 1]
['вудищукьира', 1]
['корбац1ц1ул', 1]
['вудибдалъикьирах', 1]
['к1азил1ибал', 1]
['рухьагьабах', 1]
['буххалдукъола', 1]
['эссибаг', 1]
['ехьварик1ина', 1]
['бигьеду', 1]
['к1азилъибах', 1]
['гибахегу', 1]
['беле', 1]
['этабахги', 1]
['сунак1уни', 1]
['инщ-', 1]
['реъ-', 1]
['хъубуб', 1]
['эгукьибахчик1уни', 1]
['вулъил1е', 1]
['хьоре', 1]
['гибахегуни', 1]
['-белалак1уни', 1]
['кьонёхегу', 1]
['кьот1-кьот1илуре', 1]
['релирик1ина', 1]
['гьащдубе', 1]
['кулакади', 1]
['хъолёх', 1]
['бихьибахегу', 1]
['хвасарлъох', 1]
['кулаклъирилагива', 1]
['раскулачить', 1]
['гигьич1ивах', 1]
['воссохе', 1]
['т1укидал-л1е', 1]
['милчелире', 1]
['рук1урах', 1]
['гьудуллъири', 1]
['гьалмагълъири', 1]
['вацилъирил', 1]
['мисаллъила', 1]
['белъедегу', 1]
['ишлъил', 1]
['хъирила', 1]
['ч1ордубда', 1]
['гьудуладилуб', 1]
['гьалмагъадилуб', 1]
['бел1убк1ола', 1]
['даг1бал', 1]
['закарью', 1]
['ударили', 1]
['мух1амащув', 1]
['г1аданщуч1чик1ола', 1]
['ч1ч1олубк1ола', 1]
['бел1убкъола', 1]
['мингьел', 1]
['т1алел', 1]
['т1алимунъабах', 1]
['дарманла', 1]
['бич1ох', 1]
['вунъохегу', 1]
['-кунт1ав', 1]
['вусен', 1]
['вохьуби-', 1]
['сару-сару', 1]
['гьанилар', 1]
['к1к1иредла', 1]
['гьанила', 1]
['ч1еркьиби', 1]
['минсабахе', 1]
['рохьукьир', 1]
['генирах', 1]
['нинсаре', 1]
['гиндубк1удуб', 1]
['ч1еркьалъила', 1]
['к1усулох', 1]
['къуцулох', 1]
['бещаб', 1]
['кулув', 1]
['къуватисчи', 1]
['гьавалчи', 1]
['къуватис', 1]
['инщулъа', 1]
['бухьудубугу', 1]
['генибахе', 1]
['тамахьул', 1]
['кьуралел', 1]
['кьуралибахин', 1]
['к1ват1али', 1]
['вулъирик1ина', 1]
['ч1еркьила', 1]
['гьадищудла', 1]
['билъибахегу', 1]
['ц1елмагъалагьалубал', 1]
['гьалубал', 1]
['гъунигаралъилар', 1]
['къусулёхе', 1]
['къусулёх', 1]
['генибахегу', 1]
['ц1ц1уйкилди', 1]
['баг1ибахегу', 1]
['кьерила', 1]
['кье', 1]
['коралъилар', 1]
['вудид-', 1]
['х', 1]
['кьедикьирх', 1]
['вунъэду', 1]
['гигьибахегу', 1]
['башилащуб', 1]
['шехибщубалуб', 1]
['гьолъигьа', 1]
['гьади-щуб', 1]
['амъил', 1]
['уп-кьи', 1]
['каламла', 1]
['кьабг1идарессибах', 1]
['папуруздил', 1]
['генирахе', 1]
['ц1еххидубкъола', 1]
['кьонубкъола', 1]
['н', 1]
['чаранав', 1]
['вущук1ин', 1]
['мац1ц1ибахе', 1]
['ч1ч1ордубкъола', 1]
['даг1ба-къецин', 1]
['бук1акьибах', 1]
['масел', 1]
['бук1уни', 1]
['султ1анибалуб', 1]
['гьи-гьабсаг1алал', 1]
['мисалъинди', 1]
['к1ек1игищуч1', 1]
['бокьалибахе', 1]
['россула', 1]
['-эк1ус', 1]
['анлъик1алъин', 1]
['бишди', 1]
['гьач1иникьи', 1]
['ц1алибах', 1]
['гьанилъилалъи', 1]
['г1уц1илуб', 1]
['гьанл1игива', 1]
['т1андув', 1]
['вой', 1]
['миниги', 1]
['экъол1и', 1]
['къиссабади', 1]
['насава', 1]
['диниги', 1]
['эгубкъол1и', 1]
['чамилда', 1]
['рак1од', 1]
['таманчунигиба', 1]
['гьанк1уба', 1]
['рахъилигибачи', 1]
['вук1удак1али', 1]
['эгукъол1и', 1]
['гьинигиба', 1]
['бехьвел', 1]
['керч1ч1и', 1]
['дуч1и', 1]
['се', 1]
['элик1акьи', 1]
['мигъач1ибах', 1]
['вудубах', 1]
['гьакубах', 1]
['дильа', 1]
['г1едиг1алдак1а', 1]
['вуцев', 1]
['охотникла', 1]
['пулемётла', 1]
['рухе', 1]
['этидабагъибах', 1]
['вук1енда', 1]
['гьанилъилгьир', 1]
['мисаллъибах', 1]
['белъе', 1]
['белъидак1уми', 1]
['вуавох', 1]
['чанахъан', 1]
['вуъалас', 1]
['биг1идув', 1]
['бухе', 1]
['багъи', 1]
['рич1аледу', 1]
['арахъивакьохин', 1]
['гьалибах', 1]
['бечита', 1]
['вохьавкъол1и', 1]
['мигъаре', 1]
['куцилув', 1]
['милъич1гьек1вал', 1]
['вудищдубеги', 1]
['куцидак1убе', 1]
['мук1убе', 1]
['кярт1илуч1', 1]
['сунк1ула', 1]
['вубсаг1алъид', 1]
['рехьулъа', 1]
['макосала', 1]
['рехьубечи', 1]
['вугура', 1]
['макосарах', 1]
['рехьул1ак1укъол1и', 1]
['рук1арил', 1]
['сунк1ухъиба', 1]
['бехьва-бехьвабдан', 1]
['вуулугу', 1]
['г1авухъал1иба', 1]
['бел1убги', 1]
['ельарлъибахин', 1]
['сарулъибахин', 1]
['к1к1умирах', 1]
['рильи', 1]
['гьадищуд', 1]
['чанахъанщуд', 1]
['гьеч1агьерила', 1]
['кярт1илигиба', 1]
['гьеч1арилалъилда', 1]
['бехьвач1и', 1]
['главный', 1]
['вудидал', 1]
['муабк1ола', 1]
['рухьякьил', 1]
['бильида', 1]
['гьадищуба', 1]
['к1усулукъол1и', 1]
['хъели-хъели', 1]
['жиб', 1]
['г1аъ', 1]
['минаргьек1ва', 1]
['вуг1авах', 1]
['гьадищула', 1]
['гьадищуч1', 1]
['нукулала', 1]
['минарла', 1]
['гьадибмак1ал1и', 1]
['бильа', 1]
['рел1и', 1]
['хъинирах', 1]
['армилъиларла', 1]
['вог1охин', 1]
['эссива', 1]
['махачкалалъилагива', 1]
['пунктлъилагива', 1]
['лейтенант', 1]
['лейтенантк1ола', 1]
['пунктлъилагиба', 1]
['бехьул1убеги', 1]
['вудид-гьарди', 1]
['ссолич1ибахин', 1]
['мнэъ', 1]
['батумилъилар', 1]
['батумилъила', 1]
['аджариялъила', 1]
['вудугуарахъибал', 1]
['бехху', 1]
['вук1акьи', 1]
['гьебц1ел', 1]
['рит1игьибах', 1]
['выходите', 1]
['н-но', 1]
['три', 1]
['шага', 1]
['вперед', 1]
['наъ-', 1]
['направо', 1]
['командал', 1]
['-шагом', 1]
['марш-', 1]
['-к', 1]
['машине-', 1]
['машиненди', 1]
['чубк1ундахъ', 1]
['гигьедеб', 1]
['гьижикьи', 1]
['ургъилал1и', 1]
['вуди-гьарди', 1]
['ссолалич1ибах', 1]
['уъгрузиялъила', 1]
['горилъила', 1]
['гори', 1]
['сталиниб', 1]
['ват1анлъила', 1]
['вудудгу', 1]
['ихиталибах', 1]
['учебный', 1]
['полклъила', 1]
['белъабе', 1]
['инщаллъай', 1]
['хъоли-хъини', 1]
['кьани-гьами', 1]
['рехьимуд', 1]
['ц1ели', 1]
['сержантчи', 1]
['бихьюбк1ола', 1]
['личка', 1]
['сержант', 1]
['водитель', 1]
['средних', 1]
['танков', 1]
['сав-к1ундакьи', 1]
['пересдавать', 1]
['классность', 1]
['сдавать', 1]
['второйлъила', 1]
['первыйлъилар', 1]
['хали', 1]
['служба', 1]
['кирововбадлъилар', 1]
['гьедаволъа', 1]
['коробка', 1]
['переменных', 1]
['передач', 1]
['хъини', 1]
['биг1ач1ибах', 1]
['без', 1]
['прегазовки', 1]
['хи-хи', 1]
['дилъ-', 1]
['диндил', 1]
['пачалихълъила', 1]
['дилъал', 1]
['лъебали', 1]
['цебдащуд', 1]
['азербижанавк1ола', 1]
['арминавк1ола', 1]
['билъе', 1]
['белъида', 1]
['вмнъ', 1]
['старший', 1]
['къусуливахин', 1]
['интсруктаж', 1]
['-щуб', 1]
['малъида', 1]
['гидубк1ола', 1]
['перегазовка', 1]
['бессабахин', 1]
['мунъэ', 1]
['бокьидарессабах', 1]
['бухьагьеда', 1]
['тонна', 1]
['кулубекъуб', 1]
['бук1удеч1ими', 1]
['гори-тиблислъилар', 1]
['мунъал1уб', 1]
['трасса', 1]
['мак1алар', 1]
['мунъамисен', 1]
['пушка', 1]
['тягачла', 1]
['берхъибаххе-хе', 1]
['шамилщубла', 1]
['бакьихълъирилъил', 1]
['л1е', 1]
['гьогьинлъирди', 1]
['тукидул1е', 1]
['нуричубалубе', 1]
['ханщук1ин', 1]
['хандилук1ин', 1]
['махьвари', 1]
['хъетмаз', 1]
['аварский', 1]
['цебла-цебела', 1]
['гьач1вабехьянидуб', 1]
['рехьинлъилар', 1]
['ху', 1]
['бехьидун', 1]
['бехьянидуб', 1]
['округлъилар', 1]
['шамилилар', 1]
['шамилик1ин', 1]
['-ълар', 1]
['мац1ц1алди', 1]
['т1укидуд', 1]
['бедеч1и', 1]
['динлъила', 1]
['жагъаллъири', 1]
['гьордуб-ла', 1]
['къаг1идиби', 1]
['насирах', 1]
['мац1алдала', 1]
['масач1уб', 1]
['масабдалъила', 1]
['т1укидулъа', 1]
['болъич1инала', 1]
['гочинали', 1]
['гьолъилк1инги', 1]
['лебалисе', 1]
['баж-', 1]
['баг1ар-', 1]
['бажари', 1]
['инщук1инги', 1]
['бухьудубе', 1]
['аскарл1и', 1]
['ч1абакъири', 1]
['гьида', 1]
['нуричубе', 1]
['релич1и', 1]
['как-дин', 1]
['гигьич1убе', 1]
['гъалбац1дибирчик1ола', 1]
['гьощугьар', 1]
['г1аданщуч1ба', 1]
['кагъат-да', 1]
['таг1абахин', 1]
['г1орусалъил1ир', 1]
['пачащуб', 1]
['аскарл1ир', 1]
['муубахин', 1]
['милицалъил1ир', 1]
['г1абдурах1ман', 1]
['г1абдурах1манкьи', 1]
['хъолукъола', 1]
['ил1иба', 1]
['боа', 1]
['вук1авщубе', 1]
['гигьурехъоли', 1]
['гигьубхъоли', 1]
['масидукъола', 1]
['масарил1и', 1]
['переводчиклъох', 1]
['абдурах1манщуд', 1]
['-к1ин', 1]
['кумакибил', 1]
['-лар', 1]
['муъ-', 1]
['цеблалал', 1]
['бич1ч1ули', 1]
['ищуб', 1]
['ошибка', 1]
['ошибкади', 1]
['рухьурихъ', 1]
['т1укидалъа', 1]
['сивухъ', 1]
['гьалид', 1]
['мак1алагиба', 1]
['рохьул', 1]
['гуржиял1и', 1]
['цебмак1ала', 1]
['мак1алак1ола', 1]
['эл1а', 1]
['гунщил', 1]
['гьощлъид', 1]
['бел1икьибахин', 1]
['эгувалщуба', 1]
['г1алимгьек1ва', 1]
['дандилъирила', 1]
['гигьубе', 1]
['г1алимади', 1]
['бук1арахъ', 1]
['вугибда', 1]
['гьощуба', 1]
['ц1ц1еледу', 1]
['г1арабистди', 1]
['бук1унала', 1]
['бужурил', 1]
['инщувги', 1]
['аманатлъила', 1]
['вухьёх', 1]
['гьагищдуре', 1]
['мац1алдад', 1]
['г1ажа', 1]
['г1алагъожалъид', 1]
['гьит1алъи', 1]
['гьобгилъик1инги', 1]
['цебидубчи', 1]
['бук1абкъаг1ида', 1]
['дандилъири', 1]
['гьакуарахъиба', 1]
['умъ', 1]
['авар', 1]
['эгубехъоли', 1]
['пачащула', 1]
['мут1иг1лъеду', 1]
['бук1урила', 1]
['хъолуб', 1]
['накорагьарилъил1и', 1]
['гъулбас', 1]
['ц1ц1елибахла', 1]
['кумаклъила', 1]
['гьобдала', 1]
['къабуллъибах', 1]
['гьолъидла', 1]
['мисасигьир', 1]
['насрудинщурек1удуре', 1]
['хоч1ибади', 1]
['рук1урахегугьир', 1]
['закарьякьох', 1]
['сепулавщуб', 1]
['мисалъич1', 1]
['реч1ч1а', 1]
['реч1ч1алъини', 1]
['салиматкьех', 1]
['йик1вехе', 1]
['пурц1ц1ид', 1]
['рехьинч1ин', 1]
['телепундад', 1]
['галибах', 1]
['бук1уч1ими', 1]
['чубал', 1]
['релъалъид', 1]
['масхъарал', 1]
['хоч1ил', 1]
['вухьагьеду', 1]
['муэдегуни', 1]
['желъадиба', 1]
['муэденикьи', 1]
['къолиг1у', 1]
['рикьиллачик1ола', 1]
['бигьуб', 1]
['бигьубк1ола', 1]
['инку-къамах', 1]
['ц1али-лъимахин', 1]
['бехьул1укъол1и', 1]
['бухьудеч1ини', 1]
['буг1аблъирила', 1]
['бесдала', 1]
['ваг1аблъирила', 1]
['ваччилак1уни', 1]
['кьивох', 1]
['салиматилар', 1]
['гери-', 1]
['гъажихъ', 1]
['геридил', 1]
['к1к1умохин', 1]
['волъел', 1]
['керч1ч1охе', 1]
['гвак1уни', 1]
['гьардил', 1]
['ах1улёхк1уни', 1]
['буг1алини', 1]
['бищдилъа', 1]
['къораг1аб', 1]
['-ихьвахъак1уни', 1]
['хьолъилда', 1]
['ингинди', 1]
['каротунди', 1]
['т1амохе', 1]
['кар-', 1]
['диван', 1]
['карот', 1]
['диванди', 1]
['рук1уч1ими', 1]
['вулъохегу', 1]
['гьавла', 1]
['вук1охегугьир', 1]
['дарман', 1]
['бич1и', 1]
['бехубахегу', 1]
['гьакь-', 1]
['мунъабахегу', 1]
['инщду', 1]
['пат1иначик1ола', 1]
['чуй', 1]
['йик1вайк1ола', 1]
['вудуй', 1]
['ехьвехин', 1]
['билъибахе', 1]
['т1ам-', 1]
['ц1ц1алибахе', 1]
['къамахегу', 1]
['гьалувалгьерч1ч1и', 1]
['к1анц1', 1]
['-к1анц1улёх', 1]
['ракьил1иарахъива', 1]
['бук1алик1уни', 1]
['бел1убкьи', 1]
['воххида', 1]
['ресса', 1]
['миник1удув', 1]
['беххидаресса', 1]
['бухьубахегу', 1]
['алжан', 1]
['мисабе', 1]
['колхузлъил1е', 1]
['хъанхъаледу', 1]
['хъирикьир', 1]
['пермалар', 1]
['гуржиял1ира', 1]
['рехьваре', 1]
['къиндул', 1]
['хьони', 1]
